idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir de le pain sur le planche,0,j'ai du pain sur la planche,i've got a lot on my plate and um,I have work to do,Partial Translation,0.7329141,0.70989305,0.023021042
avoir de le pain sur le planche,1,tu as du pain sur la planche harold,got your plate full there harold,you have a lot of work on your plate Harold,Good Translation,0.74635416,0.73574144,0.010612726
avoir de le pain sur le planche,2,j'ai du pain sur la planche,lotta irons in the fire,I have work to do.,Partial Translation,0.4536556,0.70861477,-0.25495917
avoir de le pain sur le planche,3,tu as du pain sur la planche,you have a job to do,you have a lot of work on your plate,Good Translation,0.68786883,0.7263174,-0.038448572
avoir de le pain sur le planche,4,tu as du pain sur la planche hein,got a pretty full plate right now huh,"you have a lot of work on your plate, huh",Good Translation,0.6818441,0.75747234,-0.07562822
avoir de le pain sur le planche,5,- je pense que tu as du pain sur la planche n'est-ce pas alex,- i guess you have your work cut out for you don't you alex,"I think you have some work to do, doesn't it Alex?",Unnatural,0.75239,0.733809,0.018581033
avoir de le pain sur le planche,6,au moins quelqu'un d'autre voit que j'ai du pain sur la planche,- constance - at least somebody else sees i've got my work cut out for me,at least someone else sees that I have work to do,Unnatural,0.7522322,0.7933414,-0.041109204
avoir de le pain sur le planche,7,au moment où simon lamb est entré j'ai su qu'on aurait du pain sur la planche,from the moment simon lamb walked into the station i knew we had our work cut out,"at the moment when Simon Lamb entered, I knew we had our work cut out for us",Good Translation,0.74478686,0.7848557,-0.040068865
avoir de le pain sur le planche,8,j'espère que t'auras du temps pour réfléchir car tu as du pain sur la planche,then i hope you've got a lot of time to do some thinking in the next few days because you got some work to do,I hope you have time to think because you have a lot on your plate,Good Translation,0.79554594,0.8682866,-0.072740674
avoir de le pain sur le planche,9,je suis sûre qu'ils ont eu du pain sur la planche,i'm sure they were dealing with a lot,I am sure they have plenty on their plate.,Good Translation,0.71893716,0.813136,-0.09419882
avoir de le pain sur le planche,10,j'ai du pain sur la planche et vous êtes sur mon chemin,i've got work to do here and you are getting in my way,I have a lot of work on my plate and you're in my way.,Good Translation,0.7207469,0.77144706,-0.050700188
avoir de le pain sur le planche,11,je le répète j'ai du pain sur la planche,now like i said i got a lot of work to do,"I repeat, I have work to do.",Literal Translation,0.58134264,0.7112312,-0.12988853
avoir de le pain sur le planche,12,j'ai du pain sur la planche là,all right come on i really got work to do now,I have a lot of work to do there,Literal Translation,0.6313056,0.68686926,-0.05556369
avoir de le pain sur le planche,13,tu as du pain sur la planche,there's a lot of work needs doing,you have a lot of work on your plate,Good Translation,0.58136296,0.7263171,-0.14495414
avoir de le pain sur le planche,14,non tu as du pain sur la planche,you've got a lot on your plate,you have a lot of work to do,Partial Translation,0.7033134,0.63656473,0.06674868
avoir de le pain sur le planche,15,j'ai subitement cru que nous aurions du pain sur la planche,i was worried we'd suddenly have work on our hands,I suddenly realized we have work to do.,Partial Translation,0.74453044,0.725461,0.019069433
avoir de le pain sur le planche,16,j'ai du pain sur la planche et je ne me sens pas tout à fait moi-même,i've got a lot on my plate just now and i'm feeling less than my full fucking self,I have a lot of work on my plate and I don't feel quite myself.,Good Translation,0.733034,0.80472803,-0.07169402
avoir de le pain sur le planche,17,jackie t'as du pain sur la planche,well jackie you got a job cut out for you,Jackie has a lot on his/her plate,Good Translation,0.65419054,0.6812277,-0.027037144
avoir de le pain sur le planche,18,on dirait que tu as du pain sur la planche alors,well uh you sound like you got a lot on your plate so,It seems you have some work to do.,Partial Translation,0.7220732,0.7166501,0.005423069
avoir de le pain sur le planche,19,t'as du pain sur la planche,got work to do,you have a lot of work on your plate,Good Translation,0.59791994,0.682832,-0.08491206
avoir de le pain sur le planche,20,j'ai du pain sur la planche n'est-ce pas,i certainly have my work cut out for me don't i,"I have bread on the board, doesn't it?",Unnatural,0.6600865,0.82685447,-0.16676795
avoir de le pain sur le planche,21,ei paso tu as du pain sur la planche,el paso you got your work cut out for you baby,You have a lot of work to do,Good Translation,0.61856246,0.5649046,0.05365789
avoir de le pain sur le planche,22,ecoute je sais que tu as du pain sur la planche mais mes parents ne peuvent pas te supporter et mon cousin est,look i know you have a lot on your plate but my parents can't stand you and my cousin is,listen I know you have a lot on your plate but my parents can't stand you and my cousin is,Good Translation,0.84057176,0.8471839,-0.006612122
avoir de le pain sur le planche,23,mais tu as du pain sur la planche,but first you got this in front of you,but you have bread on the board,Unnatural,0.6622337,0.8695824,-0.2073487
avoir de le pain sur le planche,24,va mon frère tu as du pain sur la planche,now get going brother you have a lot of work to do,go brother you have work to do,Good Translation,0.6841837,0.7167976,-0.032613873
avoir de le pain sur le planche,25,j'ai du pain sur la planche mais avec votre aide je sais une chose,i know i've got my work cut out for me but with your help i know one thing now,"I have a lot of work to do, but with your help, I know one thing",Good Translation,0.7902993,0.804217,-0.013917685
avoir de le pain sur le planche,26,tu as du pain sur la planche la,you got your hands full over there,you have a lot of work on your plate,Good Translation,0.66951424,0.7121965,-0.04268229
avoir de le pain sur le planche,27,désolé mais tu as du pain sur la planche,hey sorry kenny guess you got your work cut out for you,sorry but you have work to do,Partial Translation,0.65572906,0.760937,-0.10520792
avoir de le pain sur le planche,28,j'ai du pain sur la planche,there's still so much to do,I have work to do,Partial Translation,0.55357933,0.70989305,-0.15631372
avoir de le pain sur le planche,29,on sait que tu as du pain sur la planche,we know you got a steaming pile on your plate,we know you have work to do,Good Translation,0.73134184,0.7000438,0.03129804
avoir de le pain sur le planche,30,eh bien tu as du pain sur la planche,well you have your work cut out for you peter,well you have a lot on your plate,Good Translation,0.6298554,0.71765196,-0.08779657
avoir de le pain sur le planche,31,allez tu as du pain sur la planche,come on you've got work to do,you have a lot of work to do,Unnatural,0.6790323,0.64937395,0.029658377
avoir de le pain sur le planche,32,celui qui le remplacera aura du pain sur la planche,for whoever takes his place those are gigantic shoes to fill,the one who replaces him will have a lot of work to do,Good Translation,0.660972,0.8173952,-0.15642321
avoir de le pain sur le planche,33,sérieusement tu as du pain sur la planche mais je t'ai sous-estimée,but i'm serious you're not quite there yet but maybe i've been dismissing you too easily over the years,"seriously, you have a lot on your plate but I underestimated you",Good Translation,0.6732291,0.8606416,-0.1874125
avoir de le pain sur le planche,34,on dirait que tu as du pain sur la planche alors bonne chance,okay well it looks like you have your work cut out for you so good luck,it seems you have a lot on your plate so good luck,Good Translation,0.7490641,0.8101481,-0.061084032
avoir de le pain sur le planche,35,t'as du pain sur la planche,you've got a lotta work ahead of you,you have a lot of work on your plate,Good Translation,0.57974577,0.682832,-0.10308623
avoir de le pain sur le planche,36,je crois que j'ai du pain sur la planche,i think i have a little work to do,I believe I have work to do,Good Translation,0.73886585,0.7344308,0.0044350624
avoir de le pain sur le planche,37,toi par contre tu as du pain sur la planche,you on the other hand have a rotten job to do,"you, on the other hand, have work to do",Partial Translation,0.6999815,0.7496923,-0.04971081
