idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être mal en point,0,- vous êtes mal en point,-you're hurt pretty bad,you are in bad shape,Good Translation,0.79155976,0.8303375,-0.03877777
être mal en point,1,corey nous sommes mal en point,colonel corey we're in bad shape,"Corey, we are in bad shape.",Good Translation,0.8491992,0.8631185,-0.0139193535
être mal en point,2,- faut que je te dise - t'es mal en point,there's something i have to tell you,-you've got to hear this - you're in bad shape,Good Translation,0.7137643,0.7822818,-0.068517506
être mal en point,3,votre patient est mal en point,you have a patient in distress,your patient is in serious condition,Good Translation,0.86292994,0.8342664,0.028663516
être mal en point,4,elle est mal en point,she's so sick,she is in poor condition,Good Translation,0.817046,0.9050099,-0.08796394
être mal en point,5,je dirais que vous êtes mal en point,well i'd say not too good if i'm any judge,I would say you are in bad shape.,Good Translation,0.66678727,0.83140606,-0.16461879
être mal en point,6,s'ii est mal en point emmène-ie à i'hôpital,if he's fucked up why don't you take him to the hospital,"If he is badly hurt, take him to the hospital.",Good Translation,0.6845626,0.75431377,-0.06975114
être mal en point,7,l'économie est mal en point,the economy sucks,the economy is in poor condition,Good Translation,0.9049922,0.94980454,-0.04481232
être mal en point,8,il était mal en point avant qu'on se batte,he was on his way out before we even started fighting,he was in bad shape before we fought,Good Translation,0.781953,0.89602333,-0.114070356
être mal en point,9,le type était mal en point,guy was a real mess,the guy was in bad shape,Good Translation,0.8308059,0.87354434,-0.042738438
être mal en point,10,vous êtes mal en point,captain it looks bad for you,you are in bad condition,Good Translation,0.696854,0.8622128,-0.16535878
être mal en point,11,c'est difficile dans ces cas-là j'étais mal en point,it's hard in these situations,it's difficult in those cases I was really struggling,Good Translation,0.80253434,0.84843147,-0.045897126
être mal en point,12,elle est mal en point,how bad is she,she is in poor condition,Good Translation,0.7810847,0.9050099,-0.12392521
être mal en point,13,- dennis est mal en point papa,- dennis is in bad shape dad,"Dennis is in bad condition, Dad.",Good Translation,0.9166254,0.7986655,0.11795986
être mal en point,14,tu es mal en point,you're in pretty bad shape,you are in bad condition,Good Translation,0.7167149,0.7299597,-0.013244808
être mal en point,15,ou bien il pourrait être mal en point à cause des mollusques qatar,or he could be incapacitated by the qatar mollusks,or it could be severely affected by the qatar snails,Partial Translation,0.8868261,0.8093146,0.07751149
être mal en point,16,apparemment la transmission aussi est mal en point et deux ou trois autres choses,he also felt that the transmission was compromised too and a few other things he's concerned about,apparently the transmission is also in poor condition and two or three other things are problematic,Good Translation,0.8072429,0.939531,-0.13228816
être mal en point,17,il parait évident que votre ami soit mal en point mais je ne suis pas votre gars,it's obvious that your friend needs help but i am not your guy,It seems obvious that your friend is in bad shape but I am not your guy,Good Translation,0.8781429,0.92317045,-0.045027554
être mal en point,18,- elle est mal en point,poor thing she's in bad shape,She is in bad condition.,Good Translation,0.87367547,0.86465037,0.009025097
être mal en point,19,je suis venue voir nick parce que sa mère est mal en point et il avait besoin de moi,i came to see nick because his mom is in bad shape and he needed me,I came to see Nick because his mother is very sick and he needed me.,Good Translation,0.964234,0.91695774,0.04727626
être mal en point,20,- je suis mal en point,- i feel very ill,I am in poor condition.,Good Translation,0.7544278,0.7782384,-0.023810625
être mal en point,21,ii est mal en point,he could be fucking worse off than you,it is in poor condition,Partial Translation,0.56821376,0.7317877,-0.16357392
