idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être à le ouest,0,- c'est à l'ouest ça,that's way out west,- it's to the west there,Literal Translation,0.7485126,0.8070768,-0.058564186
être à le ouest,1,t'es à l'ouest,you're way off track,you're west,Literal Translation,0.65719676,0.80682385,-0.14962709
être à le ouest,2,tu es à l'ouest,you're shoeless,you are west,Mistranslation,0.61611843,0.8105502,-0.19443178
être à le ouest,3,tu es à l'ouest aujourd'hui,you're a million miles away right now,you are west today,Literal Translation,0.6595216,0.8506164,-0.19109482
être à le ouest,4,on est à l'ouest du mississippi,we are west of the mississippi,we are west of the Mississippi,Good Translation,0.91941756,0.8722666,0.04715097
être à le ouest,5,j'ai l'impression d'être à l'ouest,i feel like such a stupid mess,I feel like I am west.,Literal Translation,0.67167145,0.8931509,-0.22147948
être à le ouest,6,l'île est à l'ouest de nous hugh,the island's to the west of us hugh,the island is to the west of us hugh,Good Translation,0.90542215,0.9216392,-0.016217053
être à le ouest,7,t'étais à l'ouest,you were gone,you were to the west,Literal Translation,0.6702155,0.8655853,-0.19536984
être à le ouest,8,non je veux pas baiser avec elle je dis que beaucoup aimeraient baiser le premier ministre si nyborg était premier ministre - mais t'es à l'ouest - pourquoi,i bet lots of people would want to fuck the prime minister if it were nyborg i've never heard anyone talk about fucking a prime minister,"no, I don't want to have sex with her, I'm saying that many would want to sleep with the prime minister if Nyborg was the prime minister - but you're behind the times - why",Good Translation,0.6879143,0.79922104,-0.11130673
être à le ouest,9,kesan est à l'ouest d'istanbul près de la frontière grecque,kesan is west near the greek borders,Kesan is west of Istanbul near the Greek border,Good Translation,0.8664162,0.8268586,0.039557636
être à le ouest,10,ouais j'ai bien entendu mais je préfère oublier ce que tu as dit par ce que t'es à l'ouest,yeah i did hear you but i'm going to forget what you said because you're not thinking straight,yes I heard but I prefer to forget what you said because you're in the wrong,Literal Translation,0.7781211,0.8734335,-0.09531236
être à le ouest,11,nous sommes à l'ouest de votre position,we're directly west of you,We are west of your position.,Good Translation,0.8307593,0.928334,-0.09757471
être à le ouest,12,- c'est à l'ouest de la 57e rue,it's over on west 57th,It is to the west of 57th Street,Good Translation,0.7304764,0.8898922,-0.15941584
être à le ouest,13,le site est à l'ouest du lac rudolph dans la région de turkana,the site is right west of lake rudolf in the turkana district,the site is west of lake rudolph in the turkana region,Partial Translation,0.92983156,0.9507005,-0.020868957
être à le ouest,14,- non on est à l'ouest la belle banlieue ouest,the nice part of the western suburbs,"- no, we're in the west, the beautiful western suburb",Good Translation,0.66141546,0.83018774,-0.16877228
être à le ouest,15,j'étais à l'ouest à peu prés tout le temps,i was pretty much wasted the whole time,I was mostly out west all the time.,Literal Translation,0.69600093,0.8916848,-0.19568384
être à le ouest,16,je peux sentir son sang mais l'odeur la plus forte est à l'ouest,i can smell her blood but the stronger scent is due west,I can smell her blood but the strongest odor is to the west.,Good Translation,0.8799393,0.9329712,-0.05303186
être à le ouest,17,le colorado est par là parce qu'il est à l'ouest,the colorado has to be that way because that way is west,Colorado is over there because it is to the west,Good Translation,0.8289627,0.833208,-0.004245341
être à le ouest,18,je n'avais jamais été à l'ouest de st louis avant de venir avec ces recrues,i never even been west of st louis till i brought out this bunch of recruits,I had never been west of St. Louis before coming with these recruits.,Good Translation,0.9077648,0.9093689,-0.0016040802
être à le ouest,19,on est à l'ouest le corps est au sud,we're west of the stables the body's supposed to be south,we are west the body is south,Good Translation,0.7904396,0.90410745,-0.113667846
être à le ouest,20,moi je serai à l'ouest de la virginie,mine shall be in west virginia,I will be in western Virginia,Good Translation,0.8007459,0.8427157,-0.041969776
être à le ouest,21,nous sommes à l'ouest de la maison,graham and i are in the trees west of the house,We are west of the house.,Good Translation,0.7442249,0.9242737,-0.18004882
être à le ouest,22,ils sont à l'ouest non,they got out didn't they,they are to the west not,Literal Translation,0.7198304,0.93328094,-0.21345055
être à le ouest,23,- on doit être à l'ouest de baltimore,- i think we're west of baltimore - sounds about right,- we must be west of Baltimore,Good Translation,0.8023144,0.8516396,-0.049325228
être à le ouest,24,je suis à l'ouest,i feel really buzzed,I am west.,Literal Translation,0.60261786,0.82814777,-0.22552991
être à le ouest,25,le seul accès est par la vallée et la route pour entrer et sortir est à l'ouest,the only way in is the valley floor and the main road in and out is to the west,The only access is via the valley and the entrance and exit are to the west.,Good Translation,0.9054069,0.9247641,-0.019357204
être à le ouest,26,c'est à l'ouest de pittsburgh ma jolie,just west of pittsburgh babe,"it is to the west of Pittsburgh, my dear",Good Translation,0.7190434,0.77213824,-0.053094864
être à le ouest,27,ne dis pas que je suis à l'ouest,don't call me shoeless,don't say I'm west,Literal Translation,0.64517045,0.8853489,-0.24017847
être à le ouest,28,ses victimes étaient nord sud et est il doit être à l'ouest,well his first three vics were north south and east so he's definitely headed west,his victims were north south and east he must be to the west,Literal Translation,0.61950463,0.9291337,-0.30962908
