idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
le goutte de eau qui faire déborder le vase,0,ce fut la goutte d'eau qui fit déborder le vase,and that pushed me over the edge,it was the straw that broke the camel's back,Good Translation,0.560868,0.5162355,0.044632554
le goutte de eau qui faire déborder le vase,1,et bien c'est la goutte d'eau qui fait déborder le vase,well that is the last straw,and it's the drop that makes the bucket overflow,Partial Translation,0.5431534,0.72226334,-0.17910993
le goutte de eau qui faire déborder le vase,2,c'était la goutte d'eau qui fait déborder le vase n'est-ce pas,this was the straw that broke the camel's back wasn't it,"it was the drop that makes the vase overflow, wasn't it",Good Translation,0.5735158,0.86825716,-0.2947414
le goutte de eau qui faire déborder le vase,3,j'appelle ça la goutte d'eau qui fait déborder le vase,i'd call that breaking the camel's back,I call it the straw that breaks the camel's back.,Good Translation,0.585158,0.6123028,-0.02714479
le goutte de eau qui faire déborder le vase,4,pour la fox c'était la goutte d'eau qui faisait déborder le vase,for fox this was the final straw,for the fox it was the straw that broke the camel's back,Mistranslation,0.635762,0.598345,0.037416995
le goutte de eau qui faire déborder le vase,5,l'agence estimait que cette erreur était la goutte d'eau qui faisait déborder le vase,the agency agreed that that mistake was endemic of too many others made by you,The agency believed that this error was the straw that broke the camel's back.,Good Translation,0.6375615,0.71538377,-0.07782227
le goutte de eau qui faire déborder le vase,6,c'est la goutte d'eau qui fait déborder le vase pour eric,- you've stepped on eric's toes one too many times,it's the drop that makes the vase overflow for Eric,Good Translation,0.6055248,0.8417499,-0.23622513
le goutte de eau qui faire déborder le vase,7,la goutte d'eau qui fera déborder le vase c'est d'entendre parler de jonah,the one thing that will push me over the edge right now is if you mention jonah's name,the drop that will overflow the vase is hearing about Jonah,Good Translation,0.7249727,0.8226061,-0.09763336
le goutte de eau qui faire déborder le vase,8,ça a été la goutte d'eau qui fait déborder le vase,and that was the last domino,that was the straw that broke the camel's back,Good Translation,0.4591714,0.5389484,-0.079777
le goutte de eau qui faire déborder le vase,9,c'est la goutte d'eau qui fait déborder le vase,that's the last straw i'm going over there,it is the drop that makes the bucket overflow,Unnatural,0.5349811,0.6915683,-0.15658724
le goutte de eau qui faire déborder le vase,10,tu sais la goutte d'eau qui fait déborder le vase,did you ever hear about the straw that broke the camel's back,the drop that overflows the vase,Unnatural,0.4912197,0.8053212,-0.31410152
le goutte de eau qui faire déborder le vase,11,et pour ma femme ce fût la goutte d'eau qui fit déborder le vase,and for my wife it was the straw that broke the camel's back,and for my wife it was the straw that broke the camel's back,Good Translation,0.71562636,0.71562636,0.0
le goutte de eau qui faire déborder le vase,12,ca c'est la goutte d'eau qui fait déborder le vase,ok that's the straw that broke the camel's back,that's the straw that breaks the camel's back,Unnatural,0.49914938,0.51916695,-0.020017564
le goutte de eau qui faire déborder le vase,13,c'est la goutte d'eau qui fait déborder le vase,that's the last goddamn straw,it is the drop that makes the bucket overflow,Unnatural,0.5001966,0.6915683,-0.19137174
le goutte de eau qui faire déborder le vase,14,serai la goutte d'eau qui fait déborder le vase,would be the final straw,will be the straw that breaks the camel's back,Unnatural,0.6282641,0.6171254,0.011138737
le goutte de eau qui faire déborder le vase,15,c'est la goutte d'eau qui fait déborder le vase,my cup overfloweth,it is the drop that makes the bucket overflow,Unnatural,0.6540742,0.6915683,-0.037494123
