idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
boire un coup,0,tu as une mine terrible je vais boire un coup,well did you get to meet him before he died,"you look terrible, I'm going to have a drink",Literal Translation,0.4547212,0.8197436,-0.36502236
boire un coup,1,la fille menace de réduire notre cité en cendre et vous voulez l'inviter à boire une coupe de vin,the girl threatens to burn our city to the ground and you would invite her in for a cup of wine,The girl threatens to reduce our city to ashes and you want to invite her for a drink?,Good Translation,0.9119712,0.89690214,0.0150690675
boire un coup,2,chez nous - boire un coup - je viens,back to our place for a drink,at our place - having a drink - I'm coming,Good Translation,0.76914585,0.87327635,-0.10413051
boire un coup,3,vous voulez boire un coup,do you guys wanna take care of your drinks,you want to have a drink,Literal Translation,0.766684,0.910681,-0.14399701
boire un coup,4,faut que je boive un coup,i need a drink,I need to have a drink,Good Translation,0.86658144,0.8811789,-0.0145974755
boire un coup,5,millie ne sera pas choquée de voir quelqu'un boire un coup,millie won't be shocked to see somebody take a drink,Millie will not be shocked to see someone have a drink,Good Translation,0.95482445,0.9183044,0.036520064
boire un coup,6,tu devrais boire un coup,you'd better have a little drink,you should have a drink,Good Translation,0.85638785,0.88394845,-0.027560592
boire un coup,7,allons viens boire un coup,let's have a drink and talk it over,"come on, let's have a drink",Good Translation,0.82028854,0.90225786,-0.08196932
boire un coup,8,il y a trop de monde à la plage pour boire un coup à l'aise,it's too crowded down on the beach to drink in comfort,There are too many people at the beach to drink one's peace.,Unnatural,0.91808033,0.90443647,0.013643861
boire un coup,9,- 2 heures de marche pour descendre voir une fille ou boire un coup,it's 2 hours walking if you want to see a girl or drink something,- 2 hours of walking to go down and see a girl or have a drink,Good Translation,0.89829797,0.95042026,-0.052122295
boire un coup,10,on a rendez-vous pour boire un coup,we're having a drink later,we have a drink date,Good Translation,0.81068164,0.83428097,-0.023599327
boire un coup,11,je--j'ai besoin de boire un coup,i--i need a beverage,I need to have a drink.,Good Translation,0.9000677,0.871422,0.028645694
boire un coup,12,alors que ma subordonnée rapportait les preuves au commissariat elle s'arrêta en chemin à un hôtel pour boire un coup,my detective was taking the bag of evidence back to the station and she stopped at a hotel on the way for a drink,"While my subordinate was taking the evidence to the police station, she stopped on the way at a hotel to have a drink.",Good Translation,0.815427,0.9037004,-0.088273406
boire un coup,13,- hé tu veux aller boire un coup passer le temps,hey do you want to go grab a drink catch up,- hey you want to go have a drink and pass the time,Good Translation,0.8143641,0.9343213,-0.11995721
boire un coup,14,c'est atroce on va boire un coup,the horror you know what,it's awful we'll have a drink,Good Translation,0.54563797,0.84625715,-0.30061918
boire un coup,15,on ira boire un coup ok,have a few beers yeah,we'll go have a drink okay,Good Translation,0.6687678,0.6733595,-0.0045917034
boire un coup,16,j'allais boire un coup,you know i was about to go get a drink,I was going to have a drink,Good Translation,0.7903361,0.8198697,-0.029533625
boire un coup,17,on va boire un coup alors,yes sir,We're going to have a drink then.,Literal Translation,0.5103595,0.8868941,-0.37653458
boire un coup,18,il veut peut-être boire un coup,maybe he wants a drink,He might want to have a drink.,Good Translation,0.9514386,0.93924975,0.012188852
boire un coup,19,qui veut boire un coup,who wants to grab a drink,who wants to have a drink,Good Translation,0.91214323,0.9276742,-0.015530944
boire un coup,20,je suis allé boire un coup,then we went someplace,I went for a drink.,Good Translation,0.65305823,0.84867966,-0.19562143
boire un coup,21,- hé tu veux boire un coup,- hey you want to drink some,- hey you want to have a drink,Good Translation,0.91424847,0.91005534,0.004193127
boire un coup,22,on peut donc arrêter l'exercice et boire un coup,good then we can break training and drink these,we can therefore stop the exercise and have a drink,Good Translation,0.82638496,0.91976106,-0.0933761
boire un coup,23,si on sortait boire un coup,how about going out for drinks,if we went out for a drink,Good Translation,0.82069474,0.85099447,-0.030299723
boire un coup,24,viens allons boire un coup chez moi parrain,come and have a drink at my home godfather,"come on, let's go have a drink at my place, godfather",Good Translation,0.76846,0.7908461,-0.022386134
boire un coup,25,je vais rentrer dans mon petit pool house et boire une coupe de champagne à ma santé,i think i'm gonna go back to my little pool house and toast myself with a glass of champagne,I am going to enter my small pool house and have a glass of champagne to toast my health.,Good Translation,0.9055938,0.91968024,-0.014086425
