idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le gueule de bois,0,tu as la gueule de bois,you're hungover,you have a hangover,Good Translation,0.5635546,0.5355954,0.027959168
avoir le gueule de bois,1,je crois que j'ai la gueule de bois,i think i'm hung over,I think I have a hangover,Good Translation,0.7386119,0.714749,0.023862898
avoir le gueule de bois,2,après ça papa rentrait fatigué et disait qu'il avait la gueule de bois,he came home exhausted afterwards,"After that, dad came home tired and said he had a hangover.",Good Translation,0.7302319,0.8022869,-0.07205504
avoir le gueule de bois,3,là j'ai la gueule de bois,now i'm just hung-over,there I have a case of drunkenness hangover,Literal Translation,0.57632196,0.5979824,-0.021660447
avoir le gueule de bois,4,j'ai la gueule de bois par ta faute,and i am hung over because of you,I have a hangover because of you,Good Translation,0.7209478,0.6927025,0.02824533
avoir le gueule de bois,5,laisse-moi tranquille j'ai la gueule de bois,oh leave me alone i have a hangover,leave me alone I have a hangover,Good Translation,0.68129075,0.6723891,0.008901656
avoir le gueule de bois,6,t'as la gueule de bois,you feeling the pain,you have a hangover,Good Translation,0.5920471,0.59003896,0.00200814
avoir le gueule de bois,7,j'ai la gueule de bois et je pourrais dormir pendant une semaine mais pour la première fois de ma vie j'ai ouvert les yeux et j'étais libre,- i'm okay,I have a hangover and I could sleep for a week but for the first time in my life I opened my eyes and I was free,Mistranslation,0.5442511,0.8389873,-0.2947362
avoir le gueule de bois,8,il est lunatique renfermé il discute il a la gueule de bois,and the signs are there,he is lunar crazy shut-in he talks hangover,Literal Translation,0.4903164,0.7412975,-0.2509811
avoir le gueule de bois,9,tu sais comment je suis quand j'ai la gueule de bois,you know how i am when i have a hangover,you know how I am when I have a hangover,Good Translation,0.7471311,0.74737203,-0.00024092197
avoir le gueule de bois,10,soit j'ai la gueule de bois soit j'ai été heurté par un train,i either drank too much or got hit by a train,either I have a hangover or I was hit by a train,Good Translation,0.7681948,0.8050559,-0.03686112
avoir le gueule de bois,11,je cherchais un verre d'eau parce que j'ai la gueule de bois,i was looking for a glass for water 'cause i'm hung over,I was looking for a glass of water because I have a hangover.,Good Translation,0.823321,0.81524324,0.008077741
avoir le gueule de bois,12,ce n'est pas parce que je suis vieux c'est parce que j'ai la gueule de bois,it's not because i'm old it's because i'm hung over,"it's not because I'm old, it's because I have a hangover",Good Translation,0.7812222,0.75104296,0.030179262
avoir le gueule de bois,13,j'ai la gueule de bois j'ai l'impression qu'on me frappe sur la tête,i have a major hangover it feels like someone's pounding my head with a meat mallet,I have a hangover; I feel like someone is hitting me on the head.,Good Translation,0.7228915,0.786917,-0.06402546
avoir le gueule de bois,14,je ne jouais pas de rôle j'avais la gueule de bois c'est tout,there was no acting going on i just felt so bad,"I wasn't playing a role; I had a hangover, that's all.",Good Translation,0.7209784,0.7772782,-0.056299806
avoir le gueule de bois,15,- j'ai la gueule de bois,- i've got a hangover,-I have a hangover,Literal Translation,0.71990323,0.6996491,0.020254135
avoir le gueule de bois,16,si j'ai l'air d'avoir la gueule de bois c'est parce que c'est le cas,if i seem a little hung over it is because i am,"if I look like I have a hangover, it's because that's the case",Good Translation,0.7366975,0.7669116,-0.03021413
avoir le gueule de bois,17,les abeilles qui ont fait ce miel devaient avoir la gueule de bois,the bee who collected this honey must have some hangover,The bees that made this honey must have had a hangover.,Good Translation,0.6764776,0.71525717,-0.038779557
avoir le gueule de bois,18,je crois que j'ai eu la gueule de bois pendant deux ans,i think i was hung over for two years,I think I had a hangover for two years,Good Translation,0.79361236,0.7809256,0.012686789
avoir le gueule de bois,19,tu es une étudiante à nouveau - on doit faire attention à toi pas étudiante interne c'est différent tu travailles dur et t'as la gueule de bois,you're a student - we'll look after you,"you are a new student - we must be careful with you not an internal student, it's different; you work hard and you have a hangover",Partial Translation,0.6315969,0.81792676,-0.18632984
avoir le gueule de bois,20,quelqu'un a la gueule de bois,is someone hungover,someone has a hangover,Good Translation,0.7031427,0.70647395,-0.003331244
avoir le gueule de bois,21,- bien sûr que j'ai la gueule de bois,of course i'm hungover,Of course I have a hangover.,Good Translation,0.7016038,0.69912255,0.0024812222
avoir le gueule de bois,22,oncle steven a la gueule de bois,uncle steven is still hungover,Uncle Steven has a hangover,Good Translation,0.70229745,0.6625174,0.03978002
avoir le gueule de bois,23,j'ai déjà eu la gueule de bois mais c'est pire que tout,i've had hangovers before but this is terrible,I have already had a hangover but it's worse than anything.,Good Translation,0.7392521,0.80065525,-0.061403155
avoir le gueule de bois,24,j'avais la gueule de bois tous les vendredis,i used to be so hung over on fridays during law school,I had a hangover every Friday,Good Translation,0.69144493,0.81437325,-0.12292832
avoir le gueule de bois,25,et pour être honnête t'as un peu l'air d'avoir la gueule de bois,and to be honest you look a - little hung over,"and to be honest, you kind of look like you've got a hangover",Good Translation,0.79648226,0.8089942,-0.012511909
avoir le gueule de bois,26,j'ai l'air d'avoir la gueule de bois,what makes you think i'm hung-over,I look like I've been drinking heavily,Unnatural,0.64456666,0.7134862,-0.06891954
avoir le gueule de bois,27,je ne peux pas le faire j'ai la gueule de bois,i can't do it i'm hungover,I can't do it; I have a hangover.,Good Translation,0.7307894,0.6962687,0.034520745
avoir le gueule de bois,28,ok je vous préviens tous maintenant que j'ai la gueule de bois et suis très irritable,okay i'm letting y'all know right now that i am hungover and altogether irritable,"OK, I'm warning all of you now that I have a hangover and am very irritable",Good Translation,0.80778015,0.84505415,-0.037274003
avoir le gueule de bois,29,on dirait que t'as la gueule de bois,john you look like you got a hangover,it seems you have a hangover,Unnatural,0.62639946,0.65610605,-0.029706597
avoir le gueule de bois,30,je peux pas avoir la gueule de bois si j'ai pas dormi,how can i be hung-over if i haven't even gone to sleep yet,I can't have a hangover if I didn't sleep.,Good Translation,0.7083676,0.7884109,-0.080043316
avoir le gueule de bois,31,c'est de votre faute j'ai la gueule de bois,i'm hung over and on holiday,it's your fault I have a hangover,Good Translation,0.5628604,0.7568755,-0.19401509
avoir le gueule de bois,32,s'éclaircit la gorge mais j'avais la gueule de bois,but i was hungover,clears his throat but I had a hangover,Good Translation,0.6565443,0.6753,-0.018755674
avoir le gueule de bois,33,j'ai la gueule de bois ce matin,i woke up with a hangover this morning,I have a hangover this morning,Literal Translation,0.757075,0.7494923,0.007582724
avoir le gueule de bois,34,- si tu as la gueule de bois,if you have a hangover tomorrow,-if you have a hangover,Partial Translation,0.5553462,0.69322693,-0.13788074
avoir le gueule de bois,35,elle savait que tu avais la gueule de bois,she knew you were hungover,she knew that you had a hangover,Good Translation,0.7937609,0.79163706,0.0021238327
avoir le gueule de bois,36,non mais j'ai la gueule de bois,no but i have a hangover,but I have a hangover,Literal Translation,0.6739097,0.6204244,0.053485334
avoir le gueule de bois,37,elle a la gueule de bois,- give her a break she has a hangover,she has a hangover,Partial Translation,0.63570344,0.7275175,-0.09181404
avoir le gueule de bois,38,vous avez la gueule de bois,are you all hungover,you have a hangover,Partial Translation,0.64632833,0.6857938,-0.039465487
avoir le gueule de bois,39,mais j'ai la gueule de bois,but i have a hangover,but I have a hangover,Good Translation,0.705637,0.69755733,0.008079648
