idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être crever,0,voilà pourquoi je suis crevée,well that's because i'm tired,That's why I'm exhausted.,Good Translation,0.6355009,0.6671678,-0.031666875
être crever,1,attention ici le plastique est crevé,at my house i'll make you pasta,Be careful here the plastic is cracked.,Literal Translation,0.4861827,0.8881739,-0.4019912
être crever,2,tu es crevée après ce voyage,you're tired after all that travelling,You must be exhausted after that trip.,Good Translation,0.7774469,0.786206,-0.008759081
être crever,3,je suis crevée je vais me coucher,i'm off to bed,I'm exhausted I'm going to bed,Good Translation,0.7159678,0.6878443,0.028123498
être crever,4,votre pneu est crevé,this tire's got a hole in it,Your tire is punctured.,Good Translation,0.6860623,0.7745973,-0.08853501
être crever,5,le réveil sonne vous vous êtes levé tôt vous êtes crevé sonné,so you get up in the morning you're exhausted groggy,The alarm rang and you had risen early and were knackered from being woken.,Good Translation,0.7132895,0.8061105,-0.092821
être crever,6,alors quand je rentre je suis crevé d'accord,so when i get home i'm tired all right,so when I come back I'm exhausted okay,Good Translation,0.75934786,0.7693796,-0.01003176
être crever,7,je suis crevé j'aimerais dormir,well i'm kind of tired i'd like to go to sleep if i could,I'm exhausted I'd like to sleep,Good Translation,0.7197414,0.72771513,-0.007973731
être crever,8,vous devez être crevés non,you guys are probably pretty tired right,You must be cracked up!,Good Translation,0.58442354,0.72224355,-0.13782
être crever,9,il est tard on est crevés,it's late we're tired,It's late we're ruined,Mistranslation,0.8174058,0.8222111,-0.004805267
être crever,10,écoute je suis crevée je vais prendre une douche et me coucher,listen i'mexhausted and i just wanna take a shower and get into bed,listen I'm exhausted I'm going to take a shower and go to bed,Good Translation,0.7562249,0.79942703,-0.04320216
être crever,11,je suis crevé je vais me coucher,i'm tired i'm going to bed,I'm exhausted I'm going to bed,Good Translation,0.7149226,0.6923201,0.022602499
être crever,12,je m'en fous je suis crevé,i don't care i'm exhausted i wanna go home,"I don't care, I'm exhausted.",Partial Translation,0.52555895,0.5774922,-0.05193323
être crever,13,qu'est-ce que je suis crevé,man i'm tired,What am I so tired of?,Literal Translation,0.45063454,0.43536302,0.015271515
être crever,14,comment se détendre quand on est crevé,how can a guy unlax if he's all wore out,how to unwind when you're exhausted,Good Translation,0.65955925,0.758011,-0.09845173
être crever,15,j'ai passé la nuit sur une affaire je suis crevé,i was out all night on a divorce case and i'm tired,I spent the night on a case and I'm exhausted,Good Translation,0.7694039,0.80386555,-0.034461677
