idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tourner à le vinaigre,0,ça pourrait tourner au vinaigre en cas de bombardement,if they start bombing the place there's no telling what will happen,it could turn sour in case of bombing,Good Translation,0.5803627,0.7456109,-0.16524822
tourner à le vinaigre,1,qu'arrivera t'il quand la relation tournera au vinaigre ce qui voyons les choses en face arrive à la majorité des relations de lorelai,what will happen when the relationship goes sour as let's face it most of lorelai's relationships do,"What will happen when the relationship turns sour, which, facing things as they are, happens to most Lorelai's relationships",Good Translation,0.84323186,0.74541456,0.0978173
tourner à le vinaigre,2,quand ça tourne au vinaigre la première réaction est de nier,they say when something bad happens to you the first reaction is denial,when it turns sour the first reaction is to deny,Good Translation,0.5876229,0.69868183,-0.11105895
tourner à le vinaigre,3,on avait une petite affaire qui a tourné au vinaigre,i told you we ran a business together it turned to shit,we had a small business that turned sour,Good Translation,0.6482933,0.780377,-0.13208365
tourner à le vinaigre,4,ça tourne au vinaigre,things aren't going well,it's going sour,Good Translation,0.6377021,0.6663582,-0.028656065
tourner à le vinaigre,5,peu importe si ça tournait au vinaigre nous étions là l'un pour l'autre,i mean no matter how bad it's gotten we've been there for each other,"It doesn't matter if it turned sour, we were there for each other.",Good Translation,0.78064466,0.85979843,-0.079153776
tourner à le vinaigre,6,cette affaire tourne au vinaigre,hey this whole thing's gone sour,this matter is turning sour,Good Translation,0.6707252,0.7721145,-0.10138929
tourner à le vinaigre,7,dis-toi que tu étais à tournez manèges et que ça a tourné au vinaigre,just look at it like an episode of the dating game that went a little bit you know awry or something like that,tell yourself that you were on rides and it turned out sour,Good Translation,0.5369546,0.66479623,-0.12784165
tourner à le vinaigre,8,- ça tourne au vinaigre,she's got vinegar tits,- it's turning sour,Good Translation,0.6555947,0.74444973,-0.08885503
tourner à le vinaigre,9,je suis content d'être parti quand je l'ai fait ça tourne au vinaigre,i'm glad i got out of there when i did,"I'm glad I left when I did, this is turning sour.",Good Translation,0.77577853,0.78587866,-0.010100126
tourner à le vinaigre,10,une de vos missions tourne au vinaigre,one of your deals may be going bad,one of your missions is going bad,Good Translation,0.5819204,0.7576189,-0.17569852
tourner à le vinaigre,11,si ça tourne au vinaigre c'est vous qui prenez,if anything goes wrong you'll take the blame,if it turns sour it's your responsibility,Good Translation,0.68179274,0.729409,-0.047616243
tourner à le vinaigre,12,son mariage vient de tourner au vinaigre,her marriage just fell apart,his marriage has just hit the fan,Unnatural,0.67085147,0.7735982,-0.102746725
tourner à le vinaigre,13,ça tourne au vinaigre non,oh my this is taking a nasty turn isn't it,it's turning sour,Good Translation,0.63833034,0.6326448,0.005685568
tourner à le vinaigre,14,et ça a tourné au vinaigre,things got a little ugly,and it turned sour,Good Translation,0.66020125,0.75682557,-0.096624315
tourner à le vinaigre,15,si ça tourne au vinaigre je n'aurai pas le choix,this gets messy and i'm not going to have any choice do you understand,if it turns sour I won't have a choice,Good Translation,0.78154147,0.864817,-0.08327556
tourner à le vinaigre,16,ça tourne au vinaigre sinon,bad things happen when we get into a pack,it turns sour otherwise,Good Translation,0.41787446,0.65478075,-0.23690629
tourner à le vinaigre,17,voilá que ça tourne au vinaigre,oh god this could be very ugly,here it goes sour,Good Translation,0.5207469,0.6165149,-0.095768034
tourner à le vinaigre,18,des femmes tombent enceintes quand l'idylle tourne au vinaigre alors tu veux faire pareil en adoptant,you think that since women get pregnant to fix a troubled relationship why can't a guy adopt a kid to do the same,"women get pregnant when the romance turns sour, so you want to do the same by adopting",Good Translation,0.6144829,0.8045953,-0.19011241
tourner à le vinaigre,19,ça tourne au vinaigre,oh this is getting heavy,it's going bad,Good Translation,0.64268106,0.6393949,0.0032861829
tourner à le vinaigre,20,et que ça tourne au vinaigre,and watch it turn to vinegar,and it turns sour,Good Translation,0.8158797,0.72026426,0.09561545
tourner à le vinaigre,21,ça va tourner au vinaigre,things are about to get ugly over here,it's going to end in disaster,Good Translation,0.64708483,0.64259195,0.004492879
tourner à le vinaigre,22,les choses vont tourner au vinaigre,everything's about to turn to crap,the things are going to turn sour,Good Translation,0.68021333,0.7724905,-0.09227717
tourner à le vinaigre,23,il est venu ici et ça a tourné au vinaigre,he came here and everything went to shit,He came here and it turned sour.,Good Translation,0.7543052,0.8193102,-0.065005004
tourner à le vinaigre,24,puis ça tourna au vinaigre,then something went wrong,then it turned sour,Good Translation,0.6541492,0.7186938,-0.06454462
tourner à le vinaigre,25,et si ça tourne au vinaigre t'interviens,if anything goes wrong you step in,and if it turns sour you intervene,Good Translation,0.6465763,0.79351395,-0.14693767
tourner à le vinaigre,26,l'eau devient amère avec le poison le vin tourne au vinaigre,water grows bitter with poison wine turns into vinegar,"the water becomes bitter with the poison, the wine turns to vinegar",Good Translation,0.88744104,0.92091465,-0.03347361
tourner à le vinaigre,27,- leur mariage n'a pas tourné au vinaigre,it's not just a case of a marriage gone sour,Their marriage hasn't turned out well.,Good Translation,0.69075084,0.757434,-0.06668317
tourner à le vinaigre,28,les relations entre martin geist et ruth zelig tournent au vinaigre,relations between martin geist and ruth zelig have grown strained,The relationship between Martin Geist and Ruth Zelig is turning sour.,Good Translation,0.9353597,0.8643576,0.071002126
tourner à le vinaigre,29,il vous a suivi d'ici jusqu'au parking et il m'a prévenu quand les choses ont tourné au vinaigre,he followed you when you left here and alerted me when things went sour,He followed you from here all the way to the parking lot and he warned me when things went south.,Good Translation,0.7763647,0.8402198,-0.06385511
tourner à le vinaigre,30,quand j'entends discuter politique je me demande toujours pourquoi le vin tourne au vinaigre,when i hear matters of state discussed by men invariably i find myself wondering about why the wine has gone sour,"when I hear people discussing politics, I always wonder why vinegar turns to wine",Mistranslation,0.8169608,0.9266335,-0.109672666
tourner à le vinaigre,31,on veut quitter le projet sans que notre amitié tourne au vinaigre,we just want to stop here we want friendship not screw up,We want to leave the project without letting our friendship sour.,Good Translation,0.71822906,0.92159206,-0.203363
tourner à le vinaigre,32,quand ça tournera au vinaigre,when it all goes wrong,when it turns sour,Good Translation,0.6064552,0.71178526,-0.10533005
tourner à le vinaigre,33,on savait tout les deux que ça pourrai tourner au vinaigre et c'est le cas,we both knew that this situation could get messy and it has,We both knew that it could turn sour and that's the case,Good Translation,0.75215816,0.80887353,-0.05671537
tourner à le vinaigre,34,si ça tourne au vinaigre on sera submergé,if it comes to a fight we're gonna be outnumbered,if it turns sour we will be overwhelmed,Good Translation,0.59843063,0.70989186,-0.11146122
tourner à le vinaigre,35,mais tout ça va tourner au vinaigre,but all that's in danger of flying out the window,but all of this is going to turn sour,Good Translation,0.6276202,0.7731111,-0.14549088
tourner à le vinaigre,36,bien sûr c'est les affaires et parfois ça tourne au vinaigre,of course this is business and sometimes things go astray,of course it's business and sometimes it turns sour,Good Translation,0.811314,0.8481015,-0.03678751
tourner à le vinaigre,37,c'est un juif autrichien émigré aux usa quand les choses quand ça a tourné au vinaigre pour les israélites,he's an austrian-born jew who immigrated to the united states when things began turning sour for the israelites,it's an Austrian Jew who immigrated to the US when things turned sour for the Israelites,Good Translation,0.8605809,0.8672049,-0.0066239834
tourner à le vinaigre,38,je veux faire une chose avant que ça tourne au vinaigre demain,there's one thing i want to do before the shit hits the fan tomorrow,I want to do one thing before it goes sour tomorrow,Good Translation,0.8091123,0.88963413,-0.08052182
tourner à le vinaigre,39,après ton départ ça a tourné au vinaigre,after you left it turned into a roman circus,after your departure things turned sour,Good Translation,0.6518348,0.8318503,-0.1800155
tourner à le vinaigre,40,jamais jamais impliquer les avocats ça a tendance à tourner au vinaigre,neverever involve lawyers things are bound to turn nasty,"never involve the lawyers, this tends to turn sour",Good Translation,0.808902,0.87679046,-0.06788844
tourner à le vinaigre,41,et ça tournera au vinaigre,and it will get ugly,and it will turn sour,Good Translation,0.653597,0.71274185,-0.059144855
tourner à le vinaigre,42,filons avant que ça tourne au vinaigre,that wasn't part of the deal i think we ought to get out of here before something happens,let's go before it turns sour,Good Translation,0.5150807,0.71517694,-0.20009625
tourner à le vinaigre,43,je savais que ça aller tourner au vinaigre,i had a feeling something would go wrong,I knew it was going to turn sour.,Good Translation,0.68998337,0.7841371,-0.09415376
tourner à le vinaigre,44,je dirais pas que ça tourne au vinaigre,i wouldn't say it's going sour,I wouldn't say it's turning sour.,Good Translation,0.75353754,0.76181763,-0.008280098
tourner à le vinaigre,45,oh ça tourne au vinaigre,oh this is going badly,oh that's going to end in tears,Good Translation,0.6619754,0.60099506,0.06098032
