idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le œil plus gros que le ventre,0,vous avez les yeux plus gros que le ventre mon ami,you've bitten off more than you can chew this time my friend,"you have bigger eyes than stomach, my friend",Good Translation,0.6276683,0.8971615,-0.26949316
avoir le œil plus gros que le ventre,1,elle pense qu'on a les yeux plus gros que le ventre,she worries our eyes might be a little bigger than our stomachs,she thinks we have bigger eyes than bellies,Unnatural,0.84100413,0.9087992,-0.06779504
avoir le œil plus gros que le ventre,2,on dirait que porter a eu les yeux plus gros que le ventre,looks like porter bit off more than he could chew,it seems that Porté tried to bite off more than he could chew,Good Translation,0.7547718,0.6517886,0.10298324
avoir le œil plus gros que le ventre,3,déjà quand tu étais gamin tu as toujours eu les yeux plus gros que le ventre,you know ever since you were a kid your eyes-- they were always bigger than your stomach,already when you were a kid you always had bigger eyes than the stomach,Literal Translation,0.89332294,0.93575704,-0.042434096
avoir le œil plus gros que le ventre,4,vous avez les yeux plus gros que le ventre,you're fighting outside your weight class,you have bigger eyes than belly,Literal Translation,0.53366745,0.90122795,-0.3675605
avoir le œil plus gros que le ventre,5,ais-je eu les yeux plus gros que le ventre à propos de mon accord pour cette mission,am i being too short-sighted in my acceptance of this mission,did I have eyes bigger than stomach regarding my agreement for this mission,Literal Translation,0.7382856,0.94531286,-0.20702726
avoir le œil plus gros que le ventre,6,je crois que j'ai eu les yeux plus gros que le ventre pour le coup morty,man i think my eyes were bigger than my stomach on this one morty,I think I bit off more than I could chew with Morty in this case.,Unnatural,0.8792917,0.6649637,0.21432799
avoir le œil plus gros que le ventre,7,le gouvernement a les yeux plus gros que le ventre,i mean government is all about biting off more than you can chew,the government has bigger eyes than stomach,Literal Translation,0.6986589,0.9325814,-0.23392254
avoir le œil plus gros que le ventre,8,je suppose que j'ai eu les yeux plus gros que le ventre,i guess i just tried to bite off a tad too much,I suppose I bit off more than I could chew.,Good Translation,0.62532616,0.660376,-0.035049856
avoir le œil plus gros que le ventre,9,et qui a les yeux plus gros que le ventre maintenant capitaine,now who's biting off more than they can chew captain,and has bigger eyes than belly now captain,Unnatural,0.6817109,0.90403295,-0.22232205
avoir le œil plus gros que le ventre,10,j'avais les yeux plus gros que le ventre,i bit off more than i could chew,I had bigger eyes than a belly.,Unnatural,0.6378981,0.9069017,-0.26900363
avoir le œil plus gros que le ventre,11,tu connais l'expression avoir les yeux plus gros que le ventre,have you ever heard the expression biting off more than you can chew,you have bigger eyes than stomach,Literal Translation,0.57501423,0.8270693,-0.25205505
