idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
rendre le âme,0,nous avons perdu beaucoup de temps à essayer de comprendre l'âme alors que la partie matérielle de notre être reste une terre inconnue,we wasted so much time trying to study the soul meanwhile the material element of our beings is still an unknown universe,We have lost a lot of time trying to understand the soul whereas the material part of our being remains an unknown land.,Good Translation,0.86899734,0.89624494,-0.027247608
rendre le âme,1,ceux qui rendent l'âme ne se rétablissent jamais,those who do die do never recover,Those who give up their souls never recover,Good Translation,0.7525471,0.8191849,-0.066637814
rendre le âme,2,oui il vient de rendre l'âme,yeah he just expired,Yes he just passed away,Good Translation,0.6669073,0.7093171,-0.042409778
rendre le âme,3,mais moi je suis sur le point de rendre l'âme,i'm the one in trouble,but I am on the verge of giving up the ghost,Good Translation,0.6041719,0.8551954,-0.25102353
rendre le âme,4,disons qu'il serait en quarantaine jusqu'à ce qu'il rende l'âme,we would all take care of him until he breathes his last breath he would be quarantined,Let's say he would be in quarantine until he gives up the ghost.,Good Translation,0.75952876,0.8843216,-0.124792814
rendre le âme,5,sa télévision a rendu l'âme,his television cable went kaput,Her TV has given up the ghost.,Good Translation,0.6932147,0.78960574,-0.09639102
rendre le âme,6,mon boulot c'est de prendre les âmes,i take souls for a living,My job is to take souls.,Unnatural,0.70001817,0.9008375,-0.20081931
rendre le âme,7,- il a rendu l'âme mais c'est mieux,- it died but it's in a better place now,-he gave up his ghost but it's better,Good Translation,0.7798713,0.90045655,-0.12058526
rendre le âme,8,notre moteur de distortion rend l'âme,our warp drive is failing,our distortion motor gives in the soul,Literal Translation,0.5583845,0.89388657,-0.3355021
rendre le âme,9,le bel ange transparent ne veut pas rendre l'âme,the beautiful transparent angel won't give its last,The beautiful translucent angel doesn't want to give up the spirit.,Good Translation,0.7724157,0.76921654,0.00319916
rendre le âme,10,on peut pas rester ici longtemps et la jeep a rendu l'âme,we can't stay here long and the jeep is dead,We can't stay here for too long and the Jeep has given up its spirit.,Good Translation,0.9017552,0.88417006,0.017585158
rendre le âme,11,ca fait quoi de prendre l'âme de quelqu'un,what is it like to take someone's soul,What's it like to take someone's soul,Good Translation,0.8192947,0.81789315,0.0014015436
rendre le âme,12,pos192230ce truc va bientôt rendre l'âme,damn thing's on its last legs,This thing is about to kick the bucket soon.,Good Translation,0.51233417,0.67689025,-0.16455609
rendre le âme,13,le chat a rendu l'âme dans cette pièce,the cat passed away in this room,The cat died in this room.,Unnatural,0.75510406,0.7574394,-0.00233531
rendre le âme,14,celle-ci me plaît davantage que la précédente qui a rendu l'âme dieu merci,though i confess i like her better than my last wife who is dead as a doornail now thank god,This one pleases me more than the previous one which has died god thank you.,Good Translation,0.72550654,0.8223497,-0.09684318
rendre le âme,15,la dernière fois que tu m'as vu j'avais 63 ans prêt à rendre l'âme en cardiologie,last time you saw me i was 63 stretched out on a cardiac ward,the last time you saw me I was 63 years old and ready to give up on cardiology,Unnatural,0.80831,0.8789753,-0.0706653
rendre le âme,16,c'était le signe que j'étais sur le point de rendre l'âme,as a sign i was about to expire,That was a sign that I was about to give up the ghost.,Good Translation,0.76840097,0.8548119,-0.08641094
rendre le âme,17,et à la stupéfaction des infidèles il rendit l'âme,and to the amazement of the infidels he gave up his soul,and to the amazement of the unbelievers he gave up his soul,Good Translation,0.8183896,0.7740896,0.04430002
