idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
prendre le tête,0,je sais qu'il est ici et ça me prend la tête,i know that he's over there right now and it's drilling a hole in my brain,I know he's here and it's driving me crazy,Good Translation,0.82106245,0.8746383,-0.053575873
prendre le tête,1,tu me prends la tête quand je bosse là-dessus,you come at me when i'm dealing with this shit,you're giving me a headache when I work on this,Good Translation,0.7861558,0.77309453,0.013061285
prendre le tête,2,tu dois arrêter de te prendre la tête,james you need to stop obsessing,you should stop stressing out,Good Translation,0.76198345,0.8012926,-0.039309144
prendre le tête,3,on s'est pris la tête au téléphone,we got into it over the phone,We argued on the phone.,Good Translation,0.8010311,0.86277914,-0.061748028
prendre le tête,4,t'es pris la tête dans le sac,now you know what a bagman is,you've got your head in the bag,Good Translation,0.4520699,0.86399144,-0.41192153
prendre le tête,5,elle te prend la tête nick,she is screwing with your head,she is giving you a headache nick,Unnatural,0.7655672,0.8777643,-0.1121971
prendre le tête,6,- je souhaiterais créer et prendre la tête d'une brigade criminelle à moscou,i want to create and take charge of moscow homicide department,-I would like to create and lead a criminal brigade in Moscow,Good Translation,0.84581995,0.94431937,-0.09849942
prendre le tête,7,non arrêtez de vous prendre la tête nick je ne peux pas faire comme si de rien n'était non plus,noyou can't keep beating yourself up about thisnick,don't keep stressing about it nick i can't act like nothing happened either,Good Translation,0.7161604,0.83730996,-0.12114954
prendre le tête,8,il serait arrivé vers 2 h du matin il s'est pris la tête avec un client et il est reparti aussitôt,he arrived at 2am had a row with another customer and left right after,"He arrived around 2 a.m., got into an argument with a customer, and left right away.",Good Translation,0.82188714,0.8414886,-0.019601464
prendre le tête,9,mais qui prendra la tête des forces de rome,yet who shall lead the forces of rome,but who will take the head of the forces of Rome,Unnatural,0.9305795,0.9549149,-0.024335444
prendre le tête,10,en plus j'ai pas envie de me prendre la tête avec sam merlotte en ce moment,besides i am way too fucked up to deal with sam merlotte right now,"besides, I don't feel like stressing with Sam Merlotte right now",Good Translation,0.8370335,0.91704655,-0.08001304
prendre le tête,11,nico terol reprend la tête,nico terol back into the lead,Nico Terol takes the lead,Good Translation,0.89063835,0.7528373,0.13780105
prendre le tête,12,je prendrai la tête de la tribu des hulins,i'll be the leader of hulin tribe,I will take the lead of the tribe of hulins,Good Translation,0.90879786,0.92562747,-0.01682961
prendre le tête,13,tu me prends la tête,are you giving me shit,you're giving me a headache,Good Translation,0.7276506,0.80401045,-0.07635987
prendre le tête,14,il s'est pris la tête avec deux mecs devant une putain de boîte,he's had a row with a couple of geezers outside a fucking club,He hit his head with two guys in front of a damn club,Literal Translation,0.7465577,0.8580384,-0.11148071
prendre le tête,15,savage prend la tête pour angkor - allez savage,savage now in the lead for angkor,Savage takes the lead for Angkor - go Savage,Good Translation,0.78301847,0.8705336,-0.087515116
prendre le tête,16,c'est quoi ce cartel qui te laisse prendre la tête des opérations,what kind of cartel would have you running its operation,what kind of cartel lets you take the lead in operations,Good Translation,0.74639565,0.85387766,-0.107482016
prendre le tête,17,si prendre la tête de la société menace les progrès que tu as fait,if my taking over the company threatens any of the progress you've made,if taking the lead of the company threatens the progress you have made,Good Translation,0.83217597,0.891193,-0.059017003
prendre le tête,18,je crois que ce bébé les obsède et livia ça lui prend la tête,i think they're obsessed with the baby and that bothers livia,I think this baby is driving them crazy and Livia it's on her mind.,Good Translation,0.8404887,0.8516414,-0.011152744
prendre le tête,19,moi elle me prend la tête,she's been nagging the crap out of me,she gives me a headache,Good Translation,0.76902723,0.83829993,-0.0692727
prendre le tête,20,- saidi prends la tête,- saidi take the lead,-Saidi takes the lead,Good Translation,0.8358167,0.78733045,0.048486233
prendre le tête,21,je voyais vite si elle lui avait pris la tête elle était lunatique insatiable,i always knew when she was driving him up the wall with her emotional outbursts her change-of-life moods her insatiable,I could see quickly if she had taken him for a ride; she was lunar-insatiable.,Literal Translation,0.7282556,0.7921256,-0.06386995
prendre le tête,22,et prenez la tête de l'autre j'ai utilisé le lien de m'gann pour prendre possession de mal et,this so-called champion is merely another distraction,and take the head of the other I used the link of Meggan to take possession of mal,Mistranslation,0.40346953,0.85054237,-0.44707283
prendre le tête,23,alors comment vous prévoyiez de prendre la tête,so how do you plan to take the lead,then how did you plan to take the lead,Unnatural,0.7318197,0.8045609,-0.07274121
prendre le tête,24,il prendra la tête mais je ne crois pas qu'il tiendra la distance,he's gonna be out on the lead but i don't think he'll handle the distance,He will take the lead but I don't think he can maintain it.,Good Translation,0.88320655,0.8585421,0.024664462
prendre le tête,25,mais parlons d'autre chose je ne veux pas me prendre la tête avec un mort,but let's drop it i don't want to speak ill of the dead,but let's talk about something else; I don't want to complicate things with a dead person.,Partial Translation,0.8157989,0.8891182,-0.073319316
prendre le tête,26,j'ai su que vous vous étiez pris la tête avec scott,i heard about how you banged heads with scott,I knew you had a headbutt with Scott.,Good Translation,0.8490591,0.8450606,0.003998518
prendre le tête,27,c'est ton hobby de te prendre la tête sur des détails,hey are you a man or what stop letting every little incident bother you,it's your hobby to stress over details,Good Translation,0.6286117,0.90818727,-0.2795756
prendre le tête,28,c'est marrant quand tu te prends la tête,it is kind of fun watching you torture yourself,It's funny when you give yourself a headache,Good Translation,0.7374744,0.84185016,-0.10437578
prendre le tête,29,prenez la tête,lean forward,take the lead,Literal Translation,0.6634535,0.7889179,-0.12546438
prendre le tête,30,nous écrivons des lettres méchantes à la revue de paris quand on se prend la tête,we write nasty letters to the paris review when we get mad at each other,we write mean letters to the Paris review when we have a headache,Literal Translation,0.84024334,0.8170103,0.023233056
prendre le tête,31,prenez la tête,go ahead,take the lead,Good Translation,0.71402264,0.7889179,-0.07489526
prendre le tête,32,peut on avoir une conversation sur le féminisme dans laquelle les hommes prendraient la tête,can we have one conversation about feminism where men get to be in charge,Can there be a conversation about feminism in which men take the lead?,Good Translation,0.89749974,0.90695536,-0.009455621
prendre le tête,33,henrik franksen prend la tête des modérés et devient notre adjoint aux techniques et à l'environnement dès aujourd'hui,henrik frandsen is the new leader of the moderates and the acting mayor of the environmental department,Henrik Franksen takes the lead of the moderates and becomes our deputy for technology and environment from today onwards.,Good Translation,0.7376205,0.840159,-0.102538526
