idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le cœur sur le main,0,woody a le cœur sur la main mais tout ce qu'il touche se transforme en merde,i mean woody's got a heart of gold but let's be honest everything he touches turns to shit,Woody has his heart on his sleeve but everything he touches turns to crap.,Good Translation,0.8789842,0.9134754,-0.03449118
avoir le cœur sur le main,1,avait le coeur sur la main,wore his heart on his sleeve,had his heart in his hand,Unnatural,0.8179542,0.9047022,-0.086748004
avoir le cœur sur le main,2,elle a le coeur sur la main,she's got a big heart,she has her heart on her sleeve,Good Translation,0.824152,0.9242104,-0.10005844
avoir le cœur sur le main,3,j'ai le cœur sur la main et je ne suis pas rancunier,i'm a generous and easy-going guy,I have a heart on my sleeve and I'm not vengeful.,Good Translation,0.69291544,0.85542625,-0.16251081
avoir le cœur sur le main,4,parce que l'homme qui ressemblait à une chèvre chamoisée avait le cœur sur la main,because the man with the face of a mountain goat had the heart of an abraham lincoln,Because the man who resembled a chamois had his heart on his sleeve.,Good Translation,0.6743993,0.8774622,-0.20306289
avoir le cœur sur le main,5,il a le cœur sur la main,he's a nice fellow paul he just worries too much don't you think,he has his heart on his sleeve,Good Translation,0.5760275,0.91316646,-0.33713895
avoir le cœur sur le main,6,et elle a le cœur sur la main,and she just gives and gives,and she has her heart on her sleeve,Good Translation,0.731766,0.9315226,-0.19975662
avoir le cœur sur le main,7,j'ai le coeur sur la main tu vois,i wear my heart on my sleeve see,I have my heart on my sleeve you see,Good Translation,0.77081215,0.84301054,-0.07219839
avoir le cœur sur le main,8,mais il avait le coeur sur la main,i mean his heart was in the right place you know,but he had it at heart,Good Translation,0.78000593,0.87861425,-0.098608315
avoir le cœur sur le main,9,a la santé de jeremiah qui a le cœur sur la main,here's to jeremiah whose heart's in the right place,To Jeremiah's health who has his heart on his sleeve,Good Translation,0.8455646,0.84399647,0.0015681386
avoir le cœur sur le main,10,eh j'ai le coeur sur la main là,i've got your heart on my sleeve,I have my heart on my sleeve here.,Unnatural,0.7925958,0.8392643,-0.04666847
