idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
ah la vache,0,ils avaient des brosses impeccables - ah la vache,- and your grandfathers,they had immaculate brushes - oh cow,Literal Translation,0.46272504,0.8765142,-0.41378915
ah la vache,1,ah la vache il l'a pas volé,he sure had it coming,oh my god he hasn't stolen it,Literal Translation,0.5388988,0.7438606,-0.20496178
ah la vache,2,ah la vache,bloody hell,"Oh no! (idiomatic expression roughly equivalent to ""good grief"")",Unnatural,0.4752481,0.35943538,0.11581272
ah la vache,3,salut ah la vache ils sont costauds ceux-là,oh my god who's winning so far,Hello look at those big guys over there,Literal Translation,0.5194142,0.65819013,-0.13877594
ah la vache,4,ah la vache,- holy moly,Good grief! or Good gosh!,Good Translation,0.49057603,0.43748975,0.05308628
ah la vache,5,ah la vache,holy cow,"Oh no, not now!",Mistranslation,0.49402595,0.44726855,0.0467574
ah la vache,6,ah la vache c'est le saumon,it's the salmon guy,"Oh my god, it's salmon!",Partial Translation,0.66538036,0.6917344,-0.026354015
ah la vache,7,ah la vache on a un fax de l'ij,it's a fax from forensics,Oh my god we have a fax from IJ,Good Translation,0.75026435,0.8445625,-0.094298124
ah la vache,8,ah la vache,- attention - oh boy,Good grief or Good Lord,Mistranslation,0.4668907,0.34552258,0.12136811
ah la vache,9,- d'accord d'accord ah la vache,all right all right all right,- okay okay oh my goodness,Good Translation,0.58100814,0.56462765,0.016380489
aller droit à le but,0,et maintenant une jeune femme qui va droit au but ma sœur roberta tubbs,and now a young lady who goes to third base faster than rickey henderson my sister roberta tubbs,and now a young woman who gets straight to the point my sister Roberta Tubbs,Good Translation,0.7977394,0.8728696,-0.075130224
aller droit à le but,1,rebecca je je vais aller droit au but,becca there is no easy way to say this,Rebecca I'm going straight to the point,Good Translation,0.59137046,0.78969145,-0.19832098
aller droit à le but,2,allons droit au but veux-tu,let's cut to the chase shall we,"Let's get to the point, shall we?",Good Translation,0.6722493,0.6977685,-0.025519192
aller droit à le but,3,allons droit au but,all right so let's cut to the chase,Let's go straight to the point.,Good Translation,0.78067726,0.8566562,-0.075978935
aller droit à le but,4,ça ne vous dérange pas si on va droit au but,you don't mind if we uh jump right in,Does that not bother you if we cut to the chase?,Good Translation,0.75141764,0.70050466,0.050912976
aller droit à le but,5,de fait messieurs je vais aller droit au but,indeedgentlemenlet me c to the chase,In fact gentlemen I will go straight to the point,Good Translation,0.70135593,0.8732312,-0.17187524
aller droit à le but,6,je vais aller droit au but,well i i'll get right on that,I'm going straight to the point.,Good Translation,0.7487355,0.823802,-0.07506651
aller droit à le but,7,c'est une question qui va droit au but,straightforward question,that's a straight-to-the-point question,Good Translation,0.70678705,0.8372899,-0.13050288
aller droit à le but,8,c'est pourquoi messieurs je vais aller droit au but,therefore i shall get straight to the point,That is why gentlemen I am going straight to the point.,Good Translation,0.80128527,0.8630537,-0.061768413
aller droit à le but,9,concentre-toi et va droit au but,focus keep it simple,Focus and get straight to the point.,Good Translation,0.7159596,0.8741013,-0.15814167
aller droit à le but,10,vous me connaissez alors je vais aller droit au but,now you all know me so i'll just say this as simple as i can,You know me then I'll get straight to the point,Good Translation,0.7031854,0.8753206,-0.17213523
aller droit à le but,11,vouiez-vous aller droit au but,should we get right to it captain,Would you please come straight to the point?,Good Translation,0.6770793,0.7159982,-0.038918853
aller droit à le but,12,nous allons aller droit au but,we're gonna keep this simple,We're going straight to the point.,Good Translation,0.7163364,0.84574914,-0.12941271
aller droit à le but,13,est-ce qu'on peut aller droit au but,look can we just cut to the chase here,Can we cut to the chase?,Good Translation,0.5956384,0.56875736,0.02688104
aller droit à le but,14,je vais aller droit au but tu es seul pour la soirée de noël non,let me cut to the chase i hear you can't get a date for the winter formal,I'm going straight for the target you're alone on Christmas Eve aren't you?,Good Translation,0.6102924,0.86146206,-0.25116968
aller droit à le but,15,très bien allons droit au but,ok let's get something straight,"Very well, let's go straight to the point.",Good Translation,0.726877,0.81727463,-0.090397656
aller droit à le but,16,de cette manière ils iront droit au but en un seul coup,this way they can advance all the way home on just one move,in that way they will go straight for the goal in one shot,Good Translation,0.8226762,0.94167477,-0.11899859
aller droit à le but,17,eh bien c'est brutal mais ça va droit au but,well might be a little harsh but i think it makes a point,Well that's brutal but it gets straight to the point.,Good Translation,0.693361,0.91370916,-0.22034818
aller droit à le but,18,bon allons droit au but alorscyrus je te présente sanders black,well let's get right to it then cyrus meet sanders black,Alright let's get to the point then Cyrus I present Sanders Black,Good Translation,0.8171241,0.82775974,-0.010635614
aller droit à le but,19,ne me sors pas une longue explication et va droit au but,don't make any long explanations and just get to the point,Don't give a long explanation and get to the point.,Good Translation,0.8683101,0.89299136,-0.02468127
aller droit à le but,20,eh bien allons droit au but ça signifie que l'entreprise savait que l'amiante provoquait le cancer,wellif you drill it downit means the company knew asbestos was causing cancer,well let's get to the point it means that the company knew that asbestos caused cancer.,Good Translation,0.77602714,0.8824208,-0.106393635
aller droit à le but,21,allez droit au but,get to the point mr morelli,Go for it directly,Literal Translation,0.65563685,0.77603114,-0.12039429
aller droit à le but,22,alors je vais résumer ça et aller droit au but,then i'm gonna have to sort of condense this maybe make it more of a bullet-point thing,so I'll summarize it and get straight to the point,Good Translation,0.727845,0.90360737,-0.17576236
aller droit à le but,23,si on allait droit au but,why don 't we cut the crap and talk straight,If we were to go straight for it,Partial Translation,0.46425462,0.69544244,-0.23118782
aller droit à le but,24,allons droit au but agent burke,let's cut through the facade agent burke,"Let's go straight to the point, Agent Burke.",Good Translation,0.8042895,0.8395928,-0.035303295
aller droit à le but,25,tu vas droit au but papa,way to get right to the point dad quinn laughing,"You're going straight for the goal, Dad!",Unnatural,0.6337249,0.813216,-0.17949104
aller droit à le but,26,je pensais juste qu'on pourrait aller droit au but,i just thought we might expedite,I just thought we could get straight to the point.,Good Translation,0.8261181,0.8735239,-0.04740578
aller droit à le but,27,je sais que vous êtes occupée aussi je vais aller droit au but,since you're busy i will just get to the point,I know you're busy too I'll get straight to the point.,Good Translation,0.7817826,0.85465896,-0.072876334
aller droit à le but,28,trêve de plaisanteries allons droit au but,pleasantries out of the way let's get down to the heart of the matter,Let's get down to business.,Good Translation,0.7664449,0.7138699,0.052574992
aller droit à le but,29,tu es bien ma fille tu vas droit au but,that's my girl straight and to the point,You're just fine my daughter you're going straight to your goal,Partial Translation,0.74700004,0.875018,-0.12801796
aller droit à le but,30,alors si t'allais droit au but,so if you went straight to the point,then if you went straight for the goal,Unnatural,0.8768108,0.9000298,-0.02321899
aller droit à le but,31,il y a aucune intrigue de nos jours ça va droit au but,there's no plot in these things any more just straight in there,"There is no plot these days, it goes straight to the point.",Good Translation,0.74737537,0.8469516,-0.099576235
aller droit à le but,32,louise m'attend pour dîner allons droit au but,louise is holding dinner for me so let's have it,Louise is waiting for dinner let's get to the point.,Unnatural,0.84799457,0.8260529,0.021941662
aller droit à le but,33,j'adorerais me battre avec toi mais je préfère aller droit au but,while i'd love to go on trading jabs with you spike perhaps i'll come to the point,I would adore fighting with you but I'd rather get straight to the point.,Good Translation,0.63343114,0.8833799,-0.24994874
aller droit à le but,34,vous semblez aller droit au but,you look like a man who likes to get right to the point,You seem to be aiming directly for the target.,Good Translation,0.7927352,0.884863,-0.0921278
aller droit à le but,35,votre usine est remarquable mais puis-je aller droit au but,the plant is wonderful but can we get straight to business,"Your factory is impressive, but may I get to the point.",Good Translation,0.7664186,0.8512927,-0.08487415
aller droit à le but,36,bon allons droit au but,well lets get to it,Let's get down to business.,Good Translation,0.8512298,0.7803017,0.0709281
aller droit à le but,37,je vais aller droit au but milo,we can just get right to the point milo,I'm going straight to Milo's goal,Literal Translation,0.7982074,0.8526784,-0.054471016
aller droit à le but,38,bon allons droit au but d'accord,so anyway let's get to the point of it and that right,let's get straight to the point then,Good Translation,0.7922724,0.7625225,0.02974987
aller droit à le but,39,enfin bref allons droit au but,so anyways let's get down to the nitty-gritty,To cut to the chase.,Good Translation,0.78486025,0.6492574,0.13560283
aller droit à le but,40,il va droit au but,- he gets right to the point - hi honey,He is going straight to the goal.,Literal Translation,0.7182069,0.9054796,-0.18727273
aller droit à le but,41,- on peut aller droit au but,-can we get to the point here,-we can go straight for the goal,Unnatural,0.70032966,0.9221889,-0.22185922
aller droit à le but,42,allons droit au but où est la drogue,let's cut to the chase where's the dope,Let's get right to the goal where the drugs are,Good Translation,0.7315457,0.8691281,-0.13758242
aller droit à le but,43,les gens commencent à s'interroger alors va droit au but d'accord,people are starting to look so let's just move it along okay,people are beginning to ask themselves then they go straight to the point okay,Good Translation,0.73644316,0.88246506,-0.1460219
aller droit à le but,44,- allons droit au but,just cut to the chase,let's get straight to the point,Good Translation,0.623431,0.82755643,-0.2041254
aller droit à le but,45,maintenant allons droit au but - le tirage au sort,let's get on to the important stuff - the raffle,Now let's get straight to the draw.,Good Translation,0.8334039,0.8460127,-0.012608826
aller droit à le but,46,vous êtes très occupée alors allons droit au but,miss walker i know you're busy so let's-- let's get uh right to the nitty-gritty,You're very busy so let's get to the point.,Good Translation,0.79355156,0.9137881,-0.120236516
aller droit à le but,47,puis-je comme on dit chez vous aller droit au but professeur,may i as you say in america cut right to the chase professor,"May I like we say in your country go straight to the point, professor?",Good Translation,0.785408,0.7954215,-0.010013461
aller droit à le but,48,nous nous connaissons alors allons droit au but et dites pourquoi vous êtes ici,okay you already know me and i already know you so why don't we not play any games and you can start by telling me why you're here,We know each other then we go straight to the point and ask why you are here,Partial Translation,0.7031073,0.94082737,-0.23772007
aller droit à le but,49,je serai à vos côtés malgré vos insultes parce qu'un révolutionnaire va droit au but coûte que coûte,i'll be at your side despite your insults a revolutionary aims straight to the goal at all costs,I will be with you despite your insults because a revolutionary gets to his target no matter what.,Good Translation,0.926935,0.9310907,-0.0041556954
aller droit à le but,50,- tu vas droit au but,- straight to the point,You're going straight for it.,Partial Translation,0.763022,0.80635893,-0.043336928
aller droit à le but,51,chéri il vaut parfois mieux éviter d'aller droit au but,honey sometimes it's not the most perfect timing to get straight to the point,"dear, it is sometimes better to avoid aiming straight for the goal.",Partial Translation,0.7448169,0.9162634,-0.1714465
aller droit à le but,52,mais allons droit au but et voyons s'il n'y a pas de l'adn de connie dessus,but why don't we just cut to the chase then and see if this doesn't have connie's dna on it,but let's get to the point and see if there is no dna from connie on it,Partial Translation,0.81655157,0.9216285,-0.10507691
aller droit à le but,53,je vais aller droit au but jack,i'm gonna get right to the point jack,"I'm going straight to the point, Jack.",Good Translation,0.8585591,0.76641524,0.09214383
aller droit à le but,54,- je vais aller droit au but,- hey let me cut to the chase,I will go straight to the point.,Good Translation,0.70768785,0.86189556,-0.1542077
aller droit à le but,55,j'irais droit au but,makes it easy to get to the point,I would go straight to the point.,Unnatural,0.6217785,0.72319764,-0.10141915
aller droit à le but,56,laissez tomber les formalités allez droit au but votre idéal est peut-être ici,skip the small talk ask the questions that really matter to you and your match may be here,Drop the formalities go straight to the point your ideal may be here,Good Translation,0.73721623,0.92836905,-0.19115281
aller droit à le but,57,d'accord allons droit au but,all right let's get to it when and where,Let's go straight for it.,Unnatural,0.7564326,0.81378275,-0.05735016
aller droit à le but,58,pour aller droit au but ma soeur je veux que dieu me choisisse,all bullshit aside sister i want god to pick me,To go straight to my goal my sister I want God to choose me,Good Translation,0.813319,0.9260528,-0.11273378
aller droit à le but,59,toby allez droit au but je vous en prie,toby if you have something to say please say it,"Toby go straight to the goal, please.",Partial Translation,0.794504,0.90627605,-0.11177206
aller droit à le but,60,bien j'irais droit au but,well i'll get right to it,I'd go straight to the point.,Good Translation,0.7971012,0.7786,0.018501222
aller droit à le but,61,e allons droit au but,e let's just cut to the chase,Let's get straight to the point.,Good Translation,0.74143374,0.7993065,-0.057872772
aller droit à le but,62,allons droit au but qu'on puisse vite rentrer chez nous,let's cut to the chase so we can all get out of here and go home okay,Let's get right to it so we can go home soon.,Good Translation,0.75522137,0.90443265,-0.14921129
aller droit à le but,63,si tu veux quelque chose va droit au but,but if you need something you should let me know,If you want something go straight to it,Unnatural,0.6549518,0.87577975,-0.22082794
aller droit à le but,64,je devrais aller droit au but,um i guess i should just uh jump right into this,I should go straight to the point.,Good Translation,0.763978,0.85894465,-0.09496665
aller droit à le but,65,laisse-moi aller droit au but,let me get this straight,Let me get straight to the point.,Good Translation,0.74804497,0.8129736,-0.06492865
aller droit à le but,66,allons droit au but est-ce parce qu'elle est noire,let's cut the bullshit then is this because she's black,Let's get to the point is it because she's black?,Good Translation,0.74074847,0.8148328,-0.07408434
aller droit à le but,67,elle sait ce qu'elle veut et va droit au but,she knows what she wants and she asks for it,She knows what she wants and goes straight to the point.,Good Translation,0.83056855,0.9197947,-0.08922613
aller droit à le but,68,tessa je vais aller droit au but,- tessa let me just cut to the chase,Tessa I'm going straight to the point,Good Translation,0.7553337,0.846351,-0.091017306
aller droit à le but,69,eh bien tu es allé droit au but avec celle-la,well you walked right into that one,well you've gone straight to the point with that one,Good Translation,0.79598534,0.7916939,0.004291415
aller droit à le but,70,bien allons droit au but,well let's hash it out,Let's go straight to the point.,Good Translation,0.676324,0.82623214,-0.14990813
aller droit à le but,71,si vous alliez droit au but entendu,how about we get to the point of this exercise,If you went straight for what was intended.,Good Translation,0.56458086,0.7083988,-0.14381796
aller droit à le but,72,larry je vais aller droit au but,larry i want to get right to the point,Larry I'm going straight for it,Good Translation,0.803145,0.76443756,0.038707435
aller droit à le but,73,permettez-moi d'aller droit au but,let me cut to the chase,Let's cut to the chase.,Good Translation,0.7414364,0.700224,0.04121244
aller droit à le but,74,si vous êtes au courant de tout allons droit au but,since you know everything let's get to the bottom line,"If you're aware of everything, let's go straight to the point.",Good Translation,0.8283958,0.90163034,-0.07323456
aller droit à le but,75,vous êtes un homme très occupé clairement alors nous allons droit au but,you're a very busy man clearly so we'll get right to the point,You are clearly a very busy man so let's get straight to the point.,Good Translation,0.94624627,0.9321471,0.014099181
aller droit à le but,76,tu vas droit au but,you go right at a thing,You go straight for it.,Good Translation,0.8175653,0.78594255,0.031622767
aller droit à le but,77,pour aller droit au but on s'intéresse à un de vos élèves,uh getting right to the point we have an eye on one of your students,to get straight to the point one of your students is being targeted,Partial Translation,0.8555889,0.87631094,-0.020722032
aller droit à le but,78,insulte-les de hippies et va droit au but,just call someone a hippie and get to the point,Mock them as hippies and go straight to the point,Good Translation,0.8310307,0.89362407,-0.06259334
aller droit à le but,79,et à en juger par vos regards je vais aller droit au but,and judging by your looks i'm just gonna get right to it,and by your looks I'm going straight for it,Good Translation,0.8415567,0.8532603,-0.011703551
aller droit à le but,80,je croyais qu'on irait droit au but,i thought you brought me here because we were gonna cut through the bullshit,I thought we would go straight for it.,Good Translation,0.62955827,0.7967243,-0.16716605
aller droit à le but,81,je sais que votre temps est précieux donc je vais aller droit au but,i know your time's precious so i'll get to the point,I know that your time is precious so I will come straight to the point.,Good Translation,0.88468224,0.91189015,-0.027207911
aller droit à le but,82,je ne peux y croire vous allez droit au but n'est-ce pas,i can't believe this you go right for the jugular don't you,I don't believe it you're going straight to the point aren't you?,Good Translation,0.7909485,0.844638,-0.05368948
aller droit à le but,83,vous allez droit au but,you get right to it don't you,You're going straight to the point,Good Translation,0.7688006,0.85413086,-0.08533025
aller droit à le but,84,- j'aime qu'il aille droit au but,- you read a lot of his stuff,I like it when he shoots straight at the goal.,Literal Translation,0.5588738,0.8319448,-0.27307105
aller droit à le but,85,bon maman allons droit au but et essayons de sauver l'anniversaire de rebecca,all right mom let's just cut to the chase and then maybe we can salvage rebecca's birthday party please,Let's get straight to the point and try to save Rebecca's birthday.,Good Translation,0.81093836,0.82473636,-0.013797998
aller droit à le but,86,amber je vais aller droit au but,amber i'm just going to go ahead and cut to chase here,I'm going straight for it I'll aim right for the goal.,Good Translation,0.76199806,0.74082994,0.021168113
aller droit à le but,87,allons droit au but et passons au jardin,may i suggest that we dispense with the amenities and go directly to your patio,Let's go straight to the point and move on to the garden.,Good Translation,0.7331474,0.8913181,-0.1581707
aller droit à le but,88,nous avons beaucoup à nous dire allons droit au but,obviously we have a lot to discuss so i think we should just jump in,We have a lot to say to each other let's get straight to the point.,Good Translation,0.77820563,0.8828679,-0.10466224
aller droit à le but,89,allez droit au but s'il y en a un,get to the point spock if there is one,go straight for the goal if there is one,Good Translation,0.76939243,0.91736656,-0.14797413
aller droit à le but,90,allons droit au but,-yeah -let's broach the elephant in the room -right,Let's get down to business.,Good Translation,0.62636995,0.7850413,-0.15867132
aller droit à le but,91,c'est aller droit au but ça,i thought you were getting to the point,It's going straight for the goal that is.,Good Translation,0.61583626,0.78954834,-0.17371207
aller droit à le but,92,normal allez droit au but,norma maybe just cut to the point,Go straight to the point.,Good Translation,0.5930999,0.7675601,-0.17446023
aller droit à le but,93,j'allai droit au but,i didn't wanna bullshit him,I went straight for the goal.,Good Translation,0.530401,0.7006146,-0.17021358
aller droit à le but,94,donc si on allait droit au but,so what say we get to it,so if we go straight to the point,Good Translation,0.6598112,0.88190603,-0.22209483
aller droit à le but,95,réunissez-les et allez droit au but,just get them together and give it to them straight,Bring them together and get down to business.,Good Translation,0.82076865,0.7902856,0.030483067
aller droit à le but,96,allons droit au but parlons argent,let that be talk about cash money,Let's get down to business and talk about money.,Good Translation,0.7670636,0.8125036,-0.04543996
aller droit à le but,97,vous allez droit au but moi aussi,you jump right in don't you,You're going straight for it just like me.,Unnatural,0.7189997,0.820434,-0.10143429
aller droit à le but,98,elle va droit au but,- all of our music is really so symbolic rather than direct to the point you know,she is going straight to the point,Good Translation,0.4192754,0.8926256,-0.47335017
aller droit à le but,99,non je veux aller droit au but et me tailler d'ici au plus vite,no i want to get right to the point and get the hell out of here,no I want to get straight to the point and leave as quickly as possible from here,Good Translation,0.78770417,0.82247174,-0.034767568
