idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être bien dans son peau,0,si le principal effet secondaire c'est qu'on est bien dans sa peau,but aren't there side effects yes their main side effect is greatness,if the main side effect is that one feels good in their skin,Literal Translation,0.68146074,0.9177593,-0.23629856
être bien dans son peau,1,j'étais bien dans ma peau,i felt good,I was at ease in my skin,Good Translation,0.8503318,0.9276453,-0.07731354
être bien dans son peau,2,je suis bien dans ma peau,actually i'm pretty confident about my body,I am comfortable in my skin,Good Translation,0.7577525,0.87011474,-0.112362266
être bien dans son peau,3,je sais tu as raison tant que je suis bien dans ma peau peu importe ce que pensent les gens,you're right as long as i'm confident with who i am it doesn't matter what other people think,I know you have a point as long as I am comfortable in my own skin regardless of what people think.,Good Translation,0.8637115,0.8933971,-0.029685616
être bien dans son peau,4,les femmes supportent pas qu'un homme soit bien dans sa peau,women don't like a man feeling good about himself,Women don't like it when a man is comfortable in his own skin.,Good Translation,0.8617634,0.8987471,-0.03698367
être bien dans son peau,5,pour les aider à être bien dans leur peau c'est flippant non,helped them feel good about themselves,"for them to be comfortable in their skin is freaky, huh",Good Translation,0.72912157,0.8040467,-0.074925125
être bien dans son peau,6,le gagnant du concours devrait juste être une petite fille qui passe un magnifique moment sur scène qui est bien dans sa peau qui aime être sur scène et à confiance et c'est vraiment ca,the winner of the pageant should just be an all-around little girl who's having a great time on stage who's comfortable in herself loves being on stage and feels confident and that's really it,"the winner of the contest should just be a little girl who has a beautiful moment on stage that suits her well because she loves being on stage and is confident, and that's really it",Partial Translation,0.9110422,0.9394871,-0.028444886
être bien dans son peau,7,- vous êtes bien dans votre peau,-yeah how do you feel about that,- you are well in your skin,Literal Translation,0.6160432,0.9579517,-0.3419085
être bien dans son peau,8,en fait pour être heureux faut être bien dans sa peau,but the only people who are you know happy are the people who are comfortable,"in fact, to be happy, you have to be comfortable in your own skin",Good Translation,0.6384565,0.90140665,-0.26295012
être bien dans son peau,9,c'est dur d'être bien dans sa peau,you gotta work hard to be comfortable,it's hard to be at peace with oneself,Good Translation,0.6993996,0.7797059,-0.08030629
être bien dans son peau,10,chacun fait un truc qui l'aide à être bien dans sa peau,everybody has their thing they do that makes them feel better about themselves,Each does something that helps them be comfortable in their skin.,Good Translation,0.87586963,0.93026584,-0.054396212
être bien dans son peau,11,t'es inquiète mais je suis bien dans ma peau tu voudrais que ça dure,rochelle i know you're concerned right now but if you knew how i felt you'd want me to keep feeling this way,you're anxious but I'm comfortable with myself you would want that to last,Good Translation,0.69791627,0.8374641,-0.13954782
être bien dans son peau,12,il s'agit d'être bien dans sa peau,it's about being at ease in one's own skin,it's about being comfortable in one's own skin,Good Translation,0.83970356,0.84854037,-0.008836806
être bien dans son peau,13,ça a été un très long processus pour moi et j'ai tellement travaillé sur moi-même pour être bien dans ma peau,this has been a really long process for me and i've worked too hard to get right with myself,"It has been a very long process for me, and I have worked so much on myself to be comfortable in my own skin.",Good Translation,0.8637325,0.9459667,-0.082234204
être bien dans son peau,14,on voudrait qu'il soit bien dans sa peau,we want him to be happy,we would like him to be comfortable in his own skin,Good Translation,0.78040326,0.88054526,-0.100142
être bien dans son peau,15,je suis bien dans ma peau,i'm fine with who i am,I am comfortable in my skin,Good Translation,0.7761472,0.87011474,-0.09396756
être bien dans son peau,16,c'est notre boulot faire en sorte que les gens soient bien dans leur peau,what else do we do here other than make people feel better about themselves,it's our job to make sure that people feel good in their skin,Good Translation,0.70450294,0.9265219,-0.22201896
être bien dans son peau,17,et je me contente d'être bien dans ma peau,i'm happy with who i am,and I just content myself with being well in my skin,Unnatural,0.791167,0.9335015,-0.14233446
être bien dans son peau,18,quand on est bien dans notre peau quand on est bien intérieurement c'est un bonheur,being comfortable with oneself is being happy,when we feel good in ourselves when we are internally at peace it is a happiness,Good Translation,0.7569515,0.89133275,-0.13438123
être bien dans son peau,19,tu m'aides à me reconstruire à être bien dans ma peau,it's because like you're really good at like building me up and like makin' me feel good about myself,you help me rebuild myself to be at peace with my skin,Unnatural,0.7060251,0.8777051,-0.17167997
être bien dans son peau,20,unique est juste une attirante jeune femme qui en veut et qui est bien dans sa peau,unique adams is nothing more than an attractive buxom young woman who's got it going on in all the right places,unique is just an attractive young woman who wants things and feels confident,Good Translation,0.822605,0.9233449,-0.1007399
