idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se mettre sur son 31,0,je me mets sur mon 31 et je vais à un enterrement,i put on my best dress to go to a funeral,I put myself on my best behavior and go to a funeral,Unnatural,0.7263773,0.75737333,-0.030996025
se mettre sur son 31,1,il se mettait sur son 31 prenait une valise,he'd get dressed up pack a suitcase,he would put on his best clothes packed a suitcase,Good Translation,0.77790886,0.7351136,0.04279524
se mettre sur son 31,2,donc j'ai pensé me mettre sur mon 31,so i thought i'd dress the part,so I thought I would give it my best shot,Partial Translation,0.71355635,0.6744178,0.039138556
se mettre sur son 31,3,elle se mettait sur son 31 pour nos séances,she began to dress for our sessions,she put her best foot forward for our sessions,Good Translation,0.78254974,0.76128125,0.021268487
se mettre sur son 31,4,il voudra certainement que je me mette sur mon 31,he'll want me to look my best,He will certainly want me to get my act together,Good Translation,0.7058444,0.75521666,-0.049372256
se mettre sur son 31,5,ouais c'est amusant de se mettre sur son 31,yeah it's fun to dress up,yeah it's fun to put oneself on one's best behavior,Unnatural,0.70699716,0.71361375,-0.0066165924
se mettre sur son 31,6,si on se mettait sur notre 31 et qu'on dînait tôt avant d'aller à l'opéra,what do you say we dress up tonight have an early dinner and go to the opera,if we set our clocks back by 31 hours and ate dinner early before going to the opera,Literal Translation,0.689199,0.853596,-0.164397
se mettre sur son 31,7,mais je vais essayer de me mettre sur mon 31,but i think i might try to dress up,but I'll try to get my act together,Good Translation,0.7425245,0.7615574,-0.019032896
se mettre sur son 31,8,le jour de la fête des mères les gens se mettent sur leurs 31,on mother's day people pull out all the stops,"on Mother's Day, people go all out",Good Translation,0.6867305,0.72876775,-0.04203725
se mettre sur son 31,9,j'espère qu'elle n'est pas contagieuse parce que j'ai vraiment envie de me mettre sur mon 31 et de parler à de complets inconnus,whoa i hope it's not contagious 'cause i really am looking forward to putting on a suit and talking to a bunch of strangers,I hope it's not contagious because I really want to go all out and talk to complete strangers.,Good Translation,0.7985196,0.8621615,-0.063641906
se mettre sur son 31,10,parfois je me mets sur mon 31,i dress up occasionally,sometimes I put on my best clothes,Good Translation,0.7197745,0.67445165,0.045322835
se mettre sur son 31,11,je me mettais sur mon 31 on faisait comme si on avait les moyens,i'd get myself all dressed up make the dealer believe we could actually afford it,I'd set myself up for success as if we had the means.,Unnatural,0.6805655,0.7332862,-0.052720726
se mettre sur son 31,12,j'ignorais que j'étais censé me mettre sur mon 31,i didn't know i was supposed to dress up,I had no idea I was supposed to put on my best attire.,Good Translation,0.72347295,0.66612566,0.057347298
