idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
un bouchée de pain,0,ils l'achetèrent pour une bouchée de pain,they step in they buy it for a pittance,They bought it for a mouthful of bread.,Literal Translation,0.80063766,0.89114684,-0.090509176
un bouchée de pain,1,macgyver khan te vendrait pour une bouchée de pain tu le sais,macgyver khan would sell you down for a second cup of coffee you know,MacGyver would sell you out for a crust of bread - You know that.,Good Translation,0.8124578,0.77636063,0.03609717
un bouchée de pain,2,rien une bouchée de pain,- oh nothing we practically stole it from them,nothing a mouthful of bread,Good Translation,0.57845527,0.8552473,-0.27679205
un bouchée de pain,3,ça coûte une bouchée de pain,it's cheap as chips,It costs a slice of bread,Good Translation,0.6344554,0.8738389,-0.23938352
un bouchée de pain,4,j'ai du vendre ma maison pour une bouchée de pain,had to sell my house at a loss,I had to sell my house for a mouthful of bread.,Literal Translation,0.77409124,0.9201523,-0.14606106
un bouchée de pain,5,ces enfants chinois vendent leurs dents pour une bouchée de pain hein,these chinese kids are selling their teeth for peanuts see,"These Chinese children sell their teeth for a mouthful of bread, huh?",Good Translation,0.89912176,0.9327366,-0.033614814
un bouchée de pain,6,je l'ai vendu pour une bouchée de pain,sold for cheap a long time ago,I sold it for a mouthful of bread,Good Translation,0.71706563,0.8895679,-0.17250228
un bouchée de pain,7,il finira par vendre à n'importe qui pour une bouchée de pain le terrain seul,he is going to end up selling this place to somebody for cheap for the land alone,He will end up selling to anyone for a crust of bread alone.,Good Translation,0.8753354,0.86347944,0.01185596
un bouchée de pain,8,les meubles sont de seconde main mais je les ai eus pour une bouchée de pain,the furniture is second hand but paid for nonetheless,The furniture is second-hand but I got it for a mouthful of bread.,Unnatural,0.80975056,0.8974098,-0.08765924
un bouchée de pain,9,et ça n'a rien à voir le fait que vous louiez une maison de kentwell à catalina island pour une bouchée de pain à l'année,is it also irrelevant that you leased a vacation home from kentwell on catalina island for a few hundred dollars a year,and it has nothing to do with you renting a house in Kentwell at Catalina Island for a loaf of bread per year.,Literal Translation,0.80254036,0.90452206,-0.1019817
un bouchée de pain,10,il refusait même de prendre une bouchée de pain,refused to take even a mouthful of bread,he even refused to take a bite of bread,Good Translation,0.88637763,0.952202,-0.06582439
un bouchée de pain,11,c'est une bouchée de pain,that's chump change,it's a mouthful of bread,Literal Translation,0.5549154,0.8238848,-0.26896936
un bouchée de pain,12,et maintenant mes nouveaux employeurs ont pu acheter pour une bouchée de pain,but how could she focus on that when she had a stick to pee on,and now my new employers have been able to buy it for a loaf of bread,Mistranslation,0.46163303,0.9459829,-0.48434985
un bouchée de pain,13,pour une bouchée de pain vous risquez votre vie pour protéger la fortune de quelqu'un d'autre,for a pittance you'll risk your life to protect someone else's fortune,for a mouthful of bread you risk your life to protect someone else's wealth,Good Translation,0.8824768,0.9203761,-0.037899315
un bouchée de pain,14,on va en faire un taudis et ensuite on rachètera le quartier pour une bouchée de pain,we are going to turn it into a slum then buy the whole neighborhood at bargain basement prices,We'll turn it into a slum and then we'll gentrify the neighborhood for a slice of bread.,Mistranslation,0.732716,0.7578131,-0.025097072
un bouchée de pain,15,on pouvait enregistrer avec des musiciens pour une bouchée de pain par rapport au reste du monde,it was possible to go and make recordings with live musicians very cheaply compared to the rest of the world,You could record with musicians for a piece of bread compared to the rest of the world,Unnatural,0.8167125,0.9349617,-0.11824918
un bouchée de pain,16,ils ont racheté les parts de caspere pour une bouchée de pain,i mean they just repurchased caspere's shares for pennies and redistributed them,They bought up Casper's shares for a penny.,Good Translation,0.72185117,0.78634894,-0.06449777
un bouchée de pain,17,tout le monde veut aller à mcmurdo pour une bouchée de pain,everybody is looking for a cheap ride out to mcmurdo,Everyone wants to go to McMurdo for a slice of bread,Good Translation,0.8339003,0.92272556,-0.088825285
un bouchée de pain,18,ce terrain peut être acheté pour une bouchée de pain,this property down here can be bought for dirt cheap,This land can be bought for a piece of bread.,Unnatural,0.7447007,0.8824351,-0.13773441
un bouchée de pain,19,le proprio croule sous les dettes et on l'aura peut-être pour une bouchée de pain,the owner is up to his neck in debts and we may be able to get it very cheap,the proprietor groans under debts and we may have him for a mouthful of bread,Literal Translation,0.7549586,0.780486,-0.025527358
un bouchée de pain,20,cinq millions de dollars c'est pas une bouchée de pain,five million dollars isn't nothing,Five million dollars isn't a bite of bread,Good Translation,0.8867465,0.94494057,-0.05819404
un bouchée de pain,21,et qui a une propriété au bord du lac pour une bouchée de pain,and who gets lakefront property bought for a fraction of the market price,and who has a property on the lake shore for a bite of bread,Mistranslation,0.6514929,0.90719974,-0.25570685
un bouchée de pain,22,on l'avait acheté pour une bouchée de pain il y a 50 ans et aujourd'hui chicago le revend pour deux millions de livres,we bought that sucker for nothing 50 years ago and now chicago sells it off for a couple million pounds,we had bought it for a slice of bread fifty years ago and today Chicago sells it for two million pounds.,Good Translation,0.79145736,0.87566894,-0.08421159
un bouchée de pain,23,sinon d'ici vendredi york pourra acheter ojai pour une bouchée de pain et il ne nous restera rien,well it's better than what most people do at odd hours on a computer,otherwise from here to Friday York can buy Ojai for a bite of bread and we'll have nothing left,Mistranslation,0.4574661,0.9007862,-0.44332013
un bouchée de pain,24,les titres d'un gentilhomme ne sont rien de plus qu'une bouchée de pain pour miss fleming,a gentleman's title and connections are plainly no more than a trifle as far as miss fleming is concerned,titles of a gentleman are nothing more than a mouthful of bread to Miss Fleming,Good Translation,0.7908909,0.84317863,-0.052287757
un bouchée de pain,25,on le cède pour une bouchée de pain,we're practically giving it away,We give it up for a mouthful of bread.,Literal Translation,0.69211894,0.7986556,-0.10653669
un bouchée de pain,26,ce n'est qu'une bouchée de pain,- hey it's not much,it's just a mouthful of bread,Good Translation,0.5907783,0.8590777,-0.2682994
un bouchée de pain,27,je sais c'est une bouchée de pain,i know we practically stole it right,I know it's a slice of bread.,Literal Translation,0.5803046,0.84492135,-0.26461673
un bouchée de pain,28,tout ça pour une bouchée de pain,what's a loaf of bread anyway,All that for a piece of bread,Good Translation,0.6274607,0.9109552,-0.28349447
un bouchée de pain,29,je ne m'en séparerai pas pour une bouchée de pain,and i will not throw it away for nothing,I will not let him go for a mouthful of bread.,Mistranslation,0.774127,0.7754086,-0.0012816191
un bouchée de pain,30,pour une bouchée de pain,they loaned money to acquire it at dirt cheap price,for a mouthful of bread,Literal Translation,0.509156,0.8920838,-0.38292783
un bouchée de pain,31,quelqu'un tente d'acheter ce qui deviendra beverly hills pour une bouchée de pain,somebody's trying to get a jump on real-estate buying up beverly hills,Someone is trying to buy what will become Beverly Hills for a slice of bread.,Unnatural,0.82841015,0.8772671,-0.048856974
un bouchée de pain,32,ils ont fermé et j'ai pu récupérer du matériel pour une bouchée de pain,they closed and i picked up a bunch of stuff for almost nothing great,They closed and I was able to recover some equipment for a mouthful of bread.,Good Translation,0.80658495,0.91941,-0.112825036
un bouchée de pain,33,et pour une bouchée de pain,and real cheap,and for a mouthful of bread,Unnatural,0.5312309,0.9020577,-0.37082678
un bouchée de pain,34,une bouchée de pain à corinne chauvet et une somme dérisoire à valeria monetti,a pittance to corinne chauvet and a pittance to valeria monetti,a mouthful of bread to Corinne Chavet and a derisory sum to Valeria Monetti,Unnatural,0.7450406,0.8308382,-0.08579761
un bouchée de pain,35,tu n'y comprends rien je l'ai eue pour une bouchée de pain,you don't get it it cost me next to nothing,You don't understand anything I got her for a piece of bread,Literal Translation,0.67057455,0.86092365,-0.1903491
un bouchée de pain,36,non je vous imaginais menant la grande vie dans votre belle villa pendant que nous trimons pour une bouchée de pain,i was just thinking about you imagining you in your expensive villa enjoying life while we work like idiots for a loaf of bread,no I imagined you living it up in your beautiful villa while we struggle for a mouthful of bread,Good Translation,0.7919922,0.89593256,-0.10394037
un bouchée de pain,37,nous étions 14 enfants et nous devions nous battre à table pour avoir une bouchée de pain,there were 14 children and we had to fight for our bread at the table,we were 14 children and we had to fight at the table for a bite of bread,Good Translation,0.9165331,0.95046186,-0.033928752
un bouchée de pain,38,je l'ai acheté pour une bouchée de pain il y a quinze ans quand personne ne voulait vivre dans les environs,i bought it for nothing 15 years ago when no one wanted to live in this neighborhood,I bought it for a slice of bread fifteen years ago when no one wanted to live around here.,Good Translation,0.83622944,0.9089839,-0.07275444
un bouchée de pain,39,on achètera l'endroit pour une bouchée de pain,and we buy this place for nothing,We'll sell the place for a slice of bread.,Mistranslation,0.66696614,0.81837046,-0.15140432
un bouchée de pain,40,reconnais que t'as eu une bouchée de pain pour faire les olympiades,but you paid a lot to be in the olympics,You admit you had a slice of bread to do your Olympiad exams.,Mistranslation,0.6786429,0.8938223,-0.21517938
un bouchée de pain,41,non monsieur pas une bouchée de pain le remboursement d'une dette,no sir no peppercorn - repayment for a debt,Not one crumb of bread is returned as a reimbursement for a debt.,Good Translation,0.7857792,0.7489656,0.036813557
un bouchée de pain,42,je peux les engager pour une bouchée de pain,there's a lot of talent out on the street and i can pick 'em up for a song which means,I can hire them for a piece of bread,Good Translation,0.6095664,0.9134802,-0.30391383
un bouchée de pain,43,d'après sheehan tout vaut une bouchée de pain,she says you can open a business there for no money at all,"According to Sheehan, everything is worth a loaf of bread.",Mistranslation,0.4508701,0.91145194,-0.46058184
un bouchée de pain,44,écoutez je connais l'adresse d'un endroit où vous pouvez avoir tout ça une bouchée de pain,listen i know a place where you can get all this stuff real cheap,listen I know the address of a place where you can have all that in one bite of bread,Literal Translation,0.7533178,0.8904903,-0.13717252
un bouchée de pain,45,je t'ai vendu le terrain pour une bouchée de pain,i sold you that land for next to nothing,I sold you the land for a mouthful of bread.,Literal Translation,0.78432953,0.9034208,-0.11909127
un bouchée de pain,46,tu rachètes tout aux paysans le soja comme le riz et ce pour une bouchée de pain,before the crops are ripe the bosses bankrupt the peasants and seize their land as payment then the soy-sauce merchant buys the land on the cheap,You buy back everything from farmers - soybeans and rice - just for a mouthful of bread.,Good Translation,0.62997055,0.81741655,-0.187446
