idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
prendre le tête,0,je sais qu'il est ici et ça me prend la tête,i know that he's over there right now and it's drilling a hole in my brain,I know he's here and it's driving me crazy.,Good Translation,0.82106245,0.8681271,-0.047064662
prendre le tête,1,tu me prends la tête quand je bosse là-dessus,you come at me when i'm dealing with this shit,You get on my nerves when I work on this stuff.,Good Translation,0.7861558,0.7519953,0.034160495
prendre le tête,2,tu dois arrêter de te prendre la tête,james you need to stop obsessing,You have to stop worrying about yourself,Unnatural,0.76198345,0.8252641,-0.06328064
prendre le tête,3,on s'est pris la tête au téléphone,we got into it over the phone,We got into a disagreement over the phone.,Good Translation,0.8010311,0.8447887,-0.043757558
prendre le tête,4,t'es pris la tête dans le sac,now you know what a bagman is,You've got your head in a sack.,Unnatural,0.4520699,0.8100933,-0.35802338
prendre le tête,5,elle te prend la tête nick,she is screwing with your head,she takes your head nick,Literal Translation,0.7655672,0.9228926,-0.15732539
prendre le tête,6,- je souhaiterais créer et prendre la tête d'une brigade criminelle à moscou,i want to create and take charge of moscow homicide department,- I would like to create and head a criminal brigade in Moscow.,Good Translation,0.84581995,0.93937224,-0.09355229
prendre le tête,7,non arrêtez de vous prendre la tête nick je ne peux pas faire comme si de rien n'était non plus,noyou can't keep beating yourself up about thisnick,don't keep pretending everything's fine Nick I can't just pretend it never happened either,Unnatural,0.7161604,0.78395724,-0.06779683
prendre le tête,8,il serait arrivé vers 2 h du matin il s'est pris la tête avec un client et il est reparti aussitôt,he arrived at 2am had a row with another customer and left right after,He would have arrived around 2 am in the morning he got into an argument with a customer and left right away.,Good Translation,0.82188714,0.8533666,-0.031479478
prendre le tête,9,mais qui prendra la tête des forces de rome,yet who shall lead the forces of rome,but who will take over the head of Rome's forces,Unnatural,0.9305795,0.9452425,-0.014663041
prendre le tête,10,en plus j'ai pas envie de me prendre la tête avec sam merlotte en ce moment,besides i am way too fucked up to deal with sam merlotte right now,Besides I don't feel like getting my head wrapped around Sam Merlotte at this time.,Literal Translation,0.8370335,0.92124915,-0.08421564
prendre le tête,11,nico terol reprend la tête,nico terol back into the lead,"Nicky Hayden was first to put in a good lap before Lorenzo and Pedrosa, followed by Dani Pedrosa. Nicky Hayden then took provisional pole with a lap of 1'26""625. The session ended with Lorenzo in second place, ahead of Pedrosa and Valentino Rossi",Mistranslation,0.89063835,0.398894,0.49174434
prendre le tête,12,je prendrai la tête de la tribu des hulins,i'll be the leader of hulin tribe,I will take the head of the Hulin tribe.,Unnatural,0.90879786,0.9352767,-0.026478827
prendre le tête,13,tu me prends la tête,are you giving me shit,You're getting on my nerves,Unnatural,0.7276506,0.78307337,-0.055422783
prendre le tête,14,il s'est pris la tête avec deux mecs devant une putain de boîte,he's had a row with a couple of geezers outside a fucking club,He got into a fight with two guys outside a stupid club.,Good Translation,0.7465577,0.77459735,-0.028039634
prendre le tête,15,savage prend la tête pour angkor - allez savage,savage now in the lead for angkor,Savage takes the head to Angkor - Go Savage,Literal Translation,0.78301847,0.9211685,-0.13815004
prendre le tête,16,c'est quoi ce cartel qui te laisse prendre la tête des opérations,what kind of cartel would have you running its operation,what's this cartel that lets you take charge of operations,Good Translation,0.74639565,0.89804846,-0.15165281
prendre le tête,17,si prendre la tête de la société menace les progrès que tu as fait,if my taking over the company threatens any of the progress you've made,if taking control of society threatens progress you have made,Good Translation,0.83217597,0.9001025,-0.067926526
prendre le tête,18,je crois que ce bébé les obsède et livia ça lui prend la tête,i think they're obsessed with the baby and that bothers livia,I think that baby is driving them crazy and Livia is getting on her nerves.,Good Translation,0.8404887,0.8282043,0.012284398
prendre le tête,19,moi elle me prend la tête,she's been nagging the crap out of me,She's driving me mad,Good Translation,0.76902723,0.7961712,-0.027143955
prendre le tête,20,- saidi prends la tête,- saidi take the lead,- I'm taking charge.,Good Translation,0.8358167,0.6572369,0.1785798
prendre le tête,21,je voyais vite si elle lui avait pris la tête elle était lunatique insatiable,i always knew when she was driving him up the wall with her emotional outbursts her change-of-life moods her insatiable,I could see right away if she had gotten in her head that she was loony and insatiable.,Partial Translation,0.7282556,0.86639345,-0.13813782
prendre le tête,22,et prenez la tête de l'autre j'ai utilisé le lien de m'gann pour prendre possession de mal et,this so-called champion is merely another distraction,and take the other's head I used the link of M'Gann to take over the Malfunction and,Mistranslation,0.40346953,0.8338971,-0.43042758
prendre le tête,23,alors comment vous prévoyiez de prendre la tête,so how do you plan to take the lead,Then how did you plan to take over leadership?,Partial Translation,0.7318197,0.75989544,-0.028075755
prendre le tête,24,il prendra la tête mais je ne crois pas qu'il tiendra la distance,he's gonna be out on the lead but i don't think he'll handle the distance,he will take the lead but I don't think he'll keep the pace,Good Translation,0.88320655,0.87808025,0.0051262975
prendre le tête,25,mais parlons d'autre chose je ne veux pas me prendre la tête avec un mort,but let's drop it i don't want to speak ill of the dead,but let's talk about something else I don't want to get my head wrapped around a dead person,Literal Translation,0.8157989,0.9173373,-0.10153842
prendre le tête,26,j'ai su que vous vous étiez pris la tête avec scott,i heard about how you banged heads with scott,I found out that you and Scott had gotten into a fight with your head.,Partial Translation,0.8490591,0.8398245,0.009234607
prendre le tête,27,c'est ton hobby de te prendre la tête sur des détails,hey are you a man or what stop letting every little incident bother you,That's your thing to get your head stuck in details.,Partial Translation,0.6286117,0.8548806,-0.22626889
prendre le tête,28,c'est marrant quand tu te prends la tête,it is kind of fun watching you torture yourself,It's funny when you hit your head.,Mistranslation,0.7374744,0.8765173,-0.13904291
prendre le tête,29,prenez la tête,lean forward,take charge,Mistranslation,0.6634535,0.7620725,-0.098618984
prendre le tête,30,nous écrivons des lettres méchantes à la revue de paris quand on se prend la tête,we write nasty letters to the paris review when we get mad at each other,we write mean letters to Paris Review when we get our heads kicked in,Literal Translation,0.84024334,0.8481355,-0.007892132
