idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
partir en fumée,0,tout le bureau part en fumée et cette chose reste intacte,the whole office goes up in smoke and that bloody thing survives,the whole office is up in smoke and this thing remains intact,Good Translation,0.8575852,0.92248607,-0.064900875
partir en fumée,1,mon carburant à moi est parti en fumée,my own fuel went up in smoke,my fuel went up in smoke to me,Unnatural,0.908138,0.90031946,0.00781852
partir en fumée,2,sinon je jure que ce petit ewok va partir en fumée,swear to god this little ewok is going up in flames,unless I swear this little Ewok will vanish into thin air,Unnatural,0.8437645,0.84767604,-0.003911555
partir en fumée,3,ils n'ont pas pu partir en fumée,they can't just disappear like shadows,They were not able to blow away.,Literal Translation,0.66357315,0.83161736,-0.16804421
partir en fumée,4,tout cet argent parti en fumée,all that money up in flames,All that money vanished in thin air.,Unnatural,0.8782637,0.8962424,-0.017978668
partir en fumée,5,demain notre école partira en fumée le genre de truc qui affecte toute une génération,when our school blows up tomorrow it's gonna be the kind of thing to affect a whole generation,tomorrow our school will blow up the kind of thing that affects a whole generation,Good Translation,0.8733822,0.9162935,-0.04291129
partir en fumée,6,amenez-moi le commodore ou par dieu son trésor partira en fumée,get me the commodore or by god his treasure's up in smoke,Bring me the admiral or by God his treasure will go up in smoke.,Good Translation,0.886694,0.83919585,0.047498167
partir en fumée,7,cet hôtel serait parti en fumée si nous n'y étions pas,that hotel would have gone up in flames if it weren't for us,This hotel would have disappeared in smoke if we hadn't been there.,Good Translation,0.8953844,0.9345484,-0.039164007
partir en fumée,8,partis en fumée 4 millions de dollars partis en fumée,do you have something to try losada,$4 million went up in smoke $4 million went up in smoke,Mistranslation,0.3287046,0.8237313,-0.4950267
partir en fumée,9,plus on s'approche de la vérité plus les preuves partent en fumée,the closer we get to the centre of this the more the evidence just seems to melt away,"The closer we get to the truth, the more evidence disappears in smoke.",Good Translation,0.83660823,0.90987635,-0.073268116
partir en fumée,10,les voilà partis en fumée,up in smoke,There they've gone up in smoke.,Good Translation,0.7131201,0.84630454,-0.13318443
partir en fumée,11,il n'y a aucun plaisir à voir la fierté partir en fumée,i don't think so no pride in what goes up in smoke,There is no pleasure in seeing pride go up in smoke.,Good Translation,0.7495975,0.87245727,-0.122859776
partir en fumée,12,il part en fumée et je touche plus ma part,he goes up in smoke,He's gone with the wind and I won't get my share.,Mistranslation,0.71301544,0.7327643,-0.019748867
partir en fumée,13,l'héritage de tes parents va partir en fumée,that money's going up in smoke,Your parents' legacy will go up in smoke.,Good Translation,0.61645555,0.91781074,-0.30135518
partir en fumée,14,le toit de la pension où je logeais est parti en fumée,blew the whole roof off my boarding house,the roof of the boarding house where I was staying went up in smoke,Good Translation,0.71989757,0.8196862,-0.099788606
partir en fumée,15,et tout notre travail partira en fumée,and everything we worked for goes up in smoke,and all our work will go up in smoke,Good Translation,0.8883946,0.9561389,-0.067744315
partir en fumée,16,puisque vos plans sont partis en fumée pourquoi ne pas me dire ce qu'il y a dans cette boite,he'll get a kick out of this knocks on bar all right,"Since your plans went up in smoke, why not tell me what's in this box?",Good Translation,0.39376026,0.8717964,-0.47803617
partir en fumée,17,oui ce vieil hôtel va partir en fumée apparemment,yes the old hotel is going up in smoke apparently,yes this old hotel is apparently going to go up in flames,Good Translation,0.9046266,0.9338547,-0.029228091
partir en fumée,18,il s'est tiré ou il est parti en fumée,either that or he went up in smoke with the house,He got away or he vanished into thin air,Good Translation,0.8086782,0.86675733,-0.058079123
partir en fumée,19,tout ça est parti en fumée et tes gages avec,now all that's gone and your wages with it,It's all gone up in smoke and your bail money with it.,Good Translation,0.76142895,0.77140945,-0.0099805
partir en fumée,20,et ils ont déclenché une bombe et l'église part en fumée,and they trigger the canisters and the whole place goes up,and they triggered a bomb and the church went up in flames,Good Translation,0.6069016,0.92760897,-0.32070738
partir en fumée,21,des milliards de dollars partiront en fumée,there will be billions of dollars in real-estate losses,billions of dollars will go up in smoke,Good Translation,0.77325064,0.92262375,-0.14937311
partir en fumée,22,merci baldrick sept ans de ma vie partis en fumée,thank you baldrick - seven years of my life up in smoke,Thanks Baldrick seven years of my life gone up in smoke,Good Translation,0.8296542,0.8484367,-0.018782496
partir en fumée,23,- au moment où la vôtre part en fumée,you guys crashed and burned under a beautiful full moon,-at the very moment that yours disappears in smoke,Good Translation,0.602759,0.87390417,-0.27114516
partir en fumée,24,m menachem je rêve que votre expérimentation sioniste parte en fumée,mr menachem i really want all your zionist experiment turn to dust in the wind,"I condole you, I dream that your Zionist experiment goes up in smoke",Good Translation,0.7537722,0.84347266,-0.08970046
partir en fumée,25,des miracles sans moi leur patrimoine serait parti en fumée au contraire il est sain et sauf,but for me every cent would be gone,without me their inheritance would have vanished in smoke on the contrary it is sound and safe,Good Translation,0.593042,0.7826801,-0.18963808
partir en fumée,26,des années de recherche parties en fumée,years of research gone,years of research down the drain,Good Translation,0.85626954,0.8062416,0.050027966
partir en fumée,27,deux ans et demi de travail souterrain partis en fumée quand vous avez intercepté l'enfant m sullivent,two and a half years of undercover work were almost wasted when you intercepted that child mr sullivan,two and a half years of underground work gone up in smoke when you intercepted the child msullivent,Good Translation,0.7592684,0.8880886,-0.12882018
partir en fumée,28,tout partait en fumée je devais dire quelque chose,buddy voice-over it was all going up in smoke,Everything was going up in smoke I had to say something,Good Translation,0.70859635,0.9169305,-0.20833415
partir en fumée,29,je suis à l'écoute du son de ma carrière qui part en fumée,i'm listening to the sound of my career going up in smokes,I'm tuned in to the sound of my career going up in smoke.,Good Translation,0.9254742,0.91005266,0.015421569
partir en fumée,30,nuit et jour j'effectue des calculs mes hypothèses doivent concorder avec celles de copernic ou tous mes espoirs partiront en fumée,days and nights i passed in mathematical labors until i could see if my hypothesis would agree with copernicus' or if my joy would vanish into thin air,"night and day I make calculations my hypotheses must agree with those of Copernicus, or all my hopes will go up in smoke.",Good Translation,0.76810116,0.92122054,-0.15311939
partir en fumée,31,on part en fumée,we will be obliterated,We're off with a puff of smoke.,Good Translation,0.5442426,0.8015696,-0.25732696
partir en fumée,32,chaque instant qu'on a partagé partira en fumée sur ce bûcher,every moment i spent with you has gone up in the smoke of this fire,every moment we shared will be blown to smoke on this pyre,Good Translation,0.7570303,0.8487079,-0.091677606
partir en fumée,33,avant qu'un malheur n'arrive et que tout parte en fumée,before something unfortunate happens and it all goes up in smoke,before some disaster comes and everything goes up in smoke,Good Translation,0.9084355,0.8915901,0.016845405
