idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se mettre sur son 31,0,je me mets sur mon 31 et je vais à un enterrement,i put on my best dress to go to a funeral,I put on my 31 and I'm going to a funeral.,Unnatural,0.7263773,0.9190717,-0.19269437
se mettre sur son 31,1,il se mettait sur son 31 prenait une valise,he'd get dressed up pack a suitcase,He put himself on his 31 took a suitcase.,Literal Translation,0.77790886,0.89802027,-0.120111406
se mettre sur son 31,2,donc j'ai pensé me mettre sur mon 31,so i thought i'd dress the part,so I thought to myself I'm turning thirty-one,Literal Translation,0.71355635,0.8233843,-0.109827936
se mettre sur son 31,3,elle se mettait sur son 31 pour nos séances,she began to dress for our sessions,She would put on her 31 for our sessions.,Literal Translation,0.78254974,0.9438005,-0.16125077
se mettre sur son 31,4,il voudra certainement que je me mette sur mon 31,he'll want me to look my best,he will certainly want me to get on my 31.,Literal Translation,0.7058444,0.9439651,-0.23812068
se mettre sur son 31,5,ouais c'est amusant de se mettre sur son 31,yeah it's fun to dress up,Yeah it's fun to be on your 31st,Unnatural,0.70699716,0.91703546,-0.2100383
se mettre sur son 31,6,si on se mettait sur notre 31 et qu'on dînait tôt avant d'aller à l'opéra,what do you say we dress up tonight have an early dinner and go to the opera,if we were going for our 31 and had dinner early before going to the opera,Literal Translation,0.689199,0.9352875,-0.2460885
se mettre sur son 31,7,mais je vais essayer de me mettre sur mon 31,but i think i might try to dress up,but I'm going to try to get back on track by age 31,Mistranslation,0.7425245,0.8633042,-0.12077969
se mettre sur son 31,8,le jour de la fête des mères les gens se mettent sur leurs 31,on mother's day people pull out all the stops,On Mother's Day people put themselves at number 31.,Mistranslation,0.6867305,0.8362179,-0.14948738
se mettre sur son 31,9,j'espère qu'elle n'est pas contagieuse parce que j'ai vraiment envie de me mettre sur mon 31 et de parler à de complets inconnus,whoa i hope it's not contagious 'cause i really am looking forward to putting on a suit and talking to a bunch of strangers,I hope it's not contagious because I really want to get into my 31st and talk to complete strangers.,Literal Translation,0.7985196,0.9296347,-0.13111508
se mettre sur son 31,10,parfois je me mets sur mon 31,i dress up occasionally,sometimes I get on with being 31,Literal Translation,0.7197745,0.9023019,-0.18252742
se mettre sur son 31,11,je me mettais sur mon 31 on faisait comme si on avait les moyens,i'd get myself all dressed up make the dealer believe we could actually afford it,I would put myself at 31 and we would pretend that we had means.,Literal Translation,0.6805655,0.8280629,-0.14749742
se mettre sur son 31,12,j'ignorais que j'étais censé me mettre sur mon 31,i didn't know i was supposed to dress up,I didn't know I was supposed to put my 31 on it.,Literal Translation,0.72347295,0.8689565,-0.14548355
