idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
ne y voir que du feu,0,je coucherai avec lui mardi et jeudi et il n'y verra que du feu,i'll have sex with him tuesday and thursday and he'll be none the wiser,I'll sleep with him on Tuesday and Thursday and he won't know what hit him.,Good Translation,0.783568,0.7536255,0.029942513
ne y voir que du feu,1,on n'y voit que du feu,smoke and mirrors,We only see fire.,Good Translation,0.5752721,0.91830474,-0.34303266
ne y voir que du feu,2,agis comme si tu y étais et on n'y verra que du feu,act like you belong there and people will believe you do,Act as if you were there and we'll only see smoke of it.,Literal Translation,0.63195974,0.85653174,-0.224572
ne y voir que du feu,3,dans deux semaines on n'y verra que du feu vraiment,- two weeks won't tell what happened,We'll only see smoke in two weeks for real.,Good Translation,0.64276373,0.88693035,-0.24416661
ne y voir que du feu,4,poppy me trouvera drôle on n'y verra que du feu,poppy will think i'm funny and no-one will know any different,It will be amusing to find a poppy where all you'll see is flames.,Mistranslation,0.6842703,0.8432816,-0.1590113
ne y voir que du feu,5,j'ai tout préparé la police n'y verra que du feu,i have everything ready the police won't notice a thing,I've got everything ready - it will be child's play for the police to see through it.,Mistranslation,0.7736535,0.7151826,0.058470905
ne y voir que du feu,6,quelques réparations et on n'y verra que du feu,a few minor repairs it'll be good as new,Just a few repairs and we won't see anything.,Unnatural,0.7011125,0.78857267,-0.08746016
ne y voir que du feu,7,j'échapperai à cette vieille garce pendant sa sieste elle n'y verra que du feu,i'll slip away from that possessive old bitch while she's having her siesta and be gone before she knows it,I'll escape from that old hag during her nap; she won't even know what's happening.,Good Translation,0.781001,0.72715884,0.053842127
ne y voir que du feu,8,on l'appelait le feu parce que quand il lançait la balle on n'y voyait que du feu,they called him the blur because his pitches were too fast to see,We called him fire because when he threw the ball you only saw a ball of flames.,Mistranslation,0.62289476,0.8599665,-0.23707175
ne y voir que du feu,9,vous pouvez remettre la puce à l'afc on n'y verra que du feu,you can put the chip back at afc and nobody'll notice it's gone,You can put the chip back to AFC it's all going to burn anyway.,Mistranslation,0.6581793,0.7180029,-0.059823632
ne y voir que du feu,10,vous êtes sûr que le scanner n'y verra que du feu,and you're sure this will fool madacorp's retina scan,Are you sure it won't just show up as a red light? or Are you sure it's not just a matter of seeing red?,Mistranslation,0.6068878,0.6614269,-0.054539084
ne y voir que du feu,11,le type que vous allez y mettre n'y verra que du feu,you know the fella you're going to put in here won't know the difference don't worry about it,The kind of person you're going to put there won't see anything but smoke.,Good Translation,0.58366096,0.8317974,-0.24813646
ne y voir que du feu,12,ils se déguisent en robin des bois le public n'y voit que du feu,they dress themselves up like robin hood the public is buying into it,They are dressed up as Robin Hood; the public sees only a spectacle.,Good Translation,0.69739366,0.78562963,-0.088235974
ne y voir que du feu,13,j'assure tellement que les gens n'y voient que du feu,i'm so smooth people think i'm still gonna show up,I assure you that people only see smoke there.,Good Translation,0.5988075,0.8642857,-0.2654782
ne y voir que du feu,14,tout le monde n'y voit que du feu,you just fooling everybody,Everyone sees nothing but fire there.,Literal Translation,0.65364456,0.93278646,-0.2791419
ne y voir que du feu,15,ton père n'y verra que du feu,your father won't realize,Your father won't see anything but smoke.,Good Translation,0.71035963,0.86942303,-0.1590634
ne y voir que du feu,16,- on n'y verra que du feu,- you wouldn't know the difference,- we won't see anything but flames,Literal Translation,0.5484021,0.8880048,-0.3396027
ne y voir que du feu,17,notre jeune dictateur n'y verra que du feu,i mean young tojo will never notice the difference,Our young dictator won't see anything but flames there.,Good Translation,0.5303595,0.9234487,-0.39308918
