idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le chair de poule,0,chaque fois que je pense au jour où on s'est rencontré j'ai la chair de poule,every time i think about the day we met i just get goosebumps all over again,Every time I think about the day we met I get goose bumps,Good Translation,0.7767199,0.80888367,-0.03216374
avoir le chair de poule,1,j'ai la chair de poule andie,- this is really creepy andie,I get gooseflesh or I'm getting goosebumps,Good Translation,0.6094047,0.45041013,0.15899456
avoir le chair de poule,2,regardez comme j'en ai la chair de poule,i have goosepimples,Look how I'm getting goosebumps.,Good Translation,0.5606045,0.659601,-0.09899646
avoir le chair de poule,3,depuis que je t'ai vue j'ai la chair de poule je dois te peindre,ever since i met you i've had a chill running up my spine,since I saw you I've had goosebumps I have to paint you,Good Translation,0.6276318,0.76777077,-0.14013898
avoir le chair de poule,4,chaque fois que je viens ici j'ai la chair de poule,every time i walk by here i get the creeps,every time I come here I get goose bumps,Good Translation,0.7846382,0.8050064,-0.020368159
avoir le chair de poule,5,j'ai la chair de poule quand je vois le drapeau,i used to get goose bumps every time i looked at that flag,I get goosebumps when I see the flag.,Good Translation,0.75793505,0.80382955,-0.045894504
avoir le chair de poule,6,j'ai la chair de poule touche,i have goose bumps,I have gooseflesh,Good Translation,0.64607465,0.6448701,0.0012045503
avoir le chair de poule,7,j'ai encore eu la chair de poule,i just got the chills again,I got the cold shivers again.,Good Translation,0.6925193,0.68135846,0.0111608505
avoir le chair de poule,8,pos192040j'ai la chair de poule rien que d'y penser,you make my skin crawl,I get goosebumps just thinking about it.,Good Translation,0.5612544,0.7062305,-0.14497614
avoir le chair de poule,9,j'ai vu des choses si effrayantes quej'en avais la chair de poule,some sights i saw were so spooky they gave me goose-pimples,I have seen such terrifying things that I got gooseflesh.,Good Translation,0.7628379,0.8086364,-0.04579854
avoir le chair de poule,10,j'ai la chair de poule rien qu'à t'en entendre parler,deano i'm getting the chills just hearing you talk about it,I get goosebumps just hearing you talk about it.,Good Translation,0.77484596,0.764457,0.01038897
avoir le chair de poule,11,j'ai la chair de poule quand on est ensemble,my skin crawls being in the same room with him,I get goose bumps when we're together.,Good Translation,0.69013417,0.7731991,-0.083064914
avoir le chair de poule,12,j'ai la chair de poule sans être fan de hockey,i've got goosebumps i'm not even a hockey fan,I get goose bumps without being a hockey fan.,Good Translation,0.75651234,0.77032983,-0.013817489
avoir le chair de poule,13,tu trembles t'as la chair de poule,you're shaking,You're shivering you have gooseflesh.,Good Translation,0.6466062,0.6110786,0.035527587
avoir le chair de poule,14,j'ai la chair de poule dans le cou,the hair on the back of my neck's standing up,I have goosebumps on my neck.,Good Translation,0.6096858,0.69002604,-0.080340266
avoir le chair de poule,15,dis plutôt que j'en avais la chair de poule,if by uncomfortable you mean it made my skin crawl then yes,Rather than having goosebumps over it,Unnatural,0.5420805,0.62745667,-0.08537614
avoir le chair de poule,16,regarde comme j'ai la chair de poule,he's giving me the creeps,look how I've got gooseflesh,Good Translation,0.5649555,0.74986696,-0.18491149
avoir le chair de poule,17,regarde j'en ai la chair de poule,look i've got goose bumps,"Look, I get the chills just thinking about it.",Unnatural,0.6397325,0.55715257,0.08257991
avoir le chair de poule,18,- t'as la chair de poule,- you've got goosebumps,You have gooseflesh.,Good Translation,0.61910546,0.61538255,0.003722906
avoir le chair de poule,19,j'ai la chair de poule quand j'y pense,oh paul i get goose bumps every time i think about it,I get gooseflesh when I think about it.,Good Translation,0.77755797,0.7827841,-0.0052261353
avoir le chair de poule,20,faites ce que vous aimez pour vous assurer ils ont la chair de poule quand ils le voient,do whatever you like to make sure they'll have goose bumps when they see it,do what you love so they get goosebumps when they see it,Unnatural,0.81851834,0.74498427,0.07353407
avoir le chair de poule,21,ça ne trompe pas j'ai la chair de poule,it's not my imagination i've got goose bumps,"It doesn't deceive me, I'm getting gooseflesh.",Good Translation,0.6321387,0.7268269,-0.09468818
avoir le chair de poule,22,j'en ai la chair de poule où je me fais ces bleus,why do i keep getting these bruises,I get goosebumps where I get these bruises.,Good Translation,0.55070496,0.6019961,-0.051291168
avoir le chair de poule,23,elle a la chair de poule,she had goose pimples because she was cold,she has gooseflesh or she's getting cold or it gives her the shivers,Good Translation,0.5792979,0.6388178,-0.059519887
avoir le chair de poule,24,j'ai la chair de poule quand je te vois,every time i see you i get goose pimples,I get goosebumps when I see you.,Good Translation,0.6578449,0.71514714,-0.057302237
avoir le chair de poule,25,tout à coup j'ai eu si froid que j'en avais la chair de poule,i suddenly felt all chilled and goosebumpy too,all of a sudden I was so cold that I had gooseflesh,Good Translation,0.7192389,0.81353104,-0.094292164
avoir le chair de poule,26,oh j'ai la chair de poule,oh i have goose bumps,I get gooseflesh.,Good Translation,0.64590013,0.61789864,0.028001487
avoir le chair de poule,27,je peux avoir la chair de poule quand je veux vous voyez,i can make the hair on my arms stand up any time i want,I can get goose bumps when I want to see you.,Unnatural,0.65212065,0.7139851,-0.061864436
avoir le chair de poule,28,ahjussi j'ai la chair de poule,ahjussi i got goosebumps,I'm getting goosebumps,Good Translation,0.67353284,0.51017433,0.16335851
avoir le chair de poule,29,je ne peux toujours pas écouter les eagles sans avoir la chair de poule,still can't listen to the eagles without getting the chills,I still can't listen to Eagles without getting goosebumps.,Good Translation,0.85778344,0.8174842,0.040299237
avoir le chair de poule,30,laissez-lui le temps d'avoir la chair de poule,give him a little time let him enjoy his goose pimples,Give her time to get gooseflesh over it.,Good Translation,0.75056285,0.815399,-0.064836144
avoir le chair de poule,31,oh bébé j'ai la chair de poule,nitro - oh baby i got the chills,Oh baby I have goosebumps,Good Translation,0.6078502,0.64860696,-0.040756762
avoir le chair de poule,32,j'ai la chair de poule - je sais,i just got chills,I have gooseflesh - I know it's cold.,Partial Translation,0.5563828,0.6576024,-0.101219654
avoir le chair de poule,33,regardez j'en ai la chair de poule,look at me look at me i've got goose bumps,"Look at that, I get goosebumps just thinking about it.",Good Translation,0.6621479,0.562747,0.09940088
avoir le chair de poule,34,j'en ai eu la chair de poule,boy that just gave me goosebumps,I got goose bumps from it.,Good Translation,0.46066913,0.56655204,-0.10588291
avoir le chair de poule,35,t'as la chair de poule t'es malade,you got the chills are you sick,You've got goosebumps you're ill,Good Translation,0.6685575,0.6573731,0.011184454
avoir le chair de poule,36,- j'ai eu la chair de poule,- i have chills - i hear the networks calling you,- I got goose bumps,Good Translation,0.5444403,0.66391814,-0.11947781
avoir le chair de poule,37,alors elle me repousse mais je sais qu'elle a la chair de poule,she pushes me away then but i know she's getting goose pimples,So she pushes me away but I know she's getting gooseflesh.,Good Translation,0.78898156,0.8200412,-0.031059623
avoir le chair de poule,38,j'avais la chair de poule,my skin was crawling,I had gooseflesh.,Good Translation,0.68175316,0.755054,-0.07330084
avoir le chair de poule,39,je crois que j'ai la chair de poule,i think i'm getting hives,I think I have gooseflesh.,Good Translation,0.69255656,0.76932484,-0.07676828
