idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
crever le dalle,0,- j'arrive pas à dormir je crève la dalle regarde sur quoi je tombe,i can't sleep because i'm starving and look what's on tv,I'm having trouble sleeping I'm starving Look at what's in front of me,Good Translation,0.7120733,0.7076206,0.0044527054
crever le dalle,1,ouais je crève la dalle,yeah i'm freaking starving,Yeah I'm starving to death,Good Translation,0.58391786,0.5332664,0.05065143
crever le dalle,2,je crève la dalle,i'm starving,I'm starving to death.,Unnatural,0.6267922,0.5406414,0.086150765
crever le dalle,3,- ouais je crève la dalle,- yeah i'm starving,- Oh yeah I'm dying of hunger,Good Translation,0.6301816,0.58969307,0.04048854
crever le dalle,4,en ce moment on crève la dalle,at this moment we are starving,At this moment we're bursting at the seams.,Unnatural,0.5990541,0.6612155,-0.062161386
crever le dalle,5,moi je crève la dalle,because i'm starving,I'm starving to death.,Good Translation,0.54100263,0.49959865,0.04140398
crever le dalle,6,mais on crève la dalle dans la rue,yes but if you're not careful you'll end up by the side of the road,but we're starving in the street,Mistranslation,0.5953573,0.6550133,-0.059656024
crever le dalle,7,- non on crève la dalle,- no no we're starving,"- no, we starve to death",Unnatural,0.5521816,0.53361785,0.018563747
crever le dalle,8,je crève la dalle,i'm starving,I'm starving,Good Translation,0.6267922,0.6118045,0.014987707
crever le dalle,9,j'ai une de ces faims je crève la dalle,my stomach is growling,I'm absolutely starving I'm dying of hunger,Good Translation,0.6037109,0.60576344,-0.0020525455
crever le dalle,10,hé l'homo on crève la dalle,hey homo we're hungry out here,"Hello, human, you're driving me crazy!",Mistranslation,0.5880561,0.5462057,0.041850388
crever le dalle,11,allez je crève la dalle,come on stewie i'm starving,Go ahead and burst my gut.,Literal Translation,0.59183675,0.63769764,-0.045860887
crever le dalle,12,les gens crèvent la dalle et lui nous ramène le rebut de la société,people here have nothing to eat and he brings us scum of the earth,people kill themselves to make ends meet and he brings back the trash of society,Partial Translation,0.6912767,0.65289235,0.038384378
crever le dalle,13,je crève la dalle je connais une pizzeria végétarienne sur la 97e,i know a really good vegan pizza parlor on 97th street,I'm about to explode I know of a vegetarian pizzeria on 97th.,Good Translation,0.7849974,0.8306155,-0.045618117
crever le dalle,14,je suis horrible dans tout je perds pas de poids je crève la dalle,everything looks terrible i'm not losing weight i'm starving,I am awful at everything I'm not losing weight I'm starving,Good Translation,0.76309466,0.77898616,-0.015891492
crever le dalle,15,parce que je crève la dalle,because i'm hungry as hell,because I'm starving,Good Translation,0.65923417,0.688579,-0.029344857
crever le dalle,16,et je crève la dalle,and i'm fucking starving,And I'm starving to death,Unnatural,0.6101139,0.5797196,0.030394316
crever le dalle,17,- je crève la dalle,i'm starving,- I'm starving to death.,Good Translation,0.6295592,0.5745318,0.055027425
crever le dalle,18,si quelqu'un doit crever la dalle ça devrait être eux,if anybody starves it should be them,If someone is going to break the rules it should be them,Mistranslation,0.7362542,0.7138555,0.02239871
crever le dalle,19,enfin moi aussi je crève la dalle,huh i'm starving,Finally I'm bursting at the seams too.,Literal Translation,0.59011906,0.7728294,-0.18271035
