idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se occuper de son oignon,0,elle ferait mieux de s'occuper de ses oignons,she should tend to her own affairs,She should mind her own business.,Good Translation,0.803501,0.7591198,0.0443812
se occuper de son oignon,1,dis à ton amant qu'il s'occupe de ses oignons,your lover should stay out of it,Tell your lover to mind his own business,Good Translation,0.6248711,0.74847347,-0.12360239
se occuper de son oignon,2,les gens s'occupent de leurs oignons,people mind their own business,People mind their own business.,Good Translation,0.7319335,0.74937326,-0.017439783
se occuper de son oignon,3,pourquoi les gens ne peuvent pas s'occuper de leurs oignons,why can't everyone just mind their own business,why can't people mind their own business,Unnatural,0.64901656,0.6997585,-0.05074197
se occuper de son oignon,4,quelqu'un devrait s'occuper de ses oignons,someone should mind his own business,Someone should take care of their own affairs.,Good Translation,0.70401746,0.76567805,-0.061660588
se occuper de son oignon,5,on s'occupait de nos oignons,kept your mind on your business,We were taking care of our own business.,Good Translation,0.480197,0.60693777,-0.12674075
se occuper de son oignon,6,travis ne sait pas s'occuper de ses oignons,i didn't want to fail,Travis doesn't know how to mind his own business.,Mistranslation,0.39659494,0.8112054,-0.41461045
se occuper de son oignon,7,on dit s'occuper de ses oignons,you mean does he hear sheep or has he heard sheep,One looks after one's own business.,Mistranslation,0.47927493,0.6044517,-0.12517679
se occuper de son oignon,8,qu'elle s'occupe de ses oignons alors,then tell her to mind her own business,that she minds her own business then,Unnatural,0.73312795,0.7535902,-0.020462275
se occuper de son oignon,9,on s'occupe de nos oignons,we're going about our own business,we look after our own affairs,Good Translation,0.6939013,0.7513566,-0.0574553
se occuper de son oignon,10,autrefois les gens s'occupaient de leurs oignons,there used to be a time when people minded their own business,People used to mind their own business.,Unnatural,0.7077618,0.7070847,0.00067710876
se occuper de son oignon,11,de nos jours les gens se foutent qu'on s'occupe de leurs oignons,nowaday people don't care who all in their business,People these days don't care what we do about their business.,Good Translation,0.6640625,0.72859436,-0.06453186
se occuper de son oignon,12,une mère devrait toujours s'occuper de ses oignons,sometimes a mother should just butt out,A mother should always take care of her own.,Mistranslation,0.6305357,0.8294267,-0.19889098
se occuper de son oignon,13,je lui ai dit de s'occuper de ses oignons,and i told him to mind his own freaking business,I told him to mind his own business.,Unnatural,0.7385676,0.75634503,-0.017777443
se occuper de son oignon,14,certaines feraient mieux de s'occuper de leurs oignons,some people need to mind their own fucking business,They would do better to mind their own business.,Unnatural,0.7043536,0.7695246,-0.065171
se occuper de son oignon,15,je suis juste un oncle qui s'occupe de ses oignons,i'm just an old uncle who minds his own business and,I'm just an uncle minding my own business,Good Translation,0.81144273,0.80747414,0.0039685965
se occuper de son oignon,16,qu'il s'occupe de ses oignons,why doesn't he mind his own business,mind his own business or look after himself,Unnatural,0.59485006,0.6739804,-0.07913035
se occuper de son oignon,17,tout le monde devrait s'occuper de ses oignons,everyone needs to mind their business,Everyone should mind their own business.,Good Translation,0.75293934,0.73161846,0.02132088
se occuper de son oignon,18,dis-lui de s'occuper de ses oignons,you know tell her to mind her own business,Tell him to mind his own business,Literal Translation,0.72913194,0.7629225,-0.03379059
se occuper de son oignon,19,j'espère que votre bande de batârds fouineurs va apprendre à s'occuper de ses oignons,i wish you nosy bastards would learn to mind your own business,I hope your gang of nosy busybodies will learn to mind their own business.,Good Translation,0.71698165,0.77998626,-0.06300461
se occuper de son oignon,20,heu est ce que quelqu'un peut dire à cette dame de s'occuper de ses oignons ok,uh can somebody get this lady a storefront 'cause she needs to mind her own business mm-kay,What's wrong with what can someone tell this lady to mind her own business okay,Partial Translation,0.6794059,0.727725,-0.0483191
