idiom_id,text,type,variation,cosine_distance_to_eng,x,y
0,and now a young lady who goes to third base faster than rickey henderson my sister roberta tubbs,english_ref,english,,19.883251,4.6256614
1,becca there is no easy way to say this,english_ref,english,,9.762066,5.835169
2,let's cut to the chase shall we,english_ref,english,,6.869834,7.6456757
3,all right so let's cut to the chase,english_ref,english,,6.8997254,7.6243677
4,you don't mind if we uh jump right in,english_ref,english,,0.26695922,16.234749
5,indeedgentlemenlet me c to the chase,english_ref,english,,7.1113167,7.0486
6,well i i'll get right on that,english_ref,english,,8.55009,4.1546254
7,straightforward question,english_ref,english,,6.4873443,9.826114
8,therefore i shall get straight to the point,english_ref,english,,7.6876016,6.713724
9,focus keep it simple,english_ref,english,,8.621135,9.149937
10,now you all know me so i'll just say this as simple as i can,english_ref,english,,10.37959,2.5988798
11,should we get right to it captain,english_ref,english,,6.7192936,10.322669
12,we're gonna keep this simple,english_ref,english,,6.797687,9.850807
13,look can we just cut to the chase here,english_ref,english,,6.871314,7.742816
14,let me cut to the chase i hear you can't get a date for the winter formal,english_ref,english,,16.914845,11.369588
15,ok let's get something straight,english_ref,english,,6.0939155,9.93796
16,this way they can advance all the way home on just one move,english_ref,english,,4.3471584,18.669415
17,well might be a little harsh but i think it makes a point,english_ref,english,,-5.2270713,-7.832599
18,well let's get right to it then cyrus meet sanders black,english_ref,english,,12.838107,-14.245653
19,don't make any long explanations and just get to the point,english_ref,english,,-6.4738197,5.8503604
20,wellif you drill it downit means the company knew asbestos was causing cancer,english_ref,english,,-8.196419,-10.24488
21,get to the point mr morelli,english_ref,english,,7.3763337,9.876237
22,then i'm gonna have to sort of condense this maybe make it more of a bullet-point thing,english_ref,english,,6.9894285,-2.2523596
23,why don 't we cut the crap and talk straight,english_ref,english,,5.4072266,8.121279
24,let's cut through the facade agent burke,english_ref,english,,14.273799,5.689429
25,way to get right to the point dad quinn laughing,english_ref,english,,-6.5604224,-6.0514507
26,i just thought we might expedite,english_ref,english,,2.6545115,0.46468702
27,since you're busy i will just get to the point,english_ref,english,,-3.074627,0.097289525
28,pleasantries out of the way let's get down to the heart of the matter,english_ref,english,,-0.5488599,5.0878696
29,that's my girl straight and to the point,english_ref,english,,2.2500849,14.247645
30,so if you went straight to the point,english_ref,english,,1.7780828,10.445317
31,there's no plot in these things any more just straight in there,english_ref,english,,13.8203745,-7.8543
32,louise is holding dinner for me so let's have it,english_ref,english,,17.154678,17.938745
33,while i'd love to go on trading jabs with you spike perhaps i'll come to the point,english_ref,english,,1.5391794,-7.9104795
34,you look like a man who likes to get right to the point,english_ref,english,,0.25861818,11.303222
35,the plant is wonderful but can we get straight to business,english_ref,english,,17.030544,18.619822
36,well lets get to it,english_ref,english,,6.640391,10.645629
37,we can just get right to the point milo,english_ref,english,,6.93638,11.947403
38,so anyway let's get to the point of it and that right,english_ref,english,,7.0568914,11.271556
39,so anyways let's get down to the nitty-gritty,english_ref,english,,6.2727847,10.314578
40,- he gets right to the point - hi honey,english_ref,english,,0.42325157,-2.4143057
41,-can we get to the point here,english_ref,english,,7.1592393,9.180563
42,let's cut to the chase where's the dope,english_ref,english,,6.824184,7.740139
