idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le flemme,0,ses parents avaient la flemme de l'appeler bob,what his parents were too lazy to come up with like bob,Her parents had no desire to call her Bob,Mistranslation,0.7640213,0.7979359,-0.033914626
avoir le flemme,1,je ne sais pas si sortir ou pas j'ai la flemme,i don't know if i want to go or if i'm too tired but,I don't know whether to go out or not I'm feeling lazy.,Good Translation,0.7597298,0.7642114,-0.0044816136
avoir le flemme,2,maintenant j'ai la flemme,now i'm feeling lazy,I'm feeling lazy now.,Unnatural,0.74529827,0.7199937,0.025304556
avoir le flemme,3,il n'y a plus rien j'ai eu la flemme de faire des courses,we're all out and i was just too bored to go to the store,there's nothing left I didn't feel like going shopping.,Good Translation,0.63945997,0.7357008,-0.09624082
avoir le flemme,4,non j'ai la flemme,- no i am lazy,I don't feel like it.,Unnatural,0.64872265,0.6278801,0.020842552
avoir le flemme,5,ou bien tu as eu la flemme,someone who'd wronged you,or you just didn't feel like it,Good Translation,0.5997324,0.6585723,-0.058839917
avoir le flemme,6,- j'ai la flemme,- i don't feel like it,I don't feel like it.,Good Translation,0.66247,0.62617624,0.036293745
avoir le flemme,7,- j'ai eu la flemme,- i don't know i'm lazy,- I was lazy,Partial Translation,0.58472264,0.6164491,-0.03172648
avoir le flemme,8,je veux dire je ferai ce que je peux mais pour être honnête j'aurai la flemme,i mean i'll do what i can but in all honesty it's going to be half-arsed,I want to say I'll do what I can but honestly I will be lazy,Good Translation,0.81452185,0.8111732,0.0033486485
avoir le flemme,9,moi non j'ai la flemme,not me laziness,Me neither I'm feeling lazy,Good Translation,0.6302298,0.6482619,-0.018032134
avoir le flemme,10,j'ai la flemme de lire des sous-titres,actually no i'm not down for subtitles tonight,I don't feel like reading subtitles.,Good Translation,0.65112454,0.7715696,-0.12044507
avoir le flemme,11,il faudrait être sur le coup j'ai la flemme,it's a full-time job just monitoring it,"I'd have to be on the spot, I'm feeling lazy.",Good Translation,0.52248865,0.77376026,-0.2512716
avoir le flemme,12,mais il avait la flemme,he was just too lazy to go for a walk,but he was lazy,Unnatural,0.6967834,0.79404396,-0.097260535
avoir le flemme,13,j'ai la flemme,i'm so lazy today,I don't feel like doing it.,Good Translation,0.5637696,0.55886936,0.004900217
avoir le flemme,14,parce qu'elle a la flemme de les laver,'cause she's too lazy to wash 'em,because she has no desire to wash them.,Good Translation,0.871665,0.8194221,0.052242875
avoir le flemme,15,- non j'ai la flemme,no i don't feel like it,- no I'm lazy,Unnatural,0.6868786,0.69733447,-0.010455847
avoir le flemme,16,ouais j'avais la flemme de me changer là-bas,i didn't bother changing,yeah I had the laziness to change myself over there,Mistranslation,0.6148066,0.8567296,-0.24192303
avoir le flemme,17,ils ont la flemme de sortir de chez eux,they can't even be bothered to get out of the house you know,They don't feel like going out of their house.,Good Translation,0.76740336,0.8225613,-0.05515796
avoir le flemme,18,mes parents ont eu la flemme de verser du ciment dans le sol,my parents were too lazy to actually pour the concrete in the ground,My parents were lazy to pour cement in the floor.,Partial Translation,0.80193245,0.8440433,-0.04211086
avoir le flemme,19,j'ai toujours voulu en faire des fraîches mais j'ai la flemme merci,i've always wanted to learn how to make fresh pasta but i've been too lazy thank you,I've always wanted to do it fresh but I'm lazy thanks,Good Translation,0.65115803,0.7505841,-0.09942609
