idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
ah la vache,0,ils avaient des brosses impeccables - ah la vache,- and your grandfathers,they had impeccable brushes - oh my goodness,Good Translation,0.46272504,0.8718528,-0.40912777
ah la vache,1,ah la vache il l'a pas volé,he sure had it coming,ah the cow he didn't steal it,Literal Translation,0.5388988,0.83131194,-0.29241312
ah la vache,2,ah la vache,bloody hell,oh my goodness,Good Translation,0.4752481,0.5549557,-0.07970762
ah la vache,3,salut ah la vache ils sont costauds ceux-là,oh my god who's winning so far,hello oh my goodness they are strong guys,Partial Translation,0.5194142,0.6692662,-0.14985204
ah la vache,4,ah la vache,- holy moly,ah man,Unnatural,0.49057603,0.64371043,-0.1531344
ah la vache,5,ah la vache,holy cow,ah man,Literal Translation,0.49402595,0.64371043,-0.14968449
ah la vache,6,ah la vache c'est le saumon,it's the salmon guy,ah wow that's salmon,Literal Translation,0.66538036,0.751446,-0.08606565
ah la vache,7,ah la vache on a un fax de l'ij,it's a fax from forensics,ah la vache we have anfax from ij,Partial Translation,0.75026435,0.80778205,-0.057517707
ah la vache,8,ah la vache,- attention - oh boy,oh my goodness,Unnatural,0.4668907,0.5549557,-0.08806503
ah la vache,9,- d'accord d'accord ah la vache,all right all right all right,- alright alright oh my goodness,Good Translation,0.58100814,0.59279907,-0.011790931
aller droit à le but,0,et maintenant une jeune femme qui va droit au but ma sœur roberta tubbs,and now a young lady who goes to third base faster than rickey henderson my sister roberta tubbs,and now a young woman who gets straight to the point my sister Roberta Tubbs,Good Translation,0.7977394,0.8728696,-0.075130224
aller droit à le but,1,rebecca je je vais aller droit au but,becca there is no easy way to say this,"Rebecca, I will get straight to the point.",Good Translation,0.59137046,0.7845253,-0.19315481
aller droit à le but,2,allons droit au but veux-tu,let's cut to the chase shall we,"let's get right to the point, do you?",Good Translation,0.6722493,0.73186266,-0.059613347
aller droit à le but,3,allons droit au but,all right so let's cut to the chase,let's get right to the point,Good Translation,0.78067726,0.8669234,-0.08624613
aller droit à le but,4,ça ne vous dérange pas si on va droit au but,you don't mind if we uh jump right in,It doesn't bother you if we get right to the point.,Good Translation,0.75141764,0.7985578,-0.04714018
