idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être en train de,0,nous sommes en train d'en avoir marre l'un de l'autre,we're slowly getting sick of each other,we're at our wit's end with each other,Mistranslation,0.8545134,0.847506,0.00700742
être en train de,1,fais gaffe je suis en train de suturer,hello i'm suturing here,Watch out I'm sewing,Good Translation,0.80045116,0.80889976,-0.008448601
être en train de,2,elle doit être en train de faire la grasse matinée dans la chambre de jake,uh gee i guess she's probably still asleep in jake's room,She must be having a lazy morning in Jake's room.,Good Translation,0.82112014,0.8633524,-0.042232275
être en train de,3,c'était en train de partir en fumée,mcgee it was running on fumes,it was about to go up in smoke,Good Translation,0.71350086,0.9046806,-0.19117975
être en train de,4,tu crois qu'elliot est en train de pleurer comme une madeleine,do you think elliot's somewhere right now crying her eyes out,Do you think Elliot is crying like a Madeleine?,Unnatural,0.80431396,0.78818023,0.016133726
être en train de,5,la dernière fois que je vous ai vu vous étiez en train de pleurer comme une madeleine,have you come to talk about marriage,"the last time I saw you, you were crying like a Magdalene",Literal Translation,0.49942997,0.8991571,-0.39972714
être en train de,6,tu es en train de te prendre la tête,you're psyching yourself out,You're beating around the bush.,Mistranslation,0.78884876,0.6853086,0.10354018
être en train de,7,sarah est en train de te prendre la tête,oh sarah's got you all up in a tizzy,Sarah is messing with your head.,Good Translation,0.7523532,0.8759064,-0.12355322
être en train de,8,le polonais est en train de péter un câble,the pole's going crazy,The Pole is in the process of blowing a fuse.,Good Translation,0.6246208,0.6558707,-0.03124988
être en train de,9,randy est en train de péter un câble là-bas dedans,randy's losing his brain in there,Randy is burning out a wire over there inside,Literal Translation,0.7412679,0.87938595,-0.13811803
être en train de,10,c'est pas sa mère qui est en train de péter un câble,it's not his mother who's gone around the bend,It's not his mother who is in the process of fraying a wire,Literal Translation,0.7640643,0.8584473,-0.094383
être en train de,11,- ethan je suis en train de péter un câble à cause,ethan i'm freaking out,- Ethan I'm going to blow a fuse because,Good Translation,0.7053815,0.7649898,-0.05960828
être en train de,12,imagine combien de gens sont en train de s'envoyer en l'air mec,imagine how many people out there right now are fucking man,Imagine how many people are probably jacking off right now dude.,Good Translation,0.788075,0.80099463,-0.012919664
être en train de,13,tu es en train de tourner la page,you really are turning over a new leaf,You're turning the page.,Good Translation,0.678471,0.86826956,-0.18979853
être en train de,14,je crois qu'il est en train de tourner la page,you know i think he's turning over a new leaf,I think he is turning over a new leaf.,Good Translation,0.78675216,0.80417216,-0.017419994
être en train de,15,vous croyez qu'il est en train de tourner la page,think he's up there turning' over a new leaf,Do you think he's turning a new leaf?,Good Translation,0.73093593,0.7155421,0.015393853
être en train de,16,je sais que tu as besoin d'espace mais tu ne peux pas en avoir car alex est en train de tourner la page,i know you want space but you can't have space because alex might be moving on,I know that you need space but you can't have it because Alex is in the middle of filming a scene.,Literal Translation,0.87108237,0.84196925,0.029113114
être en train de,17,je suis en train de tourner la page,i'm turning over a new leaf,I'm turning the page.,Good Translation,0.7470676,0.90023184,-0.15316427
être en train de,18,je suis en train de tourner la page vraiment je travaille dur pour tourner la page,i'm getting over this i am i'm working really hard to get over this,I am turning the page for real I'm working hard to turn the page,Good Translation,0.7710388,0.9351754,-0.16413665
être en train de,19,votre relation est en train de tourner au vinaigre,has your relationship reached its inevitable ugly end,Your relationship is starting to sour.,Good Translation,0.67898643,0.7878748,-0.10888839
être en train de,20,tu devrais être en train de t'occuper de ben i'invalide ii va très bien tout ie monde peut avoir besoin d'un coup de main,that's how it sounded,"You should be taking care of Ben, he's an invalid and everyone needs a hand sometimes.",Mistranslation,0.44402677,0.85751885,-0.41349208
être en train de,21,elle prend un bain ou quoi si t'es en train de te baptiser c'est pas comme ça que ça marche,it doesn't count if you try to baptize yourself,she takes a bath or what if you're being baptized it doesn't work like that,Good Translation,0.6739329,0.9302251,-0.25629216
être en train de,22,on est en train de chercher une solution mais si ça marche pas tu sais ce que tu dois faire,we're trying to solve it but you know what to do if it doesn't work out right,We are trying to find a solution but if that doesn't work out you know what you have to do.,Good Translation,0.8903128,0.9344028,-0.044090033
être en train de,23,quoi que tu sois en train de faire ça marche,whatever you're doing in there it's working,whatever you're doing it works,Partial Translation,0.7305827,0.7561759,-0.025593162
être en train de,24,tu es en train de dire que ta sœur est canon,what a freak you're going to hell man,You're saying your sister is hot,Partial Translation,0.47688597,0.77246225,-0.29557627
être en train de,25,tu es crevé tu es en train de guérir,uh likeyou're tired,You are burnt out you are recovering,Good Translation,0.5929426,0.7355735,-0.14263088
être en train de,26,et ma musique de surveillance est en train de passer,i got my stakeout mix going,and my surveillance music is in the process of passing,Literal Translation,0.5781112,0.96129215,-0.38318098
être en train de,27,il est en train de le faire il défonce la porte,he's doing it he's breaking down the door,He is breaking it down; he's smashing the door.,Good Translation,0.8875861,0.8483093,0.03927684
être en train de,28,et j'étais en train de me branler c'est ça que tu veux ah,i was under your window and i was jerking off,and I was jerking off that's what you want ah,Good Translation,0.6423864,0.8565641,-0.21417773
être en train de,29,dis l'athlète tu sais ce qu'il en coûte de plaisanter avec son père qui est en train d'organiser tout seul un bonheur familial,hey athlete how dare you mock your father who's trying to promote the family's happiness all on his own,Tell the athlete you know what it costs to joke with his father who is busy organizing a family happiness all alone.,Good Translation,0.7996058,0.9022224,-0.10261661
être en train de,30,terri était en train de lui couper les cheveux quand le dernier s'est produit,- terri was cutting her hair when the last one hit,Terry was cutting her hair when the last one happened.,Good Translation,0.88199395,0.8562968,0.025697172
être en train de,31,t'es en train de péter les plombs,man you're really losing it you know that,You're losing your temper.,Good Translation,0.6216227,0.68609774,-0.06447506
être en train de,32,il doit être en train de roupiller par là,he's probably asleep behind it,It must be sleeping around there.,Literal Translation,0.73788846,0.76968247,-0.03179401
être en train de,33,c'est plus lourd que je pensais et je suis sûre que c'est en train de me tasser les vertèbres mais,it's a lot heavier than i expected and i'm pretty sure it's compacting my spinal column but,it's heavier than I thought and I'm sure it's compressing my vertebrae but,Good Translation,0.8180717,0.88302565,-0.06495392
être en train de,34,alors me revoila il fallait que j'en parle le vent est en train de se barer sérieusement,so here i am again i just had to do an update now the wind is seriously going away,So I'm coming back it had to be talked about the wind is seriously going to get worse.,Mistranslation,0.7572484,0.824432,-0.067183614
être en train de,35,si l'on essaie de partir à la nage avec un pneu ou dans la roue d'un avion on est en train de quitter illégalement le pays et l'on a pour 4 5 ou 6 ans de prison,if you try to swim to freedom or stow away on a plane you're leaving the country illegally and you get 4 or 5 or 6 years in jail,"If one tries to leave by swimming with an inflatable or in the wheel of an aircraft one is illegally leaving the country and you get 4, 5 or 6 years in jail.",Good Translation,0.84249264,0.8700484,-0.027555764
être en train de,36,cette femme est en train d'user mes nerfs,- that woman is working my last nerve,This woman is driving me mad.,Good Translation,0.8482443,0.8311032,0.017141104
