idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
"avoir un coup de foudre,coup de foudre",0,je sais pas j'ai eu un coup de foudre,i don't know it was love at first sight,I don't know I had a crush,Mistranslation,0.70451736,0.7307041,-0.026186764
"avoir un coup de foudre,coup de foudre",1,je n'ai pas eu de coup de foudre depuis sean cassidy,i haven't had a crush since sean cassidy no way,I haven't had a crush since Sean Cassidy,Unnatural,0.8450041,0.82062966,0.024374425
"avoir un coup de foudre,coup de foudre",2,je savais que tu as eu un coup de foudre pour juan antonio,look i knew you had feelings for juan antonio the moment you saw him,I knew you had a crush on Juan Antonio,Good Translation,0.8462621,0.84130245,0.004959643
"avoir un coup de foudre,coup de foudre",3,- on entend le tonnerre quand il y a un coup de foudre dans le ciel,thunderclaps are made by lightning strikes and love at first sight,We hear thunder when there is a lightning strike in the sky.,Literal Translation,0.5470996,0.796963,-0.24986339
"avoir un coup de foudre,coup de foudre",4,c'est la première fois que j'ai un coup de foudre,it's the first time i've experiennced love at first sight,it's the first time I've had love at first sight,Good Translation,0.8638214,0.85867107,0.005150318
"avoir un coup de foudre,coup de foudre",5,et comme on dit j'avais un coup de foudre pour elle,and as they say i had a crush on her,"and as they say, I had a crush on her",Good Translation,0.89316833,0.8892042,0.003964126
"avoir un coup de foudre,coup de foudre",6,meg disait à markayla de ralentir mais markayla a eu un coup de foudre,meg kept telling markayla to slow down but markayla was head over heels,meg told markayla to slow down but markayla fell in love at first sight,Good Translation,0.87433636,0.8509959,0.023340464
"avoir un coup de foudre,coup de foudre",7,mais c'est pas ce qui se passe quand il y a un coup de foudre,but doesn't that happen in a case of love at first sight,but that's not what happens when there's a spark,Good Translation,0.7323183,0.7815597,-0.049241424
"avoir un coup de foudre,coup de foudre",8,- on a eu un coup de foudre,love at first sight,- we had a crush,Mistranslation,0.62697005,0.78787404,-0.16090399
"avoir un coup de foudre,coup de foudre",9,avoir un coup de foudre c'est sentir le véritable amour,to experience love at first sight is to feel true love,to fall in love is to feel true love,Partial Translation,0.7814422,0.8075746,-0.026132405
"avoir un coup de foudre,coup de foudre",10,vous n'êtes pas la seule à avoir eu un coup de foudre,you know you weren't the only one that crashed,you're not the only one to have fallen in love at first sight,Good Translation,0.706847,0.85276973,-0.14592272
"avoir un coup de foudre,coup de foudre",11,j'ai eu un coup de foudre,i've fallen in love,I fell in love at first sight,Good Translation,0.7725082,0.77220577,0.00030243397
"avoir un coup de foudre,coup de foudre",12,j'ai eu un coup de foudre et j'ai tout oublié,i fell in love with someone and all my plans went out the window,I fell in love at first sight and forgot everything.,Good Translation,0.75569737,0.8422207,-0.086523354
"avoir un coup de foudre,coup de foudre",13,aussitôt qu'il arrive il faut qu'il ait un coup de foudre,it has to be love at first sight,"The moment he arrives, he has to fall in love.",Partial Translation,0.6888286,0.80195665,-0.113128066
"avoir un coup de foudre,coup de foudre",14,si tu es inquiète de voir neil tomber amoureux de quelqu'un de la façon dont je suis tombé amoureux de toi ça serait comme s'inquiéter d'avoir un coup de foudre,if you're worried about neil falling in love with someone the way i fell in love with you that's like worrying about being struck by lightning,"if you're worried about seeing Neil fall in love with someone the way I fell in love with you, it would be like worrying about having a crush.",Partial Translation,0.8642585,0.86261666,0.0016418695
"avoir un coup de foudre,coup de foudre",15,on a eu un coup de foudre dans le tram,we met on a tram love at first sight,we had a crush on someone in the tram,Literal Translation,0.85857254,0.9124632,-0.053890646
"avoir un coup de foudre,coup de foudre",16,j'ai presque eu un coup de foudre comme pour une fille,it was like falling in love with a woman at first sight,I almost had a crush on a girl like that.,Unnatural,0.7672693,0.849002,-0.08173269
"avoir un coup de foudre,coup de foudre",17,une fois j'ai eu un coup de foudre d'ascenseur,one time i had an elevator crush,once I had a elevator crush,Unnatural,0.8750441,0.86769766,0.0073464513
"avoir un coup de foudre,coup de foudre",18,alors qu'il est clair que tu as un coup de foudre passager pour lui,tutoring you when it's quite clear that you've developed an infatuation for him who says,while it is clear that you have a temporary crush on him,Good Translation,0.7344302,0.8593433,-0.1249131
"avoir un coup de foudre,coup de foudre",19,moi aussi mais on n'a pas eu de coup de foudre,so do i but we didn't love each other at first either,me either but we didn't have any sparks,Unnatural,0.7166859,0.81889176,-0.10220587
"avoir un coup de foudre,coup de foudre",20,il faut essayer de deviner quel garçon a un coup de foudre pour toi,you try to figure out which cute boy has a crush on you,you need to try to guess which boy has a crush on you,Unnatural,0.8443291,0.8725314,-0.028202295
"avoir un coup de foudre,coup de foudre",21,hé vous n'avez jamais eu de coup de foudre,hey have you ever experienced love at first sight,you never had lightning loveiasmlove at first sight,Mistranslation,0.62464833,0.7131045,-0.088456154
"avoir un coup de foudre,coup de foudre",22,il a eu un coup de foudre pour moi bien sûr,bit of a crush on me of course yeah,"He had a crush on me, of course.",Good Translation,0.7695019,0.8862232,-0.11672127
"avoir un coup de foudre,coup de foudre",23,j'ai eu un coup de foudre alors j'ai tué le vieux couple qui habitait ici,i fell in love at first sight and then i killed the old couple who lived here,I had a crush and killed the old couple who lived here.,Partial Translation,0.8844895,0.87705386,0.00743562
"avoir un coup de foudre,coup de foudre",24,- en voyant la maison j'ai eu un coup de foudre,i immediately fell in love with this house,"- seeing the house, I fell in love",Good Translation,0.8220213,0.9036095,-0.08158821
"avoir un coup de foudre,coup de foudre",25,elle a un coup de foudre,she falls in love with him right there and then,she falls in love at first sight,Good Translation,0.78099406,0.8408523,-0.059858263
"avoir un coup de foudre,coup de foudre",26,tu as eu un coup de foudre pour une fille de 8 ans,you had a crush on an eight-year-old,you had a crush on an 8-year-old girl,Good Translation,0.843595,0.8881228,-0.04452777
"avoir un coup de foudre,coup de foudre",27,il y en a une qui a un coup de foudre amical,ugh someone has a friend crush,there's one who has a friendly crush,Good Translation,0.7513326,0.7947439,-0.043411314
"avoir un coup de foudre,coup de foudre",28,on a eu un coup de foudre,we had a whirlwind romance,we had love at first sight,Good Translation,0.6883434,0.69008225,-0.0017388463
