idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire le pont,0,j'ai dit en normandie on était en normandie puis on faisait le pont là,i said normandy not the usa,I said we were in Normandy then we'd cross over there.,Literal Translation,0.7247339,0.8362258,-0.11149192
faire le pont,1,tu dois faire le pontage,sam i'm sorry i need you,you need to make a connection,Mistranslation,0.5575391,0.73947203,-0.18193293
faire le pont,2,on pourrait refaire le pont du queen elizabeth 2 avec tout ce bois,you could deck the qe 2 with the wood they gave me,We could rebuild Queen Elizabeth 2's bridge with all that wood.,Literal Translation,0.677902,0.9095278,-0.2316258
faire le pont,3,mais j'essaie de faire le pont,but i've been trying to do a backbend,but I'm trying to bridge the gap,Good Translation,0.7452457,0.8479731,-0.10272741
faire le pont,4,on n'est pas obligés de faire le pontage,we don't need to do the bypass,You are not obliged to do the wiring.,Mistranslation,0.72369593,0.7126492,0.011046708
faire le pont,5,tout au long de ma vie et de ma carrière j'ai fait le pont entre deux mondes,throughout my life and career i have straddled two worlds,all throughout my life and career I have bridged two worlds,Good Translation,0.872436,0.93546104,-0.06302506
faire le pont,6,tu veux faire le pont,you want to do it backwards,do you want to make up,Mistranslation,0.638856,0.7216226,-0.08276659
faire le pont,7,je fais le pont du 4 juillet je resterai 3 jours,yeah i'm taking the 4th off so i'll be there for three days,I'm taking a four-day weekend I will stay three days,Unnatural,0.79142606,0.79879177,-0.0073657036
faire le pont,8,ok les chatons on y va on fait le pont de londres,okay kitties let's go,"Alright kids let's go, we're going to make London Bridge.",Literal Translation,0.6905345,0.795513,-0.1049785
faire le pont,9,je suis pour faire le pont réparé,i'm to get the bridge repaired,I'm for fixing the bridge,Literal Translation,0.91106164,0.90473545,0.0063261986
faire le pont,10,faisons le pont,set up the bridge,make up for lost time,Mistranslation,0.78407043,0.5552783,0.22879213
faire le pont,11,il a fallu acheter un cheval et refaire le pont,i had to buy a horse and rebuild the bridge,He had to buy a horse and rebuild the bridge.,Literal Translation,0.9266418,0.9126629,0.0139788985
faire le pont,12,dès qu'on aura fait le pontage ce sera plus facile,once we get him on bypass it'll be easier to control,"once we've done the bridge, it'll be easier",Literal Translation,0.7407484,0.86174345,-0.120995045
faire le pont,13,programme l'ablation de la tumeur je ferai le pontage juste après,schedule the tumor removal i'll do the bypass right after,I will schedule the tumor removal and I'll do the bypass just after that.,Good Translation,0.78909796,0.77937317,0.009724796
faire le pont,14,elle sera de niveau supérieur elle fera le pont entre la tradition ancienne et l'équipement moderne,we're taking it to the next level bridging the gap between ancient tradition and modern warfare,She will be of a higher level she will make the bridge between old traditions and modern equipment,Good Translation,0.7055797,0.9369711,-0.23139143
faire le pont,15,c'était plus facile pour eux d'arranger des contacts que pour nous militaires deux ou trois d'entre eux civils respectés faisait le pont avec d'autres civils,it was easier for him to deal with other civilians than for us military officers to deal with 10 20 30 civilians,it was easier for them to arrange meetings than for us military two or three of the respected civilians made a bridge with other civilians.,Literal Translation,0.7396371,0.91509044,-0.17545336
faire le pont,16,celui-ci est à l'envers alors si vous faisiez le pont,this one is upside down so if you were doing a back bend or something,This one is upside down then if you were to do a bridge,Good Translation,0.76254874,0.8380992,-0.07555044
faire le pont,17,il veut refaire le pont tout le pont avant le début de la saison,he wants to re-bed the deck the whole deck before the start of the season,He wants to repair the whole bridge before the start of the season.,Mistranslation,0.8388977,0.9100941,-0.07119638
faire le pont,18,je ferai faire le pont à la malade pour qu'elle reste au sec,not if the patient has a bridge in her mouth the water flows under the patient walks over and meets the pill on the other side,I will get a bridge built for the sick person so she can stay dry.,Literal Translation,0.56239116,0.8804388,-0.31804764
