idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
pleurer comme un madeleine,0,elle a même pleuré comme une madeleine parce qu'il lui manquait ce n'est pas comme si je n'avais pas utilisé hye ri,lawyer his name was seo-dong-gun do you know him by any chance,"She even cried like a madeleine because she missed it, not to mention that I haven't used hye ri.",Mistranslation,0.30585095,0.9159633,-0.6101123
pleurer comme un madeleine,1,je me démène pour qu'ils soient adoptés et pleure comme une madeleine quand ils partent,i work like fury to get them adopted and then cry like a fool when they go,I hustle for their adoption and cry like a madonna when they leave,Unnatural,0.84024066,0.8842789,-0.044038236
pleurer comme un madeleine,2,oui je pleurais comme une madeleine mais j'en ai fini avec les larmes,yes i used to weep salt tears about it but i've done with tears forever okay,"Yes, I was crying like a madonna but I've finally finished with tears.",Literal Translation,0.77253085,0.89769137,-0.12516052
pleurer comme un madeleine,3,elle pleurait comme une madeleine,but she was also more modern,she was crying like a madeleine,Literal Translation,0.4540654,0.9639854,-0.50992
pleurer comme un madeleine,4,j'ai pleuré comme une madeleine,i was blubbering like a baby,I cried like a madeleine,Literal Translation,0.71111655,0.9540275,-0.24291092
pleurer comme un madeleine,5,j'ai pas l'air d'avoir pleuré comme une madeleine,really it doesn't look like i've been bawling my eyes out,I don't look like I cried like a madeleine,Literal Translation,0.7794038,0.94518715,-0.16578335
pleurer comme un madeleine,6,une année il m'a apporté une barbie et j'ai pleuré comme une madeleine,he brought me a barbie and i bailed my eyes out,One year she gave me a Barbie and I cried like a sponge.,Literal Translation,0.7788428,0.86173666,-0.08289385
pleurer comme un madeleine,7,a mon arrivée à l'aéroport ils pleuraient comme des madeleines,they met me at the airport big reunion they cried like babies,"When I arrived at the airport, they were crying like madeleines.",Literal Translation,0.83591443,0.9606997,-0.124785244
pleurer comme un madeleine,8,j'étais dans le train j'ai pleuré comme une madeleine,i was on the train tears streaming down my face,I was on the train and I cried like a madeleine,Literal Translation,0.82486296,0.9536437,-0.12878072
pleurer comme un madeleine,9,c'était que 2 semaines mais j'ai pleuré comme une madeleine,it was only two weeks but i cried like a baby,it was just two weeks but I cried like a madeleine,Unnatural,0.8885076,0.9520136,-0.06350601
pleurer comme un madeleine,10,- pourquoi tu pleures comme une madeleine alors,- why are you blubbering then,Why are you crying like a madeleine?,Literal Translation,0.66356444,0.9210913,-0.25752687
pleurer comme un madeleine,11,- elle pleurera comme une madeleine,she's just gonna blubber her head off,- she will weep like a Madeleine,Literal Translation,0.6099441,0.8957217,-0.28577757
pleurer comme un madeleine,12,en pleurant comme une madeleine,she came back all right crying her eyes out,crying like a madeleine,Literal Translation,0.57845,0.9375299,-0.3590799
pleurer comme un madeleine,13,dorothy me l'a lue et j'ai pleuré comme une madeleine,romy dorothy lead it to me and i cried like a baby,Dorothy read it to me and I cried like a madonna cake.,Mistranslation,0.75256133,0.85855067,-0.10598934
pleurer comme un madeleine,14,je le regarde et mr beau-gosse ici présent pleure comme une madeleine,i look over and pretty boy here is bawling his eyes out,I look at him and this handsome fellow here is crying like a madeleine,Literal Translation,0.7265438,0.8799291,-0.15338534
pleurer comme un madeleine,15,lejour où elle est partie j'ai pleuré comme une madeleine,the day she left i cried my eyes out,"the day she left, I cried like a magnet",Literal Translation,0.7942207,0.8347678,-0.040547132
pleurer comme un madeleine,16,tu pleures comme une madeleine,lito you're crying snot,you cry like a almond cake,Literal Translation,0.64000964,0.7330663,-0.09305668
pleurer comme un madeleine,17,il pleure comme une madeleine,because he's a waterworks,it rains like a sieve,Literal Translation,0.5395127,0.6996256,-0.16011292
pleurer comme un madeleine,18,parfois je vais bien parfois je pleurerais comme une madeleine,sometimes i'm okay another times i can cry a river,"Sometimes I am fine, sometimes I cry like a madeleine.",Unnatural,0.7534133,0.91146004,-0.15804672
pleurer comme un madeleine,19,tu crois qu'elliot est en train de pleurer comme une madeleine,do you think elliot's somewhere right now crying her eyes out,you think Elliot is crying like a little girl,Literal Translation,0.804314,0.8350097,-0.030695677
pleurer comme un madeleine,20,la dernière fois que je vous ai vu vous étiez en train de pleurer comme une madeleine,have you come to talk about marriage,"The last time I saw you, you were crying like a madeleine.",Literal Translation,0.49942988,0.9405769,-0.44114703
