idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
"il faire un froid de canard,un froid de canard",0,il fait un froid de canard ici,it's freezing here,It's freezing here,Good Translation,0.8535204,0.8543451,-0.00082468987
"il faire un froid de canard,un froid de canard",1,sapristi il fait un froid de canard,oh jiminy it sure turned cold,oh dear it's freezing cold,Good Translation,0.65902406,0.70238215,-0.043358088
"il faire un froid de canard,un froid de canard",2,j'avais déjà gaspillé l'argent que j'avais reçu à ma sortie et avec ce vent il faisait un froid de canard,i'd already blown the money they gave me and the north wind was colder than hell,"I had already wasted the money I received when I graduated, and with this wind, it was like freezing duck.",Unnatural,0.847968,0.8097619,0.0382061
"il faire un froid de canard,un froid de canard",3,il fait un froid de canard,it's cold enough to freeze the ears off a monkey,it's freezing,Literal Translation,0.70459,0.80586404,-0.10127401
"il faire un froid de canard,un froid de canard",4,il fait un froid de canard dans cette cabine,this phone booth is freezing,it's freezing in here,Good Translation,0.66733444,0.7968199,-0.12948549
"il faire un froid de canard,un froid de canard",5,il fait un froid de canard dehors,it's cold as hell outside,It's freezing outside,Good Translation,0.81401145,0.8265395,-0.012528062
"il faire un froid de canard,un froid de canard",6,il fait un froid de canard et,it's freezing and,it's freezing cold and,Good Translation,0.82011205,0.82648355,-0.006371498
"il faire un froid de canard,un froid de canard",7,on était en chemise et en pantalon léger mais il faisait un froid de canard,we had to run round in shirts and thin trousers but it was actually bloody cold,we were in shirt and light pants but it was freezing like hell,Good Translation,0.7882153,0.81900156,-0.030786276
"il faire un froid de canard,un froid de canard",8,il fait un froid de canard ici,it's colder than a goblin's ass out here huh ha ha,It's freezing here,Partial Translation,0.7710842,0.8543451,-0.083260894
"il faire un froid de canard,un froid de canard",9,putain il fait un froid de canard,fucking cold as hell,damn it's freezing cold,Good Translation,0.74391884,0.8115854,-0.06766659
"il faire un froid de canard,un froid de canard",10,il fait un froid de canard dans cette maison,it's really cold in here,it's freezing in this house,Good Translation,0.8347602,0.89552623,-0.06076604
"il faire un froid de canard,un froid de canard",11,- en plus il fait un froid de canardbr,- and it's freezing cold,- and it's freezing cold,Good Translation,0.7787875,0.7787875,0.0
"il faire un froid de canard,un froid de canard",12,il faisait un froid de canard à 11h le matin de noël,it was below freezing 1100 am on christmas morning,It was freezing at 11am on Christmas morning.,Good Translation,0.8388386,0.8577318,-0.018893242
"il faire un froid de canard,un froid de canard",13,il fait un froid de canard dehors,it' cold outside like winter,It's freezing outside,Good Translation,0.8271867,0.8265395,0.00064718723
"il faire un froid de canard,un froid de canard",14,et il fait un froid de canard et il n'y a que du poisson,it's so crikey cold and dark up there and there's only fish to eat,and it's freezing and there's only fish,Partial Translation,0.7727013,0.86386967,-0.091168344
"il faire un froid de canard,un froid de canard",15,où il fait un froid de canard,where it's freezing cold,where it's freezing cold,Good Translation,0.7642338,0.7642338,0.0
"il faire un froid de canard,un froid de canard",16,pilar il fait un froid de canard,hey pilar it's awfully cold here,pilar it's as cold as a duck,Good Translation,0.85325307,0.81410944,0.039143622
"il faire un froid de canard,un froid de canard",17,il faisait un froid de canard,it was usually bitterly cold,it was freezing cold,Good Translation,0.749584,0.841002,-0.09141797
"il faire un froid de canard,un froid de canard",18,il fait un froid de canard ici,it's getting cold in here,it's freezing here,Good Translation,0.87159586,0.8535204,0.018075466
"il faire un froid de canard,un froid de canard",19,il fait un froid de canard pas vrai,pretty chilly out here,"it's freezing, isn't it",Good Translation,0.7176658,0.7073312,0.010334611
"il faire un froid de canard,un froid de canard",20,il fait un froid de canard et les bottes de mon oncle me tuent,do you know it's freezing outside and i'm wearing my uncle's boots so now i've a blister,it's freezing and my uncle's boots kill,Unnatural,0.7041399,0.8584765,-0.15433663
"il faire un froid de canard,un froid de canard",21,il fait un froid de canard,it's colder than a well digger's ass man,it's freezing cold,Literal Translation,0.7168703,0.8142789,-0.09740859
"il faire un froid de canard,un froid de canard",22,il fait un froid de canard dehors,there's a chill out there,It's freezing outside,Good Translation,0.7540705,0.8265395,-0.072468996
"il faire un froid de canard,un froid de canard",23,il fait un froid de canard mais elle pourrait y survivre,cold as hell down there but she'd survive on the surface,it's as cold as a duck but she could survive it,Literal Translation,0.811298,0.83110726,-0.019809246
"il faire un froid de canard,un froid de canard",24,il fait un froid de canard là-bas,it's freezing up there,it's freezing there,Unnatural,0.83736336,0.84105533,-0.0036919713
"il faire un froid de canard,un froid de canard",25,- il fait un froid de canard,- it's freezing cold,- it's freezing cold,Good Translation,0.83143306,0.83143306,0.0
"il faire un froid de canard,un froid de canard",26,il fait un froid de canard aujourd'hui,it's so cold today,it's freezing today,Good Translation,0.84265137,0.83093387,0.011717498
"il faire un froid de canard,un froid de canard",27,il fait un froid de canard chérie,it's freezing out there babe,"it's a cold one, darling",Good Translation,0.79795635,0.81127137,-0.013315022
"il faire un froid de canard,un froid de canard",28,il fait un froid de canard dehors,it's freezing outside,It's freezing outside,Good Translation,0.8292028,0.8265395,0.0026632547
