idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire le sourd oreille,0,je croyais pouvoir continuer à faire la sourde oreille,i guess i thought i could just go on not caring,I thought I could continue to turn a deaf ear.,Good Translation,0.70534694,0.8673204,-0.16197348
faire le sourd oreille,1,au moins avant elle pouvait faire la sourde oreille aux cris,at least before she could tune out the crying,at least before she could-ignore-the-calls-outcry,Literal Translation,0.85158336,0.80026954,0.051313818
faire le sourd oreille,2,tu as fait la sourde oreille pas vrai,you didn't hear a damn thing i said about that did you,"you turned a deaf ear to it, didn't you",Good Translation,0.6589594,0.74930364,-0.09034425
faire le sourd oreille,3,elle a fait la sourde oreille comme sebastian avec dani,yeah she stonewalled me just like sebastian stonewalled dani,She turned a deaf ear like Sebastian with Dani,Good Translation,0.62326443,0.77954155,-0.15627712
faire le sourd oreille,4,elle fait la sourde oreille,she's being stubborn,she ignores,Unnatural,0.7743194,0.8046225,-0.030303061
faire le sourd oreille,5,tu ne peux pas faire la sourde oreille tom,you can't tune me out tom,you can't ignore it tom,Unnatural,0.7684933,0.7431921,0.025301218
faire le sourd oreille,6,il nous faut faire la sourde oreille,we must force ourselves not to listen to it,we need to turn a deaf ear,Good Translation,0.72692716,0.8170954,-0.09016824
faire le sourd oreille,7,de tous les côtés ceux qui pourraient nous aider font la sourde oreille,on every side those in a position to help are stricken by deafness,from all sides those who could help us turn a deaf ear,Good Translation,0.76053756,0.7671211,-0.006583512
faire le sourd oreille,8,on finit par faire la sourde oreille,after a while you just tune it out,one ends up turning a deaf ear,Good Translation,0.62459624,0.79286456,-0.16826832
faire le sourd oreille,9,et je fais la sourde oreille,and i tune out,and I ignore it,Good Translation,0.7162727,0.68412846,0.03214425
faire le sourd oreille,10,si c'est une attaque indirecte je fais la sourde oreille et ne daigne pas répondre,if that's a veiled criticism about me i won't hear it and i won't respond to it hmm,if it's an indirect attack I ignore it and deem not fit to respond,Good Translation,0.7562612,0.88111055,-0.12484932
faire le sourd oreille,11,mon père aussi faisait la sourde oreille avec ma mère,my father used to tune my mother out like that i'm sorry,My father also gave my mother the silent treatment.,Partial Translation,0.7194157,0.7438487,-0.024432957
faire le sourd oreille,12,mais le département de la justice d'ashcroft se voila la face et fit la sourde oreille,but ashcroft's justice department turned a blind eye and a deaf ear,but Ashcroft's department of justice turned a blind eye and deaf ear,Unnatural,0.85858566,0.85676664,0.0018190145
faire le sourd oreille,13,cela ne nous reflète-il pas mal qu'on ait fait la sourde oreille à ses appels,does it not reflect poorly on us that we let his pleas fall upon deaf ears,Does it not reflect poorly on us that we ignored his calls?,Good Translation,0.8179898,0.8087775,0.009212315
