idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en faire tout un fromage,0,pourquoi t'en fais tout un fromage,why are you making such a big fuss over it,What's the big deal?,Unnatural,0.62700313,0.40286866,0.22413447
en faire tout un fromage,1,je sais pas pourquoi elle en fait tout un fromage,i don't know why she's making such a big deal out of a wedding,I have no idea why she makes such a fuss about it.,Good Translation,0.7261863,0.7459638,-0.019777536
en faire tout un fromage,2,tu n'as pas besoin d'en faire tout un fromage,- oh yeah look there's no need to get emotional about this,You don't need to make a big deal out of it.,Good Translation,0.61148906,0.6895075,-0.07801843
en faire tout un fromage,3,pourquoi tu en fais tout un fromage,you can't come out to your dad i really want to know why it's such a big deal to you,Why are you making such a big deal out of it?,Good Translation,0.45822537,0.62508845,-0.16686308
en faire tout un fromage,4,tu en fais tout un fromage,dee you're blowing this completely out of proportion,You're making a mountain out of a molehill.,Good Translation,0.6171534,0.5971943,0.019959092
en faire tout un fromage,5,pourquoi est-ce qu'il faut en faire tout un fromage,why does it have to be such a big deal,Why does it have to be such a big deal?,Good Translation,0.59591675,0.585875,0.010041773
en faire tout un fromage,6,ouais enfin on va pas en faire tout un fromage,yeah well let's not make a big deal out of it,"Yeah, let's not make a big deal out of it.",Good Translation,0.65904003,0.6416454,0.017394662
en faire tout un fromage,7,cette stupide bague dont ta famille en fait tout un fromage,oh that stupid ring that your family holds onto like a bunch of hobbits,this stupid ring that your family is making a big deal about,Good Translation,0.7007697,0.73377156,-0.03300184
en faire tout un fromage,8,justin pourquoi t'en fait tout un fromage,justinwhy are you making such a big deal out of this,Justin why are you making such a big deal out of it?,Good Translation,0.7486934,0.7137269,0.03496653
en faire tout un fromage,9,il ne savait pas ce qui se tramait et pourquoi est-ce que tu en fais tout un fromage,he didn't know what was going onand why are you making such a big deal about it,He didn't know what was going on and why are you making such a big deal about it.,Good Translation,0.76755905,0.7617798,0.0057792664
