idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tenir à le courant,0,j'appelais juste pour vous tenir au courant des nouvelles,i'm just calling to give you an update,I was just calling to keep you posted on the news.,Good Translation,0.87994814,0.93295515,-0.053007007
tenir à le courant,1,tu dois te tenir au courant,- hello mr lewis - how you doing,you should stay informed,Good Translation,0.5169023,0.87980103,-0.3628987
tenir à le courant,2,histoire que la police nous tienne au courant de l'enquête,at least have nypd keep us in the loop on the investigation,A story to keep us informed about the investigation by the police.,Partial Translation,0.7742342,0.9093883,-0.13515413
tenir à le courant,3,c'est une grosse enquête le directeur assistant a besoin de savoir qu'il sera tenu au courant sans fioritures donc,it's a major case the assistant director needs to know he's getting the facts without spin so,It's a big investigation and the Assistant Director needs to know that he will be kept in the picture without any beating around the bush so.,Good Translation,0.81214285,0.8209238,-0.008780956
tenir à le courant,4,et j'apprécierais que vous me teniez au courant si quelque chose est découvert,and i'd appreciate it if you let me know when anything else comes up,and I would appreciate it if you kept me posted if something is discovered.,Good Translation,0.89516103,0.9541049,-0.058943868
tenir à le courant,5,pendant que tu te maîtrisais tu aurais pu m'appeler pour me tenir au courant,well while you were busy pulling punches you couldn't have given me a call let me know what was going on,while you were mastering yourself you could have called to keep me informed,Good Translation,0.7398133,0.9169669,-0.17715359
tenir à le courant,6,je parlerai à kagen demain je vous tiens au courant,i gotta talk to kagen tomorrow i'll get back to you,I will speak to Kagen tomorrow I'll keep you updated,Good Translation,0.89701664,0.95438516,-0.057368517
tenir à le courant,7,on te tient au courant,you'll hear soon princess,We keep you informed or We keep you up to date,Good Translation,0.63751674,0.8132597,-0.17574298
tenir à le courant,8,je ne suis pas fou de joie d'entendre ça mais il faut se tenir au courant,i'm not exactly bursting to hear it either we've gotta know what's going on,I am not crazy with joy to hear that but we have to keep informed.,Good Translation,0.7936009,0.92992926,-0.13632834
tenir à le courant,9,c'est une petite ville j'ai pensé te tenir au courant,well it's a town thing and i thought you should know,it's a small town I thought I'd keep you posted,Good Translation,0.83174264,0.9150645,-0.08332187
tenir à le courant,10,je te tiendrais au courant d'accord,i'll fill you in okay,I'll keep you posted okay,Good Translation,0.70133364,0.8211428,-0.11980915
tenir à le courant,11,merci de m'avoir tenue au courant de la situation david,all right,thank you for keeping me updated on David's situation,Good Translation,0.5301785,0.91990983,-0.38973135
tenir à le courant,12,kitt a dit qu'ils s'occupaient de tout mais qu'il nous tiendrait au courant,kitt said they'd take it from here but uh they'd keep us in the loop,Kitt said they were taking care of everything but that he would keep us posted.,Good Translation,0.82430625,0.9333282,-0.10902196
tenir à le courant,13,pourquoi est-ce que je n'ai pas été tenue au courant de ce rendez-vous,why wasn't i looped in about this meeting,why wasn't I told about this meeting,Good Translation,0.86568046,0.89949095,-0.033810496
tenir à le courant,14,oui je vous tiens au courant quatre mirages iraniens ont quitté le port soudanais de suakin et se dirigent vers la garnison du général zulake,four iranian mirage fighters just left the sudanese port of suakin and are heading toward general zulake's garrison,yes I am keeping you posted four Iranian Mirage fighter jets have left the Sudanese port of Suakin and are heading towards General Zualka's garrison.,Good Translation,0.84751636,0.862896,-0.015379667
tenir à le courant,15,- je vous tiendrai au courant,-l'll let you know when i know,- I'll keep you posted,Good Translation,0.78978753,0.89946467,-0.109677136
tenir à le courant,16,si vous découvrez quelque chose vous me tiendrez au courant,if you find out anything you'll you'll let me know,"If you find out something, please let me know about it.",Good Translation,0.9098259,0.87627256,0.033553362
tenir à le courant,17,merci de me tenir au courant,well thanks for checking with me,Thank you for keeping me posted.,Good Translation,0.79694223,0.8490876,-0.052145362
tenir à le courant,18,je le tiens au courant,i'm keeping him in touch on your condition,I keep him up to date or I'm keeping him informed,Good Translation,0.8373245,0.8266075,0.010716975
tenir à le courant,19,- hotch je vous tiendrai au courant,- hotch i'll let you know what i find - thanks,I'll keep you posted.,Good Translation,0.82837486,0.8074223,0.020952582
tenir à le courant,20,- vous me tenez au courant,-keep us posted -absolutely,- keep me informed,Good Translation,0.7078165,0.9034072,-0.19559073
tenir à le courant,21,bon on se tient au courant hein,well we'll have to take a rain check huh,we'll keep in touch then,Good Translation,0.6728615,0.7438282,-0.07096666
tenir à le courant,22,alors si quelque chose d'autre apparaît soyez sur de me tenir au courant,so if anything else comes up be sure to call me,then if something else comes up make sure to keep me in the loop,Good Translation,0.88194245,0.92036414,-0.03842169
tenir à le courant,23,vous deviez me tenir au courant afin que je l'ajuste,you were supposed to tell me so i could adjust the dosage,You should have kept me posted so that I could have adjusted it.,Good Translation,0.82567996,0.87909544,-0.053415477
tenir à le courant,24,on te tiendra au courant,we'll let you know when it goes down,We will keep you posted.,Good Translation,0.76870275,0.8654485,-0.09674573
tenir à le courant,25,nous vous tenons au courant,will keep you apprised,We keep you informed.,Good Translation,0.829321,0.90314615,-0.07382512
tenir à le courant,26,ils veulent prendre des notes se tenir au courant mais si ça leur sautait au visage ils ne seraient pas responsables,it's like they want to keep tabs on this they want to stay on top of it but if it blows up in their faces then they don't have to take responsibility for it,They want to take notes and stay informed but if it slipped their mind they wouldn't be responsible.,Partial Translation,0.7920724,0.9044869,-0.11241448
tenir à le courant,27,d'accord on te tiendra au courant quand tu seras à morningwood,all right we'll keep you apprised while you're over at morningwood,"Alright, we'll keep you posted when you're in Morningwood.",Good Translation,0.9326694,0.9162548,0.016414583
tenir à le courant,28,ça lui était difficile de me tenir au courant de toutes ses affaires,well he wasn't always able to keep me up on all his ventures,it was difficult for him to keep me informed about all his affairs,Good Translation,0.80444145,0.9528154,-0.14837396
tenir à le courant,29,oh juste me tenir au courant des développements,oh just keeping abreast of developments,just keep me posted on developments,Good Translation,0.93032527,0.93073285,-0.00040757656
tenir à le courant,30,on nous tiendra au courant,we will when they know,We will be kept informed.,Good Translation,0.75311756,0.91070414,-0.15758657
tenir à le courant,31,warrick et moi finirons la scène je vous tiens au courant,warrick and i will finish the processing here and i'll keep you posted,Warrick and I will finish the scene I'll keep you posted,Unnatural,0.83207035,0.9119358,-0.079865456
tenir à le courant,32,bon j'ai cette déposition et si nous le trouvons je vous tiendrais au courant,well i have this inscription now and so if we find him i'll let you know,Good I have this testimony and if we find it I'll keep you posted,Partial Translation,0.83572257,0.86317897,-0.027456403
tenir à le courant,33,je te tiendrai au courant,i'll be in touch homes,I will keep you posted.,Good Translation,0.7361001,0.83115673,-0.09505665
tenir à le courant,34,on vous tiendra au courant,if there's a match we'll take it from there,We will keep you informed.,Good Translation,0.61740696,0.9040678,-0.28666085
tenir à le courant,35,bon je vous tiens au courant,like you even have to ask,I'll keep you informed.,Good Translation,0.59962714,0.8388413,-0.23921418
tenir à le courant,36,les fêtes ne vous dispensent pas de me tenir au courant,because it's the holidays doesn't mean you don't check in,"parties or not, keep me posted anyway",Good Translation,0.7307831,0.7740067,-0.04322362
tenir à le courant,37,je me tiens au courant des problèmes relatifs à la santé de i'équipage,i am simply trying to monitor issues involving the health of the crew captain,I keep abreast of any health issues affecting the crew.,Good Translation,0.8378339,0.92290497,-0.08507109
tenir à le courant,38,vous me tenez au courant,- keep me in the loop,You keep me informed.,Good Translation,0.7944591,0.9027782,-0.1083191
tenir à le courant,39,tu me tiens au courant,right will you let me know,You keep me informed.,Good Translation,0.7399218,0.8866534,-0.14673162
tenir à le courant,40,dites à howard que je le tiendrai au courant,tell howard that i'll just touch base with him later,Tell Howard that I will keep him in touch.,Unnatural,0.77482605,0.8510346,-0.07620853
tenir à le courant,41,mais je peux te trouver une prof qui te tiendra au courant,maybe i should hire you a tutor and she can catch you up on everything,but I can find you a teacher who'll keep you up to date,Good Translation,0.7906536,0.9166572,-0.12600362
tenir à le courant,42,je ne peux pas vous dire si ce qui arrive est un acte de terrorisme ou un acte de dieu mais on vous tiendra au courant dès qu'on en saura plus,i can't tell you if what happened is an act of terror or an act of god but i'll keep everyone updated as we learn more,"I can't tell you if what is happening is an act of terrorism or the will of God, but we'll keep you informed as soon as we know more.",Good Translation,0.9110112,0.9244697,-0.01345849
tenir à le courant,43,c'est frank ou nate qui vous tenez au courant,right from frank or has nate just been telling you all along,It's either Frank or Nate who keeps you up to date.,Good Translation,0.80217445,0.9183681,-0.11619365
tenir à le courant,44,- je te tiens au courant,- i'll keep you posted,- I will keep you informed,Good Translation,0.8797919,0.8973371,-0.017545164
tenir à le courant,45,merci de nous tenir au courant,well thanks for letting us know,Thank you for keeping us informed.,Good Translation,0.8763591,0.8783814,-0.0020222664
tenir à le courant,46,dans le cas contraire je veux être tenu au courant sur le champ par les services secrets et la police compris,but i'd like an update from special branch and the police right now,in case of anything I would like to be kept informed by the secret services and the police as well,Good Translation,0.72757924,0.90884954,-0.1812703
tenir à le courant,47,j'aurais aimé que vous me teniez au courant des changements,i wish you'd learn to discuss policy changes with me,I would have liked it if you had kept me informed about the changes.,Good Translation,0.7825154,0.9367015,-0.15418607
tenir à le courant,48,je veux que vous fassiez des recherches sur carmichael et que vous me teniez au courant,i want you to start pulling files on carmichael and i want you to keep me in the loop,I want you to do some research on Carmichael and keep me posted.,Good Translation,0.8036419,0.91276026,-0.10911834
tenir à le courant,49,je vous tiendrai au courant comme toujours,i'll update you as always,I will keep you informed as always,Good Translation,0.91658753,0.95949394,-0.042906404
tenir à le courant,50,merci de nous tenir au courant,well thanks for the invite,Thank you for keeping us informed.,Mistranslation,0.7317658,0.8783814,-0.14661556
