idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire le sourd oreille,0,je croyais pouvoir continuer à faire la sourde oreille,i guess i thought i could just go on not caring,I thought I could continue to turn a deaf ear.,Good Translation,0.70534694,0.8673204,-0.16197348
faire le sourd oreille,1,au moins avant elle pouvait faire la sourde oreille aux cris,at least before she could tune out the crying,At least until then she could turn a deaf ear to the cries.,Good Translation,0.85158336,0.88930357,-0.037720203
faire le sourd oreille,2,tu as fait la sourde oreille pas vrai,you didn't hear a damn thing i said about that did you,"You've been deaf to that, right?",Good Translation,0.6589594,0.6753886,-0.016429186
faire le sourd oreille,3,elle a fait la sourde oreille comme sebastian avec dani,yeah she stonewalled me just like sebastian stonewalled dani,She turned a deaf ear just like Sebastian with Dani.,Good Translation,0.62326443,0.7798325,-0.15656805
faire le sourd oreille,4,elle fait la sourde oreille,she's being stubborn,She turns a deaf ear.,Good Translation,0.7743194,0.84797215,-0.073652744
faire le sourd oreille,5,tu ne peux pas faire la sourde oreille tom,you can't tune me out tom,you can't just turn a deaf ear to it,Good Translation,0.7684933,0.70681024,0.06168306
faire le sourd oreille,6,il nous faut faire la sourde oreille,we must force ourselves not to listen to it,We must turn a deaf ear to it.,Good Translation,0.72692716,0.80731547,-0.08038831
faire le sourd oreille,7,de tous les côtés ceux qui pourraient nous aider font la sourde oreille,on every side those in a position to help are stricken by deafness,from all sides those who could help us turn a deaf ear,Good Translation,0.76053756,0.7671211,-0.006583512
faire le sourd oreille,8,on finit par faire la sourde oreille,after a while you just tune it out,One turns a deaf ear (or we turn a deaf ear),Good Translation,0.62459624,0.715342,-0.09074575
faire le sourd oreille,9,et je fais la sourde oreille,and i tune out,and I turn a deaf ear,Good Translation,0.7162727,0.8060548,-0.08978206
faire le sourd oreille,10,si c'est une attaque indirecte je fais la sourde oreille et ne daigne pas répondre,if that's a veiled criticism about me i won't hear it and i won't respond to it hmm,if it's an indirect attack I turn a deaf ear and don't bother to respond,Good Translation,0.7562612,0.93604946,-0.17978823
faire le sourd oreille,11,mon père aussi faisait la sourde oreille avec ma mère,my father used to tune my mother out like that i'm sorry,My father also turned a deaf ear to my mother as well.,Good Translation,0.7194157,0.84140146,-0.12198573
faire le sourd oreille,12,mais le département de la justice d'ashcroft se voila la face et fit la sourde oreille,but ashcroft's justice department turned a blind eye and a deaf ear,but the Ashcroft Justice Department turned a blind eye and was deaf to it,Good Translation,0.85858566,0.88023233,-0.021646678
faire le sourd oreille,13,cela ne nous reflète-il pas mal qu'on ait fait la sourde oreille à ses appels,does it not reflect poorly on us that we let his pleas fall upon deaf ears,doesn't it reflect badly on us that we turned a deaf ear to his calls?,Good Translation,0.8179898,0.8866291,-0.06863928
faire le sourd oreille,14,j'ai demandé à karl de le rendre un paquet de fois mais il a toujours fait la sourde oreille,i asked karl to return it a bunch of times but he always shut me down,I have asked Karl to return it several times but he has always turned a deaf ear.,Good Translation,0.8831612,0.8750153,0.008145869
faire le sourd oreille,15,la plupart du temps je faisais la sourde oreille et lisait la bible,most of the time i'd just tune him out and study my bible,Most of the time I would turn a deaf ear and read the Bible.,Good Translation,0.78717685,0.90667313,-0.119496286
faire le sourd oreille,16,et fait la sourde oreille face aux conseils de ses proches,and a deaf ear to the counsel of those closest to him,and turned a deaf ear to the advice of her relatives,Good Translation,0.7672373,0.82497144,-0.05773413
faire le sourd oreille,17,tu as souvent evite mon regard en faisant la sourde oreille,alwaysavoidmy gaze pretending not to hear,you often avoid my eye by pretending not to hear me,Good Translation,0.7708046,0.88549525,-0.11469066
faire le sourd oreille,18,j'ai essayé d'être compatissante mais elle faisait la sourde oreille,i tried to be understanding about it but she was having none of it,I tried to be understanding but she was deaf to my words.,Good Translation,0.788664,0.84625834,-0.05759436
faire le sourd oreille,19,mais j'étais si obsédé par mes projets pour toi que je faisais la sourde oreille,but i was so into what i wanted for you that i couldn't see what you wanted,but I was so obsessed with my projects for you that I turned a deaf ear,Good Translation,0.6815269,0.9017093,-0.22018242
faire le sourd oreille,20,bien sûr que si tu le savais mais tu as fait la sourde oreille,oh you knew it meant you too,Of course if you knew but you have turned a deaf ear.,Good Translation,0.6162961,0.856444,-0.24014789
faire le sourd oreille,21,depuis trop longtemps vous entendez les rumeurs des actes immoraux commis par conrad grayson et pourtant vous faîtes la sourde oreille,for too long you've heard the rumors of conrad grayson's immoral acts and then buried your head in the sand,for far too long you've been hearing the rumors of Conrad Grayson's immoral acts and yet you turn a deaf ear,Good Translation,0.8318926,0.84873134,-0.01683873
faire le sourd oreille,22,j'ai fait la sourde oreille,i just didn't listen,I turned a deaf ear to him.,Good Translation,0.7039608,0.747927,-0.043966234
faire le sourd oreille,23,bah il fera la sourde oreille,he's just gonna have to turn a deaf ear,Oh he'll just turn a deaf ear to it,Good Translation,0.76904696,0.79103744,-0.021990478
faire le sourd oreille,24,c'est la nouvelle démocratie dans les syndicats faire la sourde oreille,that's how democratic the unions are today they ignore all of this,It's the new democracy in unions to be deaf ears,Good Translation,0.6274987,0.82681,-0.19931132
faire le sourd oreille,25,une jeune fille doit faire la sourde oreille,a young girl must pretend she doesn't hear,a young girl must turn a deaf ear to it,Good Translation,0.85506433,0.85856915,-0.0035048127
faire le sourd oreille,26,j'aime la ferme et les animaux et je fais la sourde oreille,i love the property i love the animals and i tune out the people,I like the farm and the animals and I turn a deaf ear,Good Translation,0.7304325,0.8683317,-0.13789916
faire le sourd oreille,27,tate faisait la sourde oreille car il ne pouvait tolérer que des détenus nous les musulmans lui dictions une ligne de conduite,tate was not willing to listen to us because he cannot allow prisoners or us in particular the muslim body to dictate to him how he run his institution,"His majesty was deaf to that as he could not abide the prisoners - Muslims, telling him what line of conduct to follow.",Good Translation,0.80394113,0.7887449,0.015196204
faire le sourd oreille,28,faire la sourde oreille pourrait vous couter un scalp,and i know that closing your ears to them can cost you your scalp,turning a deaf ear might cost you your head,Good Translation,0.72670346,0.72143507,0.005268395
faire le sourd oreille,29,vous avez fait la sourde oreille,the warning was ignored,You've turned a deaf ear.,Good Translation,0.57444274,0.816064,-0.24162126
faire le sourd oreille,30,essayez tous de faire la sourde oreille,everyone please pretend to be deaf,Try to turn a deaf ear,Good Translation,0.8434813,0.758775,0.08470631
faire le sourd oreille,31,à chaque fois que je lui parle il fait la sourde oreille,each time i talk to him he pretends he doesn't hear,every time I talk to him he turns a deaf ear,Good Translation,0.9067657,0.92085946,-0.014093757
faire le sourd oreille,32,faite la sourde oreille si vous voulez c'est dommage,bury your head in the sand if you want to,turn a deaf ear if you want that's too bad,Good Translation,0.57283115,0.79263604,-0.21980488
faire le sourd oreille,33,il l'est mais il fait la sourde oreille,he knows but he turns a deaf ear,He is but he hears nothing.,Partial Translation,0.86924917,0.8321948,0.03705436
faire le sourd oreille,34,vous devez lui faire la sourde oreille,you have to tune him out,You must give him the cold shoulder.,Mistranslation,0.72528195,0.7139732,0.01130873
faire le sourd oreille,35,elle sait que sans argent je fais la sourde oreille,without money her words fall on deaf ears,She knows that without money I am deaf,Literal Translation,0.8155663,0.8781696,-0.062603295
faire le sourd oreille,36,parce que ce gouvernement fait la sourde oreille à la population et fait preuve d'une arrogance jamais vu au québec tant à l'endroit des étudiants que de la population en général,this government pretends to be deaf in front of the society proceeding with an arrogance that quebec has never seen be it in front of the students or the society in general,"because this government is turning a deaf ear to the population and showing an arrogant attitude that has never been seen in Quebec, both among students and in general.",Good Translation,0.8394752,0.93050754,-0.091032326
faire le sourd oreille,37,j'ai essayé de lui en parler elle a fait la sourde oreille,i just tried to talk to her about it and she stonewalled me,I tried to talk to her about it but she shut me out.,Good Translation,0.77915156,0.8755882,-0.09643662
faire le sourd oreille,38,mathayus fit la sourde oreille aux avertissements de son père,mathayus paid no heed to his father's warnings,Mathayus turned a deaf ear to his father's warnings.,Good Translation,0.93779886,0.9096985,0.028100371
faire le sourd oreille,39,ils font la sourde oreille,but they're most uncooperative,They are turning a deaf ear.,Good Translation,0.6388642,0.84632117,-0.20745695
faire le sourd oreille,40,et elle a fait la sourde oreille,and she shut me down completely,and she turned a deaf ear,Good Translation,0.69948137,0.8602808,-0.16079944
faire le sourd oreille,41,donc votre gouvernement aurait délibérément fait la sourde oreille,are you saying that the british government deliberately ignored his statements,so your government would deliberately have turned a blind eye,Literal Translation,0.7422802,0.9044897,-0.16220951
faire le sourd oreille,42,il fera la sourde oreille,he will not listen to you,he will turn a deaf ear,Good Translation,0.7139947,0.844782,-0.13078731
faire le sourd oreille,43,les gars j'ai essayé mais il fait la sourde oreille,i tried but he's not listening,The guys I tried but he's being deaf as a post.,Good Translation,0.8432965,0.81384146,0.029455066
faire le sourd oreille,44,la galaxie veut de i'ordre vous avez fait la sourde oreille mais tout se termine maintenant,in a galaxy screaming for order you have cast a deaf ear but all that ends now,the galaxy wants order you've made a deaf ear but it's all over now,Unnatural,0.82112557,0.8462961,-0.025170505
faire le sourd oreille,45,je te supplie de ne pas partir et toi tu fais la sourde oreille,i'm begging you not to leave and you're turning a deaf ear,I implore you not to leave and you pretend you don't hear me,Good Translation,0.85264874,0.8386601,0.013988614
faire le sourd oreille,46,elle disait pourquoi parler quand son propre fils fait la sourde oreille,mother says why speak when her own child turns a deaf ear,She would say why speak when her own son makes a deaf ear to you.,Unnatural,0.8347706,0.90988743,-0.07511681
faire le sourd oreille,47,comment pouvez-vous accepter de faire la sourde oreille à ceux qui souffrent sur une carte,how convenient that must be for you to turn a deaf ear to those who suffer behind a line on a map,how can you accept turning a blind eye to those who suffer on a map,Unnatural,0.7364353,0.8250667,-0.08863139
