text,language,variation,idiom_id,x,y
Ils avaient des brosses impeccables - Ah la vache !,French,french_text,0,18.293625,-19.911734
Ah la vache ! il l'a pas volé !,French,french_text,1,18.098967,-20.698418
Ah la vache...,French,french_text,2,17.65848,-20.49997
"Salut. Ah la vache, ils sont costauds, ceux-là.",French,french_text,3,17.393513,-19.653957
Ah la vache!,French,french_text,4,17.509348,-21.774052
Ah la vache !,French,french_text,5,17.504988,-21.01084
"Ah la vache, c'est le saumon.",French,french_text,6,16.73137,-20.53594
"Ah la vache, on a un fax de l'IJ.",French,french_text,7,18.906233,-19.30189
Ah la vache.,French,french_text,8,17.15377,-20.606897
"- D'accord, d'accord. Ah la vache...",French,french_text,9,18.922632,-20.51117
Ils avaient des brosses impeccables - la vache !,French,french_1stWordDeleted,0,17.946615,-20.127567
Ah la vache ! il l'a pas volé !,French,french_1stWordDeleted,1,17.956049,-21.267914
Ah la vache...,French,french_1stWordDeleted,2,17.419958,-20.306955
"Salut. la vache, ils sont costauds, ceux-là.",French,french_1stWordDeleted,3,17.679346,-19.3047
Ah la vache!,French,french_1stWordDeleted,4,17.954014,-21.768734
Ah la vache !,French,french_1stWordDeleted,5,17.337475,-21.344017
"Ah la vache, c'est le saumon.",French,french_1stWordDeleted,6,16.64849,-20.942514
"Ah la vache, on a un fax de l'IJ.",French,french_1stWordDeleted,7,18.760195,-19.48275
Ah la vache.,French,french_1stWordDeleted,8,16.991745,-20.803892
"- D'accord, d'accord. la vache...",French,french_1stWordDeleted,9,19.198114,-20.348993
Ils avaient des brosses impeccables - Ah vache !,French,french_2stWordDeleted,0,18.204205,-19.668726
Ah vache ! il l'a pas volé !,French,french_2stWordDeleted,1,18.12237,-20.85914
Ah vache...,French,french_2stWordDeleted,2,18.515266,-20.418526
"Salut. Ah vache, ils sont costauds, ceux-là.",French,french_2stWordDeleted,3,17.781324,-19.679895
Ah vache!,French,french_2stWordDeleted,4,18.933456,-21.73605
Ah vache !,French,french_2stWordDeleted,5,18.301167,-22.028519
"Ah vache, c'est le saumon.",French,french_2stWordDeleted,6,16.776386,-20.054169
"Ah vache, on a un fax de l'IJ.",French,french_2stWordDeleted,7,18.44644,-19.115889
Ah vache.,French,french_2stWordDeleted,8,18.749031,-21.378859
"- D'accord, d'accord. Ah vache...",French,french_2stWordDeleted,9,19.024591,-19.929182
Ils avaient des brosses impeccables - Ah la !,French,french_3stWordDeleted,0,19.992258,-19.991312
Ah la ! il l'a pas volé !,French,french_3stWordDeleted,1,18.495956,-20.950245
Ah la...,French,french_3stWordDeleted,2,19.7288,-20.717846
"Salut. Ah la, ils sont costauds, ceux-là.",French,french_3stWordDeleted,3,19.957556,-20.354103
Ah la!,French,french_3stWordDeleted,4,19.58972,-21.216122
Ah la !,French,french_3stWordDeleted,5,20.2744,-21.103342
"Ah la, c'est le saumon.",French,french_3stWordDeleted,6,16.22562,-20.53598
"Ah la, on a un fax de l'IJ.",French,french_3stWordDeleted,7,19.49981,-19.88351
Ah la.,French,french_3stWordDeleted,8,20.065947,-21.085716
"- D'accord, d'accord. Ah la...",French,french_3stWordDeleted,9,20.481756,-20.592072
- And your grandfathers?,English,english_text,0,20.582605,-20.20088
He sure had it coming.,English,english_text,1,20.206457,-19.616894
Bloody hell,English,english_text,2,20.240746,-21.653887
"Oh my God, who's winning so far?",English,english_text,3,20.392065,-20.244404
- Holy moly.,English,english_text,4,20.428293,-21.692127
Holy cow!,English,english_text,5,19.877554,-21.699745
It's the salmon guy!,English,english_text,6,16.277655,-20.322342
it's a fax from Forensics,English,english_text,7,19.512104,-19.337513
"- Attention! - Oh, boy.",English,english_text,8,20.722212,-21.029049
"All right, all right, all right.",English,english_text,9,19.468327,-20.746471
