idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
quelque chose qui cloche,0,- je ne suis pas sûr il y a quelque chose qui cloche,-i'm not sure but something doesn't add up,- I'm not sure if there is something that doesn't quite add up,Good Translation,0.78340644,0.7866676,-0.003261149
quelque chose qui cloche,1,il y a quelque chose qui cloche chez moi,is there something wrong with me,There's something that doesn't feel right about me.,Good Translation,0.78961945,0.7447523,0.044867158
quelque chose qui cloche,2,quand tu tombes amoureuse de quelqu'un tu trouves toujours quelque chose qui cloche,and then when you fall in love with somebody there is always something wrong with him,when you fall in love with someone you always find something that's off about them,Good Translation,0.7977136,0.8241918,-0.026478231
quelque chose qui cloche,3,et vite il sait qu'il y a quelque chose qui cloche,he knows something's going on in there,and quickly he knows that there is something wrong,Good Translation,0.7998494,0.9094926,-0.10964322
quelque chose qui cloche,4,il y a sérieusement quelque chose qui cloche chez moi,there's something seriously wrong with me,There's seriously something wrong with me,Unnatural,0.81790555,0.81749165,0.00041389465
quelque chose qui cloche,5,il y a quelque chose qui cloche mais on ne sait pas quoi,you know something is wrong you just can't get a handle on it all right sir,There is something that isn't quite right but we don't know what it is.,Good Translation,0.6705777,0.8135721,-0.1429944
quelque chose qui cloche,6,je pense qu'il ya quelque chose qui cloche,i think there's something wrong here,I think there is something that doesn't quite fit.,Good Translation,0.7682533,0.7180698,0.050183535
quelque chose qui cloche,7,tu te réveilles un matin et il y a quelque chose qui cloche,you wake up in the morning and something just isn't right,You wake up one morning and something's not right,Good Translation,0.83649117,0.85288674,-0.016395569
quelque chose qui cloche,8,si j'avais su si j'avais soupçonné à n'importe quel niveau qu'il y avait quelque chose qui clochait avec l'affaire de cooper j'aurais fais quelque chose moi-même il y a longtemps,if i had known if i had suspected on any level there was something wrong with the cooper case i would have done something by myself a long time ago,"If I had known, if I had suspected at any level that there was something amiss with the Cooper case I would have done something myself a long time ago.",Good Translation,0.93374175,0.90814495,0.025596797
quelque chose qui cloche,9,si ces gars refusent c'est qu'il doit y avoir quelque chose qui cloche ici,so if these guys are refusing there must be something wrong here,"if those guys refuse it, there must be something wrong with this place",Partial Translation,0.89850014,0.86840785,0.030092299
quelque chose qui cloche,10,je savais qu'il y avait quelque chose qui clochait avec cette femme,i knew there was something wrong with that woman,I knew that there was something that didn't add up with this woman,Good Translation,0.94777584,0.9341375,0.013638318
quelque chose qui cloche,11,il y a quelque chose qui cloche là-haut,there's something wrong upstairs,there's something that doesn't quite add up there,Good Translation,0.83006835,0.7101092,0.119959176
quelque chose qui cloche,12,on dirait qu'il y a quelque chose qui cloche avec le serveur,looks like there's something wrong with the server,It would seem that something is amiss with the server.,Good Translation,0.9199157,0.9243986,-0.004482925
quelque chose qui cloche,13,je savais qu'il y avait quelque chose qui clochait avec cette fille,i knew there was something wrong with that girl,I knew that something was off with this girl.,Good Translation,0.9495423,0.93833655,0.011205733
quelque chose qui cloche,14,- il y a quelque chose qui cloche,- i don't know this just doesn't feel right,- there's something that doesn't quite add up,Good Translation,0.63546705,0.74992484,-0.114457786
quelque chose qui cloche,15,il y a quelque chose qui cloche dans cet avion,listen there's something wrong with this airplane,There's something not right about this plane.,Good Translation,0.8637731,0.83191687,0.03185624
quelque chose qui cloche,16,il y a quelque chose qui cloche à propos de ce gars,there is just something off about that guy,There's something not quite right about that guy.,Good Translation,0.90172637,0.8858089,0.01591748
quelque chose qui cloche,17,ils pensent que je m'en sers comme excuse comme si j'essayais d'expliquer mon comportement comme s'il y avait quelque chose qui clochait chez moi,they think i'm using that as an excuse like i'm trying to explain away my behavior like there's something wrong with me,"They think I'm using it as an excuse, like if I were trying to justify my behavior by implying that there was something wrong with me.",Good Translation,0.9253345,0.9101486,0.015185893
quelque chose qui cloche,18,donc vous pensez que si une fille m'aime bien y'a forcement quelque chose qui cloche chez elle,so you think that if a girl likes me there must be something wrong with her,So you think that if a girl likes me there must be something wrong with her.,Good Translation,0.84551686,0.83091974,0.014597118
quelque chose qui cloche,19,je savais qu'il y avait quelque chose qui clochait chez elle,i knew something was wrong with her,I knew that there was something wrong with her,Good Translation,0.8784512,0.8817652,-0.0033139586
quelque chose qui cloche,20,y a quelque chose qui cloche avec owlman,i wanna know what he's hiding,There is something wrong with Owlman.,Partial Translation,0.5582174,0.89749014,-0.33927274
quelque chose qui cloche,21,il y a quelque chose qui cloche chez moi linus,i think there must be something wrong with me linus,There's something that doesn't feel right about me being Linus.,Unnatural,0.827152,0.66261065,0.16454136
quelque chose qui cloche,22,ai-je quelque chose qui cloche,is there something wrong with me,Do I have something wrong?,Good Translation,0.7947643,0.77565366,0.01911062
quelque chose qui cloche,23,tu sais depuis le premier jour que tu es là je savais qu'il y avait quelque chose qui clochait chez toi,you know from the first day you started here i knew there was something off about you,"You knew from the very first day that you were here, I already knew that there was something wrong with you.",Good Translation,0.86684066,0.87419975,-0.0073590875
quelque chose qui cloche,24,- il y a quelque chose qui cloche chez lui,- there's something wrong with that kid,-there's something off about him,Good Translation,0.7567737,0.82913065,-0.07235694
quelque chose qui cloche,25,- quelque chose qui cloche,- is there any trouble sir,- something that's not quite right,Good Translation,0.6437956,0.78326213,-0.13946652
quelque chose qui cloche,26,j'ai déjà été enfermé avant mais il y a quelque chose qui cloche dans cet endroit,i've been locked up before but there is something wrong about this place,I've been locked in before but there's something off about this place.,Good Translation,0.89343095,0.9068029,-0.013371944
quelque chose qui cloche,27,je sais pas mais il y a quelque chose qui cloche entre vous,i don't know i think there's a problem with you and rachel,I don't know but there's something that doesn't feel right between you two.,Good Translation,0.73009455,0.86233556,-0.13224101
quelque chose qui cloche,28,demain vous allez rigoler du fait que vous pensiez qu'il y avait quelque chose qui clochait,by this time tomorrow you'll be laughing at the fact you thought there was anything wrong in the first place,tomorrow you will be laughing at the fact that you thought there was something wrong with it,Good Translation,0.8487164,0.8917537,-0.043037295
quelque chose qui cloche,29,mais peu importe à quel point vous essayez d'être parfait il y a toujours quelque chose qui cloche,but no matter how you might plan for perfection there's always a hitch,but no matter how hard you try to be perfect there is always something that doesn't quite fit,Good Translation,0.8337638,0.895226,-0.061462224
quelque chose qui cloche,30,on a tous quelque chose qui cloche,something's wrong with all of us george,We all have something that doesn't quite add up.,Good Translation,0.72643805,0.7812532,-0.054815173
quelque chose qui cloche,31,et s'il y a quelque chose qui cloche ils créent une dissonance,and if something doesn't fit together it will form a dissonance,and if there is something that goes wrong they create a dissonance,Good Translation,0.8473737,0.9341415,-0.08676779
quelque chose qui cloche,32,il y a quelque chose qui cloche dans le plan de tsugé,this city is too small to have a real war,There is something off about Tsuge's plan.,Good Translation,0.4203172,0.8760436,-0.45572641
quelque chose qui cloche,33,y a quelque chose qui cloche,something's not right,There's something that doesn't add up.,Good Translation,0.83128285,0.7435526,0.08773023
quelque chose qui cloche,34,quelque chose qui cloche,somethin' just not right,Something's off.,Good Translation,0.715556,0.8108269,-0.09527087
quelque chose qui cloche,35,il y a quelque chose qui cloche dans cette pièce,something's wrong with this room,There's something off about this room.,Good Translation,0.8380498,0.836107,0.0019428134
quelque chose qui cloche,36,et s'ils me trouve quelque chose qui cloche,and if they find something wrong with me,and if they find something that's off about me,Good Translation,0.8436221,0.851889,-0.008266926
quelque chose qui cloche,37,vérifiez les comptes il y a quelque chose qui cloche,check the records sparacino because something doesn't add up,Check the accounts there's something not quite right.,Good Translation,0.68915087,0.88710964,-0.19795877
quelque chose qui cloche,38,il y a visiblement quelque chose qui cloche ici,there's something seriously wrong with this picture,there is clearly something that is not quite right here,Good Translation,0.74547035,0.8489057,-0.10343534
quelque chose qui cloche,39,il y a quelque chose qui cloche ici,i'll tell you grizelda there is something wrong here,There's something off here.,Good Translation,0.73325175,0.85315186,-0.11990011
quelque chose qui cloche,40,alors tu penses qu'il pourrait vraiment quelque chose qui cloche chez lui,so you think there might be something really wrong with him,so you think that there might actually be something wrong with him,Unnatural,0.83807,0.84560764,-0.007537663
quelque chose qui cloche,41,il y a quelque chose qui cloche patron,there's something hinky here boss,there's something that doesn't add up boss,Good Translation,0.751203,0.697508,0.053695023
quelque chose qui cloche,42,il y a quelque chose qui cloche avec barry quelque chose de malveillant,there's something wrong with barry- something evil,"there's something wrong with Barry, something evil.",Good Translation,0.89363635,0.8369633,0.05667305
quelque chose qui cloche,43,j'ai essayé de t'appeler mais je crois qu'il y a quelque chose qui cloche avec ton téléphone,i tried to call june but i think there's something wrong with your phone,I tried to call you but I think there's something wrong with your phone.,Good Translation,0.84045815,0.9231308,-0.082672656
quelque chose qui cloche,44,quelque chose qui cloche,something wrong,something that doesn't quite add up,Good Translation,0.7979187,0.67196405,0.12595463
quelque chose qui cloche,45,voyez-vous il y a quelque chose qui cloche avec le permis de conduire,you see something was wrong with the driver's license,Do you see something wrong with the driving license?,Good Translation,0.8684642,0.83241606,0.036048114
quelque chose qui cloche,46,armistead maupin ecrivain dans notre quotidien quand on est homo et qu'on n'en voit jamais le reflet dans les films on se dit qu'il y a quelque chose qui cloche,when you're gay and don't see that reflected in any way ever in the movies you began to feel that something truly is wrong,"Armistead Maupin is an author in our daily lives when you're gay and you never see yourself reflected in the movies, so you think there's something that doesn't add up.",Good Translation,0.64635235,0.8041078,-0.15775543
quelque chose qui cloche,47,et dire ça implique qu'il y a quelque chose qui cloche avec moi étant gay,and saying that just implies that there's something wrong with my being gay,and saying that implies there's something wrong with me being gay,Good Translation,0.89301217,0.92661,-0.033597827
quelque chose qui cloche,48,y'a quelque chose qui cloche,is something the matter,There's something that doesn't quite add up.,Good Translation,0.6953088,0.72109455,-0.025785744
quelque chose qui cloche,49,euh je crois qu'il y a quelque chose qui cloche avec ce bol,um i think there's something wrong with this bowl,um I think there's something wrong with this bowl,Good Translation,0.83759534,0.8343654,0.003229916
quelque chose qui cloche,50,il y a quelque chose qui cloche reese,something's not rightreese,There's something off about Reese,Good Translation,0.75277734,0.8071213,-0.05434394
