idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire gaffe,0,fais gaffe lindsey surveille-les bien,watch them lindsey keep an eye on 'em,Watch out Lindsey is keeping an eye on them.,Good Translation,0.84167206,0.8323685,0.00930357
faire gaffe,1,fais gaffe oû tu mets les pieds j'ai tout astiqué,watch where you're walking i just mopped here,Watch out where you put your feet I've cleaned it all up.,Good Translation,0.6187937,0.70581055,-0.08701682
faire gaffe,2,fais gaffe l'oiseau,whoa bird watch out for the,Watch out for the bird.,Good Translation,0.56251323,0.69093543,-0.1284222
faire gaffe,3,va faire ton boulot mec fais gaffe,go to work man,Go do your job mate be careful,Good Translation,0.7585727,0.75239503,0.006177664
faire gaffe,4,hey fais gaffe,hello just watch it,"Hey, be careful! or Hey, watch out!",Good Translation,0.6263318,0.61198163,0.014350176
faire gaffe,5,mais fais gaffe la madrague c'est chaud,but mind yourself it's tough at the madrague,but watch out for the quayside it's hot,Partial Translation,0.7408879,0.67844284,0.062445045
faire gaffe,6,- fais gaffe à ses combines,beware of his tricks,- Watch out for her tricks,Unnatural,0.6432737,0.6258438,0.017429888
faire gaffe,7,fais gaffe petit,watch it kid,be careful,Good Translation,0.62074316,0.6657232,-0.04498005
faire gaffe,8,- mais fais gaffe,but watch your step,- but be careful,Good Translation,0.6331412,0.716012,-0.08287078
faire gaffe,9,faites gaffe merde,fucking watch it,"Watch out, crap / Look out, don't mess around",Good Translation,0.62811303,0.54940045,0.07871258
faire gaffe,10,fais gaffe au bunker,- watch out for the bunker,watch out for the bunker,Good Translation,0.71342456,0.73746324,-0.024038672
faire gaffe,11,fais gaffe snake,snake this ain't gonna work man,"Be careful, snake.",Literal Translation,0.6685524,0.6938466,-0.025294185
faire gaffe,12,fais gaffe on a besoin de toi en très bonne forme demain tu te rappelles,you be careful we need you on top form tomorrow,be careful we really need you in top form tomorrow do you remember,Good Translation,0.82735497,0.84152466,-0.014169693
faire gaffe,13,fais gaffe à ce que tu dis,hold it man watch your mouth,be careful of what you say,Good Translation,0.63261986,0.7205411,-0.08792126
faire gaffe,14,fais gaffe tu peux tout perdre en une nuit,if you're not careful you could lose it all in one night- in one bad night,"Be careful, you can lose everything in one night.",Good Translation,0.8518957,0.8741004,-0.022204697
faire gaffe,15,faites gaffe capitaine,you better watch it captain,"Watch out, Captain.",Good Translation,0.71722853,0.732179,-0.014950454
faire gaffe,16,fais gaffe à tes fesses frank,watch your ass frank,watch your back,Unnatural,0.7846814,0.53452045,0.25016093
faire gaffe,17,fais gaffe quelqu'un pourrait te voir idiot,watch out someone will see you idiot,"Be careful, someone might think you're stupid.",Good Translation,0.82544875,0.84301853,-0.01756978
faire gaffe,18,et fais gaffe à pas recevoir une médaille rouge,don't go getting one of them little red badges pinned on you,and watch out not to receive a red medal,Good Translation,0.7388658,0.8743313,-0.1354655
faire gaffe,19,fais gaffe avec ça,be careful with that thing,Watch out with that.,Good Translation,0.73878086,0.71535444,0.023426414
faire gaffe,20,jrai pas fait gaffe mais il a une queue superbe,oh i didn't notice but his cock was beautiful,I wouldn't have noticed but he has a magnificent tail.,Mistranslation,0.630389,0.6766252,-0.046236217
faire gaffe,21,fais gaffe où je m'arrangerai pour que tu te noies,watch out i'll make sure you drown out there,Watch out I'll make sure you drown,Partial Translation,0.7121356,0.7018652,0.010270417
faire gaffe,22,faut faire gaffe avec envoyer à tous,you gotta be careful with that,we must be careful about sending to all,Partial Translation,0.5454354,0.7850882,-0.23965275
faire gaffe,23,je devrais t'être reconnaissante d'avoir baisé sans faire gaffe,i should be grateful to you because you had careless sex,I should be grateful to you for not thinking about it.,Literal Translation,0.7777453,0.755139,0.022606313
faire gaffe,24,pas vrai fais gaffe,hey,Not true watch out,Partial Translation,0.516813,0.71967983,-0.20286685
faire gaffe,25,alors il a dit que je devais faire gaffe à ce que je disais contre ses parents,and he told me to watch what i said about his parents,so he said I should be careful about what I was saying against his parents,Good Translation,0.7969154,0.8421457,-0.04523027
faire gaffe,26,fais gaffe avec elle,you just watch her,Be careful with her.,Good Translation,0.6826874,0.7253225,-0.042635083
