idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tourner à le vinaigre,0,ça pourrait tourner au vinaigre en cas de bombardement,if they start bombing the place there's no telling what will happen,that could turn sour in case of bombing,Good Translation,0.5803627,0.7550931,-0.17473042
tourner à le vinaigre,1,qu'arrivera t'il quand la relation tournera au vinaigre ce qui voyons les choses en face arrive à la majorité des relations de lorelai,what will happen when the relationship goes sour as let's face it most of lorelai's relationships do,what will happen when the relationship turns sour which is what we see with most relationships in Lorelai's life,Good Translation,0.84323186,0.7464708,0.09676105
tourner à le vinaigre,2,quand ça tourne au vinaigre la première réaction est de nier,they say when something bad happens to you the first reaction is denial,"When things start to go sour, the first reaction is to deny",Good Translation,0.5876229,0.6695025,-0.081879616
tourner à le vinaigre,3,on avait une petite affaire qui a tourné au vinaigre,i told you we ran a business together it turned to shit,we had a little business that turned sour,Good Translation,0.6482933,0.7987089,-0.1504156
tourner à le vinaigre,4,ça tourne au vinaigre,things aren't going well,Things are going sour.,Good Translation,0.6377021,0.6600582,-0.022356093
tourner à le vinaigre,5,peu importe si ça tournait au vinaigre nous étions là l'un pour l'autre,i mean no matter how bad it's gotten we've been there for each other,whether it turned out sour or not we were there for each other,Good Translation,0.78064466,0.81144905,-0.030804396
tourner à le vinaigre,6,cette affaire tourne au vinaigre,hey this whole thing's gone sour,This case has turned sour.,Good Translation,0.6707252,0.79675806,-0.12603283
tourner à le vinaigre,7,dis-toi que tu étais à tournez manèges et que ça a tourné au vinaigre,just look at it like an episode of the dating game that went a little bit you know awry or something like that,Tell yourself that you were running the merry-go-rounds and it turned out sour.,Good Translation,0.5369546,0.6972324,-0.16027784
tourner à le vinaigre,8,- ça tourne au vinaigre,she's got vinegar tits,it's turning sour,Good Translation,0.6555947,0.70578915,-0.050194442
tourner à le vinaigre,9,je suis content d'être parti quand je l'ai fait ça tourne au vinaigre,i'm glad i got out of there when i did,I'm glad I left when I did because that's starting to turn sour.,Good Translation,0.77577853,0.7847717,-0.008993149
tourner à le vinaigre,10,une de vos missions tourne au vinaigre,one of your deals may be going bad,one of your missions has turned sour,Good Translation,0.5819204,0.7968823,-0.21496189
tourner à le vinaigre,11,si ça tourne au vinaigre c'est vous qui prenez,if anything goes wrong you'll take the blame,"If it turns sour, you're the one who takes it.",Good Translation,0.68179274,0.80367875,-0.121886015
tourner à le vinaigre,12,son mariage vient de tourner au vinaigre,her marriage just fell apart,His marriage has just turned sour.,Good Translation,0.67085147,0.7754634,-0.10461193
tourner à le vinaigre,13,ça tourne au vinaigre non,oh my this is taking a nasty turn isn't it,"It's turning sour, isn't it?",Good Translation,0.63833034,0.5968752,0.04145515
tourner à le vinaigre,14,et ça a tourné au vinaigre,things got a little ugly,and it all turned sour,Good Translation,0.66020125,0.7279557,-0.06775445
tourner à le vinaigre,15,si ça tourne au vinaigre je n'aurai pas le choix,this gets messy and i'm not going to have any choice do you understand,if things take a turn for the worse I won't have any other option,Good Translation,0.78154147,0.7923453,-0.010803819
tourner à le vinaigre,16,ça tourne au vinaigre sinon,bad things happen when we get into a pack,It's turning sour otherwise.,Good Translation,0.41787446,0.6377733,-0.21989882
tourner à le vinaigre,17,voilá que ça tourne au vinaigre,oh god this could be very ugly,It all turned sour suddenly.,Good Translation,0.5207469,0.5519988,-0.031251907
tourner à le vinaigre,18,des femmes tombent enceintes quand l'idylle tourne au vinaigre alors tu veux faire pareil en adoptant,you think that since women get pregnant to fix a troubled relationship why can't a guy adopt a kid to do the same,women fall pregnant when the idyll turns sour then you want to do the same by adopting,Good Translation,0.6144829,0.8646358,-0.25015295
tourner à le vinaigre,19,ça tourne au vinaigre,oh this is getting heavy,Things are taking a turn for the worse.,Good Translation,0.64268106,0.60541177,0.037269294
tourner à le vinaigre,20,et que ça tourne au vinaigre,and watch it turn to vinegar,and it turns to vinegar,Good Translation,0.8158797,0.85968316,-0.043803453
tourner à le vinaigre,21,ça va tourner au vinaigre,things are about to get ugly over here,That will turn sour or That will go off the rails,Good Translation,0.64708483,0.6348963,0.012188554
tourner à le vinaigre,22,les choses vont tourner au vinaigre,everything's about to turn to crap,Things will start to go sour.,Good Translation,0.68021333,0.72811097,-0.047897637
tourner à le vinaigre,23,il est venu ici et ça a tourné au vinaigre,he came here and everything went to shit,He came here and it turned sour.,Good Translation,0.7543052,0.8193103,-0.06500512
tourner à le vinaigre,24,puis ça tourna au vinaigre,then something went wrong,then it turned sour,Good Translation,0.6541492,0.7186938,-0.06454462
tourner à le vinaigre,25,et si ça tourne au vinaigre t'interviens,if anything goes wrong you step in,and if things go sour then you're getting involved,Good Translation,0.6465763,0.7445303,-0.097954035
tourner à le vinaigre,26,l'eau devient amère avec le poison le vin tourne au vinaigre,water grows bitter with poison wine turns into vinegar,Water becomes bitter with poison wine turns to vinegar,Good Translation,0.88744104,0.8944834,-0.0070423484
tourner à le vinaigre,27,- leur mariage n'a pas tourné au vinaigre,it's not just a case of a marriage gone sour,their marriage didn't end in vinegar (or sourness),Literal Translation,0.69075084,0.8579439,-0.16719306
