idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
ce ne être pas son oignon,0,donc ce n'est pas tes oignons ok,that mean it's none of your business right,so it's not your business okay,Good Translation,0.66379666,0.7636226,-0.09982592
ce ne être pas son oignon,1,ce ne sont pas mes oignons bien sûr mais maintenant que victor en a un,it's not my business of course but now that victor has one--,That's not my business anyway but now that Victor has one too.,Unnatural,0.8481355,0.8289734,0.019162059
ce ne être pas son oignon,2,- ce n'est pas mes oignons,- none of my business,- it's none of my business,Good Translation,0.6910696,0.70362103,-0.012551427
ce ne être pas son oignon,3,en plus ce n'est pas nos oignons,plus this is really none of our business,besides it's not our business,Good Translation,0.7348696,0.75700384,-0.022134244
ce ne être pas son oignon,4,- ce n'est pas tes oignons,- nothing don't look at it,-it's not your business,Good Translation,0.5624619,0.7421198,-0.17965788
ce ne être pas son oignon,5,mais ce n'est pas vos oignons,but you don't have to think about that,but it's none of your business,Good Translation,0.55217814,0.72375643,-0.17157829
ce ne être pas son oignon,6,ce n'est pas mes oignons mais je peux vous appeler un docteur,hey uh look mister it ain't none of my business but we got a pretty good doctor down the street there - you want me to call him,It's not my business but I can call you a doctor.,Literal Translation,0.71983343,0.86120796,-0.14137453
ce ne être pas son oignon,7,- c'était une professionnelle - ce ne sont pas mes oignons,this girl was a professional,- That was a professional - that's none of my business.,Partial Translation,0.6745893,0.81127226,-0.13668299
ce ne être pas son oignon,8,mais qu'il sache s'en servir ce n'est pas mes oignons,but whether he knows how to make use of it is not my concern,but let him know how to use it isn't my business,Unnatural,0.7432301,0.79665434,-0.05342424
ce ne être pas son oignon,9,ce qu'il gagne ce ne sont pas tes oignons,what he earns is none of your business,it's none of your business what he earns,Good Translation,0.7386714,0.73082304,0.007848382
ce ne être pas son oignon,10,- ce ne sont pas mes oignons,well if you did it's none of my business,That's not my business.,Good Translation,0.57734895,0.69306654,-0.11571759
ce ne être pas son oignon,11,et ça non plus ce n'est pas tes oignons,and this isn't any of your business either,and it's not your business either,Unnatural,0.74651366,0.751168,-0.004654348
ce ne être pas son oignon,12,ce ne sont pas vos oignons,that's none of your business,That's none of your business.,Good Translation,0.67505944,0.6311498,0.04390961
ce ne être pas son oignon,13,ce ne sont pas mes oignons mais n'êtes-vous pas le meurtrier alors,i know it's none of my business but doesn't that mean you're the murderer,That's not my business but aren't you the murderer then?,Good Translation,0.74079704,0.78079265,-0.03999561
ce ne être pas son oignon,14,ce n'était pas mes oignons,it really wasn't my business,That was none of my business.,Good Translation,0.73199564,0.70574844,0.026247203
ce ne être pas son oignon,15,ce ne sont pas tes oignons mais je vais me remettre à écrire,and not that it's any of your business but i will get back to my writing,that's none of your business but I'm going to start writing again,Good Translation,0.8482115,0.82734066,0.020870864
ce ne être pas son oignon,16,je m'en fiche ce n'est pas mes oignons,the truth is that i don't really care,I don't care it's none of my business,Good Translation,0.63801897,0.711154,-0.07313502
ce ne être pas son oignon,17,de toute façon ce ne sont pas tes oignons,whatever happened between us is our business not yours,It's none of your business anyway.,Good Translation,0.5826956,0.67244416,-0.08974856
ce ne être pas son oignon,18,mais ce ne sont pas vos oignons,it's none of your business,but that's none of your business,Good Translation,0.63664544,0.7251165,-0.088471055
ce ne être pas son oignon,19,ce ne sont pas ses oignons,he doesn't have to tell her,it's none of his business,Good Translation,0.46363112,0.64024705,-0.17661592
ce ne être pas son oignon,20,ce n'est pas vos oignons,it's none of your business,it's none of your business,Good Translation,0.6876193,0.68761945,-1.1920929e-07
ce ne être pas son oignon,21,ce ne sont pas mes oignons mais,look you can tell me to mind my own business okay freddie,it's none of my business,Good Translation,0.5012392,0.6217636,-0.12052441
ce ne être pas son oignon,22,ce n'est pas tes oignons,it's none of your business,that's none of your business,Good Translation,0.65662515,0.6832825,-0.026657343
ce ne être pas son oignon,23,parce que ce ne sont pas tes oignons kate,that's because it's none of your business kate,because they are not your onions Kate,Literal Translation,0.7965063,0.88806486,-0.091558576
ce ne être pas son oignon,24,jane ce n'est pas mes oignons,oh jane it's none of my beeswax so,It's none of my business.,Good Translation,0.74469453,0.57806003,0.1666345
ce ne être pas son oignon,25,parce que ce n'est pas tes oignons,because it's none of your business,because it's none of your business,Good Translation,0.7506639,0.750664,-1.1920929e-07
ce ne être pas son oignon,26,ne compte pas sur moi pour intervenir ce ne sont pas mes oignons,n-no no i will not intervene and you're just gonna have to live with it,Don't count on me to intervene that's not my business.,Good Translation,0.6277486,0.8080234,-0.18027478
ce ne être pas son oignon,27,richard ce n'est pas mes oignons mais sois prudent,richard it's none of my business but be safe,Richard that's not my department but be careful.,Good Translation,0.7619982,0.8019944,-0.039996207
ce ne être pas son oignon,28,- ce ne sont pas vos oignons,none of your damn business,- that's none of your business,Good Translation,0.61210907,0.71787655,-0.10576749
ce ne être pas son oignon,29,- ce ne sont pas tes oignons,- that is none of your business,that's none of your business,Good Translation,0.7200409,0.68570304,0.03433788
ce ne être pas son oignon,30,ce n'est pas mes oignons,none of my business,it's none of my business,Good Translation,0.6471708,0.67761093,-0.030440152
ce ne être pas son oignon,31,j'en conclus à ta réponse laconique que ce ne sont pas mes oignons,i take it by that limited response you don't think it's any of my business,I conclude from your concise answer that it's none of my business.,Good Translation,0.6862394,0.72509015,-0.038850725
ce ne être pas son oignon,32,ce n'est pas vos oignons monsieur,it's none of your concern sir,"That's not your business, sir.",Good Translation,0.6716813,0.7574276,-0.08574629
ce ne être pas son oignon,33,qui plus est sauf votre respect maurice ce ne sont pas vos oignons,and furthermore not meaning any disrespect maurice but it's none of your business,moreover respectfully to you Maurice that's none of your business,Unnatural,0.75708103,0.72589266,0.031188369
ce ne être pas son oignon,34,ce n'est pas mes oignons c'est ça,it's none of my business right,That's not my business it is so,Unnatural,0.64144117,0.72553504,-0.08409387
ce ne être pas son oignon,35,ce ne sont pas mes oignons mais abstenez-vous moi je l'ai fait,it's none of my business but don't do that i did,That's not my business but stay away from me I have done it,Unnatural,0.7110171,0.76048374,-0.04946667
ce ne être pas son oignon,36,ce ne sont pas mes oignons mais je sais que vous,it's none of my business but i know you're not,That's not my business but I know what you mean.,Good Translation,0.7547767,0.7591665,-0.004389763
ce ne être pas son oignon,37,ne vous mêlez pas de ça ce n'est pas vos oignons,don't worry about wrinkles on my ass and worry about yours,"Mind your own business, that's not your concern.",Literal Translation,0.5952399,0.6886235,-0.09338361
ce ne être pas son oignon,38,ce n'est pas nos oignons phyllis,it's nobody's business phyllis,it's not our business Phyllis,Good Translation,0.5927362,0.7400429,-0.14730674
ce ne être pas son oignon,39,ce n'est pas mes oignons je n'ai rien à faire ici,i shouldn't be here,that's not my business I have no reason to be here,Good Translation,0.69547033,0.75865006,-0.06317973
ce ne être pas son oignon,40,ce n'est pas ses oignons,that is none of her business,It's none of his business.,Good Translation,0.66311204,0.6076118,0.05550027
ce ne être pas son oignon,41,ce n'est pas nos oignons,maybe it ain't none of our business,That's not our business.,Good Translation,0.7028754,0.7257081,-0.022832751
ce ne être pas son oignon,42,même si ce ne sont pas mes oignons je vous demande ça en tant que père,listen this is none of my business but as a father of two little girls i have to ask what made you turn to porn,Even if it's not about me I'm asking you to do this as a father.,Partial Translation,0.6578829,0.8313813,-0.17349839
ce ne être pas son oignon,43,ecoutez peu importe les sentiments que vous avez eus du vivant de votre ami ce n'est pas mes oignons,sir whatever you gentlemen felt for each other when your friend was still alive is certainly none of my affair,Listen whatever feelings you had about your friend when he was alive that's not my business,Good Translation,0.755517,0.7981204,-0.042603374
ce ne être pas son oignon,44,ce ne sont pas vos oignons april,i don't think that's any of your business april,This isn't your concern,Good Translation,0.7842649,0.5897917,0.1944732
