idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
battre le fer tant que il être chaud,0,si j'étais pas là - prêt pour la phase 2 - battons le fer tant qu'il est chaud,if you want to be al capone go to chicago,"If I weren't here, ready for Phase 2 – strike while the iron is hot.",Literal Translation,0.39645654,0.86003315,-0.4635766
battre le fer tant que il être chaud,1,et tu le sais il faut battre le fer tant qu'il est chaud,and you know you have to strike while the iron is hot,and you know that it has to be beaten while it is hot.,Unnatural,0.84679854,0.82605207,0.02074647
battre le fer tant que il être chaud,2,ils veulent le capital sur la publicité produite par le post nous devons battre le fer tant qu'il est chaud,they want to capitalize on the publicity from the post so we have to strike while the iron's hot,They want to take the advertising revenue generated by us on the platform we must hammer it while it's hot.,Unnatural,0.8305078,0.8110345,0.019473314
battre le fer tant que il être chaud,3,battez le fer tant qu'il est chaud,you should strike while the iron's hot,beat while it is hot,Unnatural,0.74881196,0.7307062,0.018105745
battre le fer tant que il être chaud,4,battre le fer tant qu'il est chaud,strike while the iron's hot,beat iron while it is still hot,Good Translation,0.75203395,0.76393795,-0.011904001
battre le fer tant que il être chaud,5,battons le fer tant qu'il est chaud,we have to act quickly and seize this opportunity,Strike while the iron is hot.,Good Translation,0.54411244,0.81238973,-0.2682773
battre le fer tant que il être chaud,6,il faut battre le fer tant qu'il est chaud,you gotta strike while the iron is hot,It is necessary to beat iron while it is hot.,Good Translation,0.7983012,0.83087826,-0.032577038
battre le fer tant que il être chaud,7,je bats le fer tant qu'il est chaud,you know i just figured i got to strike while the iron's hot,I beat iron as long as it's hot.,Good Translation,0.7698811,0.8812216,-0.11134046
battre le fer tant que il être chaud,8,battre le fer tant qu'il est chaud,fire's hot,to beat iron while it is still hot,Good Translation,0.66493815,0.7894053,-0.124467134
battre le fer tant que il être chaud,9,- battons le fer tant qu'il est chaud,strike while the iron is hot,-beat iron while it's hot,Good Translation,0.76328295,0.8366274,-0.07334447
battre le fer tant que il être chaud,10,donc battez le fer tant qu'il est chaud,so strike while the iron's hot,so beat the iron while it is hot,Good Translation,0.78696865,0.8305082,-0.043539524
