idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
le doigt dans le nez,0,j'écris pas bises stephanie à quelqu'un qui a le doigt dans le nez tout le temps,i can't sign love stephanie to someone who has his finger in his nose all day,I don't write kisses Stephanie to someone who has their finger up their nose all the time,Good Translation,0.8113387,0.87612796,-0.064789236
le doigt dans le nez,1,pourquoi tu te mets autant les doigts dans le nez,why do you have to pick your nose so much,why do you put your fingers in your nose so much,Good Translation,0.75230217,0.8804296,-0.12812746
le doigt dans le nez,2,ils remonteront jusqu'à nous les doigts dans le nez,they will read this one with their eyes closed,They will stick their fingers up their noses until they reach us.,Literal Translation,0.5827149,0.8524735,-0.26975858
le doigt dans le nez,3,c'est les doigts dans le nez mec,that's fish in a barrel dude,it's fingers in the nose man,Literal Translation,0.5547312,0.83818674,-0.28345555
le doigt dans le nez,4,vous devriez voir comment will passe les exams les doigts dans le nez,yes sir you ought to see the way will breezes through these tests,you should see how Will passes the exams with his fingers in his nose,Literal Translation,0.73567283,0.8674678,-0.13179499
le doigt dans le nez,5,je n'avais pas le doigt dans le nez,- but there was no pick i did not pick there was no pick,I wasn't pulling your leg.,Mistranslation,0.58743393,0.6590866,-0.07165265
le doigt dans le nez,6,en gros ils se tiennent debout dans le hall avec les doigts dans le nez vous pigez,they're basically in charge of standing around the lobby with their dicks in their hands you know what i mean,"In general, they stand in the hall with their fingers up their noses, got it?",Literal Translation,0.6991222,0.8156376,-0.1165154
le doigt dans le nez,7,c'est gagné les doigts dans le nez,sure win,it's won with fingers up the nose,Good Translation,0.5528928,0.86778325,-0.31489044
le doigt dans le nez,8,- les doigts dans le nez,just a walk in the park,with my fingers in my nose,Literal Translation,0.46747962,0.82980514,-0.36232552
le doigt dans le nez,9,s'il est aussi gay qu'il le dit il réussira ce test les doigts dans le nez,certainly if he's as gay as he says he is then he'll pass any test with flying colors,if he is as gay as he says he will succeed in this test with his fingers in his nose,Literal Translation,0.81107193,0.9279196,-0.116847694
le doigt dans le nez,10,oui les doigts dans le nez,with both hands tied behind my back,yes with fingers in the nose,Literal Translation,0.5636857,0.878116,-0.3144303
le doigt dans le nez,11,et les doigts dans le nez,he doesn't even have to try,and fingers in the nose,Literal Translation,0.401665,0.89763546,-0.49597046
le doigt dans le nez,12,- c'est super on peut facilement en tirer 600 pesos les doigts dans le nez,we can easily charge him 600,- it's great we can easily make 600 pesos with our fingers in our nose,Literal Translation,0.7185434,0.9055685,-0.18702507
le doigt dans le nez,13,dans l'eau je gagnais les doigts dans le nez,things would be different,in the water I was picking my nose,Literal Translation,0.47098976,0.8295412,-0.35855144
le doigt dans le nez,14,je penserais que j'y suis arrivée les doigts dans le nez et je le regretterais,i'll think i aced it and i'll live to regret it,I would have thought I had made it on a whim and I would regret it.,Unnatural,0.74613106,0.764423,-0.01829195
le doigt dans le nez,15,j'ai vendu 50 boîtes les doigts dans le nez,without even trying i sold 50 boxes,I sold 50 boxes with my fingers up my nose,Good Translation,0.7529152,0.89233416,-0.13941896
le doigt dans le nez,16,les doigts dans le nez,like shooting fish in a barrel,with fingers in the nose,Literal Translation,0.48735836,0.87302613,-0.38566777
le doigt dans le nez,17,- ouais les doigts dans le nez,- yeah piece of cake,- yeah fingers in the nose,Literal Translation,0.5425216,0.8816738,-0.33915222
le doigt dans le nez,18,je rêve parfois que je t'agraffe les doigts dans le nez,i have dreams where i staple your fingers to your face,I sometimes dream of sewing your fingers to your nose.,Literal Translation,0.8111425,0.86557144,-0.054428935
le doigt dans le nez,19,on a accompli la mission les doigts dans le nez,well it was an easy mission,we accomplished the mission with our fingers in our noses,Literal Translation,0.6656004,0.8837651,-0.21816468
le doigt dans le nez,20,malgré douze ans d'études il ignorait qu'on ne met pas les doigts dans le nez,the man had spent 12 years studying but hadn't learned to leave his nose alone,"Despite twelve years of studies, he ignored that you shouldn't put your fingers in your nose.",Good Translation,0.80364513,0.8782539,-0.07460874
le doigt dans le nez,21,- et me mettre les doigts dans le nez,can i pick my nose,- and put my fingers in my nose,Good Translation,0.6689987,0.8841181,-0.21511936
le doigt dans le nez,22,les doigts dans le nez,that was easy,with fingers in the nose,Literal Translation,0.4684981,0.87302613,-0.40452802
le doigt dans le nez,23,tu as les doigts dans le nez,you got your finger in your mouth there little one,you have your fingers up your nose,Good Translation,0.742729,0.88660914,-0.14388013
le doigt dans le nez,24,je t'aurais battu les doigts dans le nez,i totally would have aced you,I would have tickled your fingers in your nose,Literal Translation,0.67297196,0.8373145,-0.16434252
le doigt dans le nez,25,je bats n'importe quel géant les doigts dans le nez,i can handle any giant,I bat any giant's fingers in the nose,Literal Translation,0.7001525,0.89785653,-0.19770402
le doigt dans le nez,26,- les doigts dans le nez,yeah it was a cinch,- with fingers in the nose,Literal Translation,0.4713183,0.8911373,-0.419819
le doigt dans le nez,27,t'as encore le doigt dans le nez,you still have the finger in the nose,you still have your finger up your nose,Unnatural,0.82270014,0.8202716,0.0024285316
le doigt dans le nez,28,dormez à poings fermés et les doigts dans le nez,good night sleep tight don't let the bedbugs bite,sleep with your fists closed and fingers up the nose,Literal Translation,0.6355655,0.88053155,-0.24496603
le doigt dans le nez,29,on va gagner les doigts dans le nez,we're gonna win this in a walk,we're going to win with flying colors,Unnatural,0.65088904,0.6389898,0.011899233
le doigt dans le nez,30,- ok les doigts dans le nez,- all right too easy,- okay fingers in the nose,Literal Translation,0.5403781,0.89610124,-0.35572314
le doigt dans le nez,31,tu roules en mercedes alors que moi j'ai le doigt dans le nez,you ride a mercedes while i pick my nose,you're driving a Mercedes while I've got my finger up my nose,Good Translation,0.84153116,0.87192523,-0.030394077
le doigt dans le nez,32,on se mettrait les doigts dans le nez pour moins que ça,you telling me you're not gonna have occasion to clean house a little,we would put our fingers in our noses for less than that,Literal Translation,0.52182406,0.8513248,-0.32950073
le doigt dans le nez,33,arrivé les doigts dans le nez,do you have the results,arrived with fingers in nose,Literal Translation,0.49478638,0.8416269,-0.3468405
le doigt dans le nez,34,les doigts dans le nez,a little walk in the park here,with fingers in the nose,Literal Translation,0.4813484,0.87302613,-0.39167774
le doigt dans le nez,35,et ne te mets pas le doigt dans le nez,and don't pick your nose,and don't put your finger in your nose,Good Translation,0.7837273,0.8547761,-0.071048796
le doigt dans le nez,36,arrêtez de vous mettre les doigts dans le nez,stop picking your nose,stop putting your fingers in your nose,Good Translation,0.79525125,0.9101861,-0.11493486
le doigt dans le nez,37,les doigts dans le nez ok,bob's your uncle okay,with my fingers in my nose okay,Literal Translation,0.50438064,0.8445692,-0.34018856
le doigt dans le nez,38,il a été admis à l'université de séoul les doigts dans le nez,he got into seoul national university with flying colors,He got into Seoul University with his fingers in his nose,Literal Translation,0.7664333,0.8950942,-0.12866092
le doigt dans le nez,39,j'ai vu un enfant se mettre les doigts dans le nez,i saw some kid picking his nose outside,I saw a child put their fingers in their nose.,Good Translation,0.8085666,0.90669525,-0.09812868
le doigt dans le nez,40,mais après celle-ci ça va être les doigts dans le nez non,but i mean after this last one it's gotta be a cakewalk right,"but after this, it's going to be hands in the air non",Mistranslation,0.6324643,0.80713755,-0.17467326
le doigt dans le nez,41,et voilà le travail les doigts dans le nez,yeah baby that's what i'm talking about,and there you have it with fingers in the nose,Literal Translation,0.51628286,0.81843996,-0.3021571
le doigt dans le nez,42,à demain hulk pourrait battre la chose les doigts dans le nez,see ya tomorrow,Tomorrow Hulk could beat the thing fingers in nose,Literal Translation,0.5359185,0.88466597,-0.3487475
le doigt dans le nez,43,je voudrais conclure en me mettant le doigt dans le nez,and i'd like to conclude by putting my finger up my nose,I would like to conclude by putting my finger in my nose,Good Translation,0.90795434,0.9048595,0.003094852
le doigt dans le nez,44,et voilà le vilain bobby avec le doigt dans le nez comme d'habitude,there's that nasty kid bobby with his finger in his nose as always,and there's the nasty Bobby with his finger up his nose as usual,Good Translation,0.88952327,0.8905954,-0.0010721087
le doigt dans le nez,45,et voilà pourquoi jimmy a passé l'inspection les doigts dans le nez,and that's why jimmy's passed inspection with flying colors,and that's why Jimmy passed the inspection with his fingers in his nose,Literal Translation,0.7398512,0.8646902,-0.12483901
le doigt dans le nez,46,mets pas le doigt dans le nez,get your finger out of your nose,don't put your finger in your nose,Literal Translation,0.76955026,0.86827314,-0.098722875
le doigt dans le nez,47,et le doigt dans le nez,is he picking your nose,and up the nose with it,Literal Translation,0.6313443,0.74345756,-0.11211324
le doigt dans le nez,48,on va faire ça les doigts dans le nez,relax fellas this is gonna be a piece of cake,we're going to do that with our fingers up our noses,Literal Translation,0.57868373,0.85234386,-0.27366012
le doigt dans le nez,49,tu crois que j'aurais craqué pour un gars avec le doigt dans le nez,you'd think i would've gone for this guy with the sexy finger up his nose,you think I'd fall for a guy with his finger up his nose,Good Translation,0.79386336,0.8565431,-0.06267977
le doigt dans le nez,50,je te bats les doigts dans le nez si c'est que tu veux d'accord,i could beat you hands down but if that's what you want you can have it,I am going to bat your fingers in the nose if that's what you want of agreement.,Literal Translation,0.6849381,0.85250604,-0.16756797
le doigt dans le nez,51,mets-moi le doigt dans le nez,put your finger in my nose,put your finger in my nose,Good Translation,0.8625497,0.8625497,0.0
le doigt dans le nez,52,les autres lisaient déjà les doigts dans le nez,the others were already reading,the others were already picking their noses,Good Translation,0.7909084,0.87897825,-0.088069856
