idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se serrer le ceinture,0,j'ai juste pris l'habitude de me serrer la ceinture,i've just gotten used to packing light,I've just gotten into the habit of tightening my belt.,Good Translation,0.7280384,0.84414417,-0.116105795
se serrer le ceinture,1,on peut se serrer la ceinture,we can tighten it up,We can tighten our belts,Good Translation,0.76753414,0.76232415,0.0052099824
se serrer le ceinture,2,il faut se serrer la ceinture,we have to tighten our belts,you have to tighten your belt,Partial Translation,0.8257032,0.8069751,0.018728077
se serrer le ceinture,3,les temps sont durs on doit tous se serrer la ceinture,times are tough and we're all having to clamp down,times are hard we all need to tighten our belts,Good Translation,0.88132864,0.9139637,-0.032635033
se serrer le ceinture,4,avec la crise le directeur financier veut qu'on se serre la ceinture,our cfo feels we need to do some belt-tightening,With the crisis the financial director wants everyone to tighten their belts.,Good Translation,0.6539418,0.8582343,-0.20429248
se serrer le ceinture,5,il va falloir se serrer la ceinture,we have to tighten our belts,It's going to have to tighten one's belt,Unnatural,0.70854074,0.74692965,-0.038388908
se serrer le ceinture,6,on se serre la ceinture,we're just on a budget,We are getting married.,Hallucination,0.39419788,0.4639821,-0.069784224
se serrer le ceinture,7,- je dois déjà me serrer la ceinture,- i live on a shoestring as it is,- I already need to tighten my belt,Good Translation,0.60182977,0.8087845,-0.20695472
se serrer le ceinture,8,même si son prix est avantageux on va devoir se serrer la ceinture,even with the buy we're getting we're gonna have to tighten our belts,Even if the price is advantageous we will have to tighten our belts,Good Translation,0.7614944,0.88644123,-0.12494683
se serrer le ceinture,9,il faudrait se serrer la ceinture mais c'était notre avenir,we had to tighten our belts for the loan payments but it was our future,We would have had to tighten our belts but that was our future,Partial Translation,0.8214649,0.89652276,-0.075057864
se serrer le ceinture,10,je me serre la ceinture pour pouvoir te rembourser plus vite,and just so you know i'm making a lot of cutbacks so i can pay you back quicker,I'm tightening my belt so I can pay you back faster.,Good Translation,0.77976596,0.87805796,-0.09829199
se serrer le ceinture,11,tous les américains doivent se serrer la ceinture,every american must tighten belt,All Americans need to tighten their belts.,Good Translation,0.86225986,0.89343286,-0.03117299
se serrer le ceinture,12,on doit tous se serrer la ceinture chéri,we've all been asked to tighten our belts,We must all tighten our belts dear,Good Translation,0.8094751,0.85917413,-0.04969901
se serrer le ceinture,13,on doit depuis se serrer la ceinture car les transports sont horriblement chers,now we must pull in our horns a bit as the cost of transport here is terrific,we have had to tighten our belts because transport is horribly expensive.,Good Translation,0.8256513,0.8964452,-0.07079393
se serrer le ceinture,14,on se serrait la ceinture,we were both struggling,We tightened our belts.,Literal Translation,0.47500354,0.61775357,-0.14275002
se serrer le ceinture,15,d'un côté on ne s'en sort pas très bien alors on va se serrer la ceinture toute cette semaine,the bad news is we're not doing very well so we really had to starve ourselves this whole week,On one side we're not doing too well so we'll have to tighten our belts for the whole week.,Good Translation,0.738389,0.8679694,-0.12958038
se serrer le ceinture,16,- on se serrera la ceinture,- so we'll tighten our belts,- we will buckle up,Literal Translation,0.5432229,0.52334875,0.019874156
se serrer le ceinture,17,je sais qu'on se serre la ceinture,i know that money's really tight,I know that people are tightening their belts.,Good Translation,0.6691497,0.72283894,-0.05368924
se serrer le ceinture,18,mais il va falloir qu'on se serre la ceinture,but we've gotta tighten belts,but we will have to tighten our belts,Good Translation,0.8355917,0.854398,-0.018806338
se serrer le ceinture,19,je n'ai plus d'argent de poche et je ne veux pas me serrer la ceinture,needless to say my allowance has been impacted i don't want to tighten my belt,I no longer have pocket money and I don't want to tighten my belt.,Good Translation,0.74663305,0.8671738,-0.12054074
se serrer le ceinture,20,on se serrera la ceinture pendant quelques mois et nous reviendrions à la normale,we tighten up the belt for a few months we'll be back to normal,We'll tighten our belt for a few months and we'll get back to normal.,Good Translation,0.8278911,0.8290246,-0.0011335015
se serrer le ceinture,21,donc quand j'avais 7 ans j'ai décidé tu sais qu'il était temps de me serrer la ceinture,so when i was seven i decided you know it was time to tighten it up,so when I was seven I decided you know it was time to tighten my belt,Good Translation,0.89378,0.89728254,-0.0035025477
se serrer le ceinture,22,on n'a qu'à se serrer la ceinture,we'll have to tighten our belts,one just has to pull one's belt in tight,Good Translation,0.6794296,0.7988734,-0.119443834
se serrer le ceinture,23,si adam peut se serrer la ceinture moi aussi,if adam can tighten his belt i can tighten mine,if Adam can tighten his belt so can I,Good Translation,0.86101127,0.84426105,0.016750216
se serrer le ceinture,24,avec la crise tout le monde se serre la ceinture,yeah looks like everybody's tightening their belts in this economy,with the crisis everyone is tightening their belt,Good Translation,0.7815615,0.88241434,-0.10085285
se serrer le ceinture,25,je te l'ai dit on doit se serrer la ceinture,we don't want kids for a long time it's good to be young without kids we kill kids,I told you we have to tighten our belts,Good Translation,0.380404,0.8322822,-0.4518782
se serrer le ceinture,26,nous devons trouver un moyen de se serrer la ceinture par ici,we got to figure out a way to tighten our belts around here,we must find a way to tighten our belts here,Good Translation,0.884985,0.89408183,-0.009096801
se serrer le ceinture,27,on va devoir se serrer la ceinture,just for the moment,we'll have to tighten our belts,Good Translation,0.5453106,0.85069805,-0.30538744
se serrer le ceinture,28,je dois aussi me serrer la ceinture,i should be tightening my belt too,I also have to tighten my belt.,Good Translation,0.81129783,0.8082794,0.0030184388
se serrer le ceinture,29,on a dû se serrer la ceinture,we just had to do a little belt-tightening,We had to tighten our belts,Good Translation,0.7609471,0.8443314,-0.083384275
se serrer le ceinture,30,on doit tous se serrer la ceinture n'est-ce pas les propriétaires et les locataires,i mean i think some belt-tightening is in order for everybody you know landlords and-and tenants alike,"We all have to tighten our belts, isn't it, landlords and tenants?",Good Translation,0.7842345,0.84866047,-0.064425945
se serrer le ceinture,31,j'ai fait la liste des postes où on va pouvoir se serrer la ceinture,so i've made a list of places where we can tighten our belts,I've made a list of the positions where we'll be able to tighten our belts.,Good Translation,0.85076416,0.8809577,-0.030193567
se serrer le ceinture,32,on va se serrer la ceinture ou on ne va jamais faire de bénéfice,we have tighten up around here or we will never turn a profit,We will have to tighten our belts or we'll never make a profit.,Good Translation,0.7977411,0.84930474,-0.05156362
se serrer le ceinture,33,- il va peut-être falloir se serrer la ceinture,-might be time for a little belt-tightening,- it may be necessary to tighten one's belt,Good Translation,0.82438785,0.84803367,-0.023645818
se serrer le ceinture,34,certes on va se serrer la ceinture mais ça vaut le coup si on se sent enfin vivant non,i mean yes we'll have to cut back a little bit but isn't it worth it if you feel like you're living for the first time,Of course we'll tighten our belts but it's worth it if we feel alive again at last.,Good Translation,0.7649642,0.8747849,-0.109820664
se serrer le ceinture,35,va falloir se serrer la ceinture hein,at home you'll have to tighten your belts again huh,"Things are going to have to tighten up a notch now, aren't they.",Good Translation,0.7268579,0.7093893,0.017468572
se serrer le ceinture,36,on réduira les coûts on se serrera la ceinture,we'll tighten our belts it'll be okay,We will reduce costs and tighten our belts.,Good Translation,0.6632719,0.78841776,-0.12514585
se serrer le ceinture,37,tout le monde se serre la ceinture,everybody tightens their belt,Everyone is tightening their belts.,Good Translation,0.862455,0.8551574,0.007297635
se serrer le ceinture,38,on se serrera la ceinture,we'll pull in our belts and pull up our boots,We'll tighten our belts.,Good Translation,0.38723096,0.41251773,-0.025286764
se serrer le ceinture,39,on devra se serrer la ceinture pendant un an ou deux,we may have to live frugally for a year or two but why do you think he picked me,We will have to tighten our belts for a year or two.,Good Translation,0.5414009,0.82710814,-0.28570724
se serrer le ceinture,40,il faudra se serrer la ceinture un mois ou deux,we're just gonna have to suck it up for a couple months,we will have to tighten our belts for a month or two,Good Translation,0.72026396,0.86216736,-0.1419034
se serrer le ceinture,41,j'ai l'impression qu'on va devoir se serrer la ceinture maintenant,sounds like we're gonna have to tighten our belts around here,I have the impression that we'll have to tighten our belts now.,Good Translation,0.8198006,0.88137686,-0.061576247
se serrer le ceinture,42,je sais bien qu'on devra se serrer la ceinture,i'm not saying that we wouldn't have to cut back,I know well that we will have to tighten our belts.,Good Translation,0.6048222,0.8509774,-0.2461552
se serrer le ceinture,43,on va se serrer la ceinture à la maison du dragon cette année,it will be a lean christmas at the dragon house this year,We're going to tighten our belts at Dragon House this year.,Good Translation,0.764329,0.82938886,-0.06505984
se serrer le ceinture,44,même si chicago se serre la ceinture on devrait pas reculer,just because chicago tightens its belt it's no reason for us to fall down,Even if Chicago tightens its belt we should not retreat.,Good Translation,0.7956278,0.86747587,-0.071848094
