idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
il ne y avoir pas un chat,0,il n'y aura pas un chat à moins que les joueurs ne viennent avec des souris,the game won't draw flies unless the players bring their horses,There won't be a cat unless players bring mice with them.,Literal Translation,0.7183622,0.8691473,-0.15078509
il ne y avoir pas un chat,1,il n'y a pas de chats,there are no cats,There are no cats.,Good Translation,0.9310802,0.90034807,0.030732155
il ne y avoir pas un chat,2,il n'y a pas un chat,- how's the party,There is no cat.,Literal Translation,0.5109662,0.8812803,-0.37031412
il ne y avoir pas un chat,3,il n'y avait pas un chat dans le coin,not a single person was in sight,There wasn't a cat in the corner.,Literal Translation,0.77307385,0.89865357,-0.12557971
il ne y avoir pas un chat,4,il n'y a pas un chat ici,there's no one in here,There is no cat here.,Literal Translation,0.805188,0.88899326,-0.08380526
il ne y avoir pas un chat,5,il n'y a pas un chat dans les rues encore moins de palanquins,there's not a cat in the streets much less a palanquin,There isn't even one cat in the streets let alone palanquins.,Good Translation,0.94861835,0.9418874,0.0067309737
il ne y avoir pas un chat,6,il n'y a pas un chat en fait il n'y a que moi et un ami,bleachers empty except me and a friend,There isn't a cat in fact it's just me and one friend,Good Translation,0.6758844,0.9313644,-0.25548
il ne y avoir pas un chat,7,il n'y a pas un chaton quelque part qui a besoin d'une manucure,isn't there a kitten somewhere that needs a manicure,there isn't a little kitten somewhere that needs a manicure,Good Translation,0.80127627,0.91493046,-0.113654196
il ne y avoir pas un chat,8,caroline est au pensionnat il n'y a pas un chat dans la maison,and caroline's off at boarding school so the coast is clear,Caroline is at boarding school there isn't one cat in the house.,Literal Translation,0.59891963,0.7852187,-0.18629909
il ne y avoir pas un chat,9,mais il n'y a pas de chat,only there is no cat,but there is no cat,Literal Translation,0.825876,0.9280241,-0.102148116
il ne y avoir pas un chat,10,il n'y avait pas un chat alors j'ai commandé un cocktail,there wasn't a soul to talk to so i ordered a sidecar,There wasn't a cat so I ordered a cocktail.,Literal Translation,0.6847935,0.956661,-0.2718675
il ne y avoir pas un chat,11,- il n'y a pas de chaton,- there is no kitten,- there is no kitten,Good Translation,0.86378014,0.86378026,-1.1920929e-07
il ne y avoir pas un chat,12,il n'y aura pas un chat,no one's gonna be around,There will not be a cat.,Literal Translation,0.7161566,0.8948802,-0.17872357
il ne y avoir pas un chat,13,il n'y a pas un chat - partons d'ici - on la cambriole,- we'll go rob the place,There is no cat - let's get out of here - we'll break in.,Good Translation,0.61409426,0.8168636,-0.20276934
il ne y avoir pas un chat,14,le film n'est pas mauvais mais il n'y a pas un chat,you know i've had gregory peck and doris day all week down at the theater but nobody's coming down to see 'em,the movie isn't bad but there's no cat in it,Literal Translation,0.4748894,0.9541149,-0.47922552
il ne y avoir pas un chat,15,et elle fut surprise qu'il n'y ait pas un chat,- that her family didn't show up,and she was surprised that there wasn't a cat.,Literal Translation,0.6803298,0.95668054,-0.27635074
il ne y avoir pas un chat,16,- il n'y a pas de chatte,there is no cat,There is no cat.,Good Translation,0.87152225,0.8462144,0.025307834
il ne y avoir pas un chat,17,maintenant il n'y a pas de chats en amérique,now there are no cats in america fillie,now there are no cats in America,Literal Translation,0.9036478,0.95371157,-0.05006379
il ne y avoir pas un chat,18,mais le plus important et ça j'en suis sûr en amérique il n'y a pas de chats,but most important and this i know for fact in america there are no cats,but most importantly and I'm sure of this in America there are no cats,Good Translation,0.9467852,0.9466029,0.00018233061
il ne y avoir pas un chat,19,il n'y a pas un chat ici,there's not a soul here,There is no cat here.,Literal Translation,0.7866286,0.88899326,-0.10236466
