idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
péter un câble,0,elle a pété un câble,she's kinda freakin' out,she lost her cool,Good Translation,0.6953421,0.7131239,-0.017781794
péter un câble,1,il peut péter un câble,what about tony wham bam,he can blow a fuse,Good Translation,0.40776914,0.5839701,-0.17620099
péter un câble,2,j'ai toujours peur que tu pètes un câble et que tu le tues,i'm just scared of you going nuts and hurting uncle dee,I always fear that you'll snap and kill him.,Partial Translation,0.66037726,0.8063878,-0.14601052
péter un câble,3,si j'arrive à te gérer quand tu pètes un câble je devrais arriver à la gérer,if i can handle you when you flip your switch i can handle her,"if I can handle you when you lose it, I should be able to handle her",Good Translation,0.7672926,0.7706208,-0.0033282042
péter un câble,4,oui il a pété un câble,it is not right it's like he just snaps,"Yes, he lost his cool.",Good Translation,0.6276678,0.69270873,-0.065040946
péter un câble,5,je peux pas venir ma femme pète un câble,guys i can't go to vegas because my wife's freaking out,I can't come my wife is losing it,Good Translation,0.64837444,0.75611746,-0.107743025
péter un câble,6,une fois quand andy pète un câble et fait un trou dans le mur,i'm just worried about my friend oh god of course you are,once Andy blows a fuse and makes a hole in the wall,Literal Translation,0.39436543,0.81120133,-0.4168359
péter un câble,7,m malone pète un câble s'il arrive avant vous,mr malone blows a gasket if the girls aren't in their seats by the time he gets in,m malone loses it if he arrives before you,Good Translation,0.6027211,0.83629966,-0.23357856
péter un câble,8,t'avais pété un câble,you were completely out of control,you'd lost your mind,Good Translation,0.65083,0.69818276,-0.04735279
péter un câble,9,des fois je pète un câble,sometimes i fly off the handle,sometimes I blow a fuse,Good Translation,0.72872764,0.721838,0.0068896413
péter un câble,10,- elle a clairement pété un câble,she's obviously got a wire loose,She clearly lost her damn mind,Good Translation,0.8533634,0.77247,0.0808934
péter un câble,11,tu as pété un câble détenue,- are you out of your mind inmate - hey,You've lost it.,Good Translation,0.6327358,0.6597311,-0.026995301
péter un câble,12,- ce gars pète un câble,- this guy is gonna bolt,- that guy is losing it,Good Translation,0.75621796,0.7626178,-0.00639987
péter un câble,13,tous les clients m'en offrent un le soir je pète un câble,wherever i deliver mail they offer me some by evening i'm a wreck,all of my clients make me snap at night,Literal Translation,0.7323576,0.77064914,-0.038291514
péter un câble,14,tu dois péter un câble de temps en temps ou tu deviens instantanément un amer vieux alcoolique anglais,you've got to go crazy once in a while or you'll just instantly become a bitter old british alcoholic man,You have to snap occasionally or you instantly become an instantaneous bitter old English alcoholic,Unnatural,0.81948036,0.80792844,0.011551917
péter un câble,15,il y avait des femmes des hommes des enfants et j'ai pété un câble,they were all women men kids and i lost it,there were women men and children and I lost it,Partial Translation,0.76757324,0.79711497,-0.02954173
