idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
raconter un salade,0,ces types nous racontent des salades,no i'm not buying it scully i think these guys are all talk,these guys are pulling our legs,Good Translation,0.48370194,0.5469291,-0.06322718
raconter un salade,1,tu crois que je raconte des salades - c'est ça,are you calling me a liar,you think I'm spinning tales - is that it,Good Translation,0.589108,0.76782656,-0.17871857
raconter un salade,2,il nous a raconté des salades puis nous a drogués et enfermés dans un frigo,he tells us this crazy story then he drugs us and locks us in a freezer,He told us stories then drugged and locked us in a fridge,Good Translation,0.8422735,0.91068405,-0.068410575
raconter un salade,3,vous me racontez des salades,yeah i'm sure that's what's going on,you're telling me stories,Good Translation,0.53699446,0.7723799,-0.23538542
raconter un salade,4,il m'a raconté des salades à propos de divergences artistiques,he gave me some bullshit about artistic differences,He told me nonsense about artistic differences,Good Translation,0.8115335,0.7517007,0.05983281
raconter un salade,5,ça t'autorise pas à raconter des salades,if i lied,that doesn't authorize you to spread nonsense,Good Translation,0.44339198,0.6746278,-0.2312358
raconter un salade,6,- tu m'as raconté des salades,-i'll show you what i do to liars,you told me bunches of lies,Good Translation,0.52629626,0.634673,-0.10837674
raconter un salade,7,ils racontent des salades au kremlin,- they're bullshitting the kremlin,They are spinning stories at the Kremlin,Good Translation,0.7127117,0.7010601,0.011651576
raconter un salade,8,lave tes mains et arrête de raconter des salades,wash your hands and no more bullshit,wash your hands and stop spinning tales,Good Translation,0.76858544,0.8238697,-0.05528426
raconter un salade,9,ma maman à moi elle me pinçait quand je racontais des salades,- my mom used to pinch me when i lied,my mom used to pinch me when I told fibs,Good Translation,0.76606,0.7926015,-0.026541531
raconter un salade,10,il lui a raconté des salades et elle croyait qu'ils allaient emménager ensemble,he kept making her promises she thought she'd move into the new house with him,He told her stories and she believed they were going to move in together.,Good Translation,0.74158347,0.8492161,-0.10763264
raconter un salade,11,ce type était fou il racontait des salades,the guy was crazy max he didn't know what he was talking about,"This guy was crazy, he was spinning yarns.",Good Translation,0.6835226,0.68122405,0.002298534
raconter un salade,12,on t'a raconté des salades,you've been sold a bill of goods rebecca,you were told fibs,Good Translation,0.56664836,0.6870949,-0.12044656
raconter un salade,13,- si je racontais des salades tu aurais les poumons pleins de cyanure,because if i was lying your lungs would be full of cyanide gas,- if I told you lies your lungs would be full of cyanide,Good Translation,0.72161865,0.7725157,-0.05089706
raconter un salade,14,je ne suis pas là pour vous raconter des salades,i'm not here to bullshit you,I am not here to tell you fibs,Good Translation,0.71601236,0.8251662,-0.10915387
raconter un salade,15,pourquoi tu te sens obligée de me raconter des salades,then why do you always have to lie to me,why do you feel obligated to tell me fibs,Good Translation,0.6698457,0.7581736,-0.088327885
raconter un salade,16,inutile de nous raconter des salades,why are we kidding ourselves here ry,it's unnecessary to tell us fibs,Good Translation,0.52417874,0.75883985,-0.2346611
raconter un salade,17,fiche-moi la paix et arrête de me raconter des salades sur munga,and stop saying all these lies about munga,give me peace and stop telling me bullshit about Munga,Good Translation,0.74708486,0.76892394,-0.021839082
raconter un salade,18,- tu pourrais raconter des salades,how do i know you're not lyin',- you could spin some yarn,Good Translation,0.43475252,0.6699388,-0.23518628
raconter un salade,19,pourquoi on me raconte des salades chaque fois que j'appelle votre état,why is it that every time i call your state i get the runaround,why they tell me nonsense every time I call your state,Good Translation,0.76792336,0.7694771,-0.0015537739
raconter un salade,20,il racontait des salades,- he was just screwing around,he was spinning tales,Good Translation,0.5256752,0.6601688,-0.13449365
raconter un salade,21,et en fin de compte il racontait des salades,and after everything he was just full of it,"and in the end, he was just spinning tales",Good Translation,0.5987836,0.75895596,-0.16017234
raconter un salade,22,j'ai tendance à me raconter des salades,i got a tendency to kid myself that everything's ok,I tend to spin tales.,Good Translation,0.6607368,0.761796,-0.1010592
raconter un salade,23,- ll raconte des salades,mm-hmm he's talking gibberish,He is spinning yarns.,Good Translation,0.62904066,0.5567901,0.072250545
raconter un salade,24,il me raconte des salades sur l'estime qu'il a pour moi,he gives me this crap about how he likes me so much,He is telling me nonsense about how much he values me,Good Translation,0.73980653,0.73720145,0.0026050806
raconter un salade,25,arrête de te raconter des salades,get real he's teasing us,stop telling yourself nonsense,Unnatural,0.5505898,0.680961,-0.13037121
raconter un salade,26,votre témoin raconte des salades,i'd say you and your witness are full of shit,your witness is spinning yarns,Good Translation,0.66374564,0.7190181,-0.05527246
raconter un salade,27,j'aime pas raconter des salades alors je vais jouer cartes sur table,i don't like to play games so i'm just gonna lay my cards on the table,I don't like to tell lies so I'm going to be straightforward,Good Translation,0.8442589,0.63948524,0.20477366
raconter un salade,28,il raconte des salades,he's talking crap,he tells fibs,Good Translation,0.6620889,0.7456572,-0.083568335
raconter un salade,29,tu veux que je suive les ordres d'accord mais arrête de raconter des salades,you want me to follow orders fine but just stop spinning these fairy tales,you want me to follow your orders but stop pulling my leg,Good Translation,0.81292224,0.7784237,0.034498513
raconter un salade,30,arrête de me raconter des salades,but please stop lying to me,stop telling me nonsense,Good Translation,0.7003899,0.7531775,-0.052787602
raconter un salade,31,arrêtez de raconter des salades sur ma femme,i want you to stop telling stories about my wife,stop telling lies about my wife,Good Translation,0.8781903,0.83785295,0.040337324
raconter un salade,32,ce mec racontait des salades sur ta femme,the guy was talking shit about your wife,That guy was spinning yarns about your wife,Good Translation,0.80833447,0.73122275,0.07711172
raconter un salade,33,toutes ces multinationales nous racontent des salades,you got those multinationals just pouring propaganda into your brain,all these multinational companies are telling us nonsense,Good Translation,0.7219398,0.78423476,-0.06229496
raconter un salade,34,- je ne vais pas raconter de salades,- look i'm not gonna bullshit you,- I am not going to tell fibs,Good Translation,0.65391815,0.804215,-0.15029687
raconter un salade,35,ils n'arrêtent pas de raconter des salades à son sujet,they don't stop telling stories about this guy,they keep spinning stories about him that aren't true,Good Translation,0.7853137,0.6954328,0.08988094
raconter un salade,36,j'ai trop fait confiance à mon type jusqu'à ce que je réalise qu'il me racontait des salades,i mean it got so i trusted my guy on the inside so much till i realized half of what he said was bullshit,I trusted my guy too much until I realized he was spinning me stories.,Good Translation,0.742067,0.80545735,-0.063390374
raconter un salade,37,felicia c'était de l'auto-défense et bethany raconte des salades,and bethany is full of crap i didn't rape her and she knows it,Felicia was self-defense and Bethany tells lies,Mistranslation,0.5471935,0.7791432,-0.23194969
raconter un salade,38,vous racontez des salades aux gens,no matter what you're telling the american people,you are telling fibs to people,Good Translation,0.5905835,0.783668,-0.19308448
raconter un salade,39,vous seriez pas en train de me raconter des salades,you wouldn't be bullshitting me now would you johann,you're not telling the truth,Mistranslation,0.5855075,0.67659634,-0.09108883
raconter un salade,40,celui qui m'a fait asseoir sur ses genoux et raconté des salades,oh should i marry a man who will make me sit on his laps and tell me stories,who made me sit on their lap and listen to tall tales,Good Translation,0.63313913,0.68372387,-0.050584733
raconter un salade,41,il y a un milliard de zozos qui racontent des salades sur nous,and then there's a zillion crazies out there - making up all kinds of lies,there is a billion zozos spinning yarns about us,Good Translation,0.6479111,0.78375477,-0.1358437
raconter un salade,42,moi ça m'aide juste à savoir si vous racontez des salades,to me it just helps me determine whether you're full of crap,it just helps me to know if you're spinning tales,Good Translation,0.69379485,0.79848266,-0.10468781
raconter un salade,43,comment peut-il oser ne pas te raconter de salades,yeah how dare he not lie to you,how can he dare not to tell you any stories,Unnatural,0.66194355,0.80437136,-0.1424278
