idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se faire larguer,0,un camion pour remonter le moral des filles qui viennent de se faire larguer,a truck that caters to girls who just got dumped,a lorry to boost the morale of girls who have just been dumped,Good Translation,0.8134906,0.873513,-0.060022354
se faire larguer,1,c'est ce que je fais quand je me fais larguer,that's what i do whenever a guy dumps me,That's what I do when they sack me.,Mistranslation,0.73957455,0.7178868,0.021687746
se faire larguer,2,sûrement dû à la perspective de me faire larguer,yeah well it certainly puts getting dumped in perspective,surely due to the prospect of getting fired,Mistranslation,0.6488793,0.80822074,-0.15934145
se faire larguer,3,je me fais larguer,i think i'm getting dumped,"I'm letting myself go, I'm not holding anything back.",Mistranslation,0.5596586,0.5842014,-0.024542809
se faire larguer,4,je suis celle qui vient de se faire larguer,i'm the one that just got dumped,I am she who was just dumped.,Good Translation,0.7365228,0.76601624,-0.029493451
se faire larguer,5,ecoute je sais ce qu'on ressent quand on se fait larguer,i know what it feels like to have somebody break up with you and i just,Listen I know what it feels like when you get dumped,Good Translation,0.6473752,0.7101352,-0.062759995
se faire larguer,6,quand je me fais larguer je finis souvent dans la baignoire à pleurer en écoutant du michael bublé,when i get dumped i usually end up sobbing in a bathtub listening to michael bublé,"When I get dumped, I often end up in the bathtub crying to Michael Bublé music.",Good Translation,0.8219565,0.8169,0.0050565004
se faire larguer,7,il venait juste de se faire larguer par sa fiancée,he'd just been dumped by his fiance right,He had just been dumped by his fiancée.,Good Translation,0.8100014,0.7972951,0.01270628
se faire larguer,8,bon je dois te demander et puisque je viens de me faire larguée il y a deux secondes je pense que je suis en droit d'avoir une réponse complète,all right so i've got to ask and since i got dumped 2 seconds ago i do feel like i'm entitled to a straight answer,Well I have to ask you and since I was just dumped two seconds ago I think I'm entitled to a complete answer.,Good Translation,0.78201383,0.83844125,-0.05642742
se faire larguer,9,se faire virer ou se faire larguer,getting fired or dumped,to get fired or to get sacked,Good Translation,0.79100895,0.8010192,-0.010010242
se faire larguer,10,pourquoi c'est moi qui me fais larguer alors,then why am i the one that's getting dumped,Why is it me who gets let go then?,Good Translation,0.79370207,0.8103696,-0.016667545
se faire larguer,11,c'est en fait beaucoup plus facile pour moi de me faire larguer,it's actually a lot easier for me to get dumped by guys,It's actually a lot easier for me to get myself fired.,Mistranslation,0.8157922,0.8452842,-0.02949202
se faire larguer,12,vous savez ce que c'est de se faire larguer à son mariage,do you have any idea what it feels like to be stood up and humiliated at your own wedding,You know what it's like to be jilted on your own wedding day.,Good Translation,0.7295982,0.753013,-0.02341479
se faire larguer,13,tout le monde se fait larguer un jour,everyone gets dumped george,Everyone gets fired someday.,Mistranslation,0.64969265,0.8201387,-0.17044604
se faire larguer,14,je sais que se faire larguer est dur,i know rejection is hard,I know it's hard to get dumped.,Good Translation,0.73256284,0.72781086,0.0047519803
se faire larguer,15,- quand ton pote se fait larguer,when your best friend gets dumped--,- when your mate gets sacked.,Mistranslation,0.67187065,0.7220588,-0.050188124
se faire larguer,16,bon j'ai 18 ans je viens tout juste de me faire larguer et j'ai besoin d'un verre,so i'm 18 and i just got dumped by my girlfriend and i need a drink,Good I'm 18 years old I've just been dumped and I need a drink,Unnatural,0.8154981,0.8385818,-0.023083687
se faire larguer,17,une maitresse jalouse se fait larguer et veut se venger,jealous lover gets dumped and seeks revenge,a jealous mistress gets dumped and wants revenge,Good Translation,0.72207916,0.7904736,-0.06839442
se faire larguer,18,elle se fait larguer par queue-de-cheval oû va-t-elle pour se sentir désirée,there hasn't been a kornbluth here since 1 957,she gets herself dumped by horse's tail where is she going to feel desired,Literal Translation,0.21320763,0.79339385,-0.58018625
se faire larguer,19,je viens juste de me faire larguer,i just got dumped,I just got dumped.,Unnatural,0.7145713,0.68951607,0.02505523
se faire larguer,20,c'est pas la 1re fois ni la dernière que je me ferai larguer,it's not the first time i've been dumped,That's not the first time nor will it be the last that I'll get kicked out.,Mistranslation,0.7552593,0.79235256,-0.03709328
se faire larguer,21,et les poires se font larguer,and nerd girls get dumped,and pears are made to drop,Literal Translation,0.48733455,0.7093205,-0.22198594
se faire larguer,22,un gosse de riche qui n'a pas accepté de se faire larguer,a rich spoiled brat who couldn't handle being dumped,a rich kid who refused to be let go,Good Translation,0.6956911,0.8370228,-0.14133167
se faire larguer,23,en fait je viens de me faire larguer,actually i think i just got dumped,In fact I just got dumped.,Good Translation,0.76136535,0.768764,-0.007398665
se faire larguer,24,lolita je viens de me faire larguer,i just got dumped,Lolita I just got dumped,Partial Translation,0.52132815,0.70210296,-0.18077481
se faire larguer,25,ouais c'est comme juste avant de se faire larguer par une femme,yeah usually right before a woman dumps me,Yeah it's like just before being dumped by a woman,Good Translation,0.80404675,0.8911594,-0.087112665
se faire larguer,26,rodelle vient de se faire larguer,rodelle's girl just broke up with him,She's just been given the axe.,Good Translation,0.73365456,0.6296561,0.10399848
se faire larguer,27,je comprends carrément le sens de se faire larguer comme une merde donc je vais vous souhaiter une très bonne soirée,i completely understand the meaning of the phrase kicked to the curb so i will bid you both a pleasant evening,I completely understand what it means to get dumped like trash so I'm going to wish you a very good evening.,Good Translation,0.71394295,0.8298451,-0.115902126
se faire larguer,28,c'était pire que se faire larguer par deluca,it was worse than being dumped by deluca,it was worse than getting fired by De Luca,Partial Translation,0.9379209,0.85220444,0.085716486
se faire larguer,29,les bars gays sont toujours remplis de filles hétéros qui viennent de se faire larguer,yeah but gay bars are always full of straight girls fresh off breakups,gay bars are always filled with hetero girls who have just been dumped,Good Translation,0.8456732,0.8919083,-0.046235085
se faire larguer,30,elle va le prendre mal personne n'aime se faire larguer,she's gonna be upset-- nobody likes getting dumped,She is going to take it badly nobody likes getting dumped.,Good Translation,0.7945307,0.8261005,-0.03156984
se faire larguer,31,qu'est-ce que c'est je pense que je vais me faire larguer,i think i was dumped,What's that? I think I'm going to get dumped.,Good Translation,0.6089285,0.6652586,-0.056330085
se faire larguer,32,rompre avant le bal de promo doit être pire que se faire larguer avant la st valentin,- breaking up before prom might actually be worse than getting dumped near valentine's day,Breaking up before prom has to be worse than getting dumped on Valentine's Day.,Good Translation,0.80922437,0.82242095,-0.013196588
se faire larguer,33,je sais ce que c'est de se faire larguer ok,larry danny you know i know what it's like to get dumped,I know what it's like to get dumped okay,Good Translation,0.58038014,0.6813298,-0.100949645
se faire larguer,34,je sais que même si se faire larguer fait mal être seul est bien pire,i know that as much as being broken up hurts being alone is way worse,"I know that even though getting dumped hurts, being alone is worse.",Good Translation,0.8624796,0.8696904,-0.007210791
se faire larguer,35,je me fais larguer là,i'm being fucking dumped here,I'm ditched there.,Unnatural,0.6026635,0.60685503,-0.004191518
se faire larguer,36,- il vient de se faire larguer,- he goes through a breakup,- he has just been dumped,Good Translation,0.7582059,0.76844454,-0.010238647
se faire larguer,37,je crois qu'on vient de se faire larguer,i think we just got dumped,I think we just got dumped.,Good Translation,0.77090466,0.76720196,0.0037027001
se faire larguer,38,ecoutes cette fille vient de se faire larguer par son mec,look that girl just got dumped by her boyfriend,She's just been dumped by her boyfriend.,Good Translation,0.82094646,0.7674283,0.053518176
se faire larguer,39,c'est une manière tellement humiliante de se faire larguer,it's such a humiliating way to get dumped,It's such a humiliating way to get dumped.,Good Translation,0.85016227,0.8460805,0.0040817857
se faire larguer,40,parce que maria est la fille de mes rêves et c'est noël et elle vient de se faire larguer,because maria is my dream girl and it's christmas and she just got dumped,because Maria is my dream daughter and it's Christmas and she just got dumped.,Unnatural,0.83721787,0.82140577,0.015812099
se faire larguer,41,tu devrais prévoir une planque de secours pour ceux qui viennent de se faire larguer,you should keep an emergency stash for people who just got dumped,you should provide a backup shelter for those who have just been dumped.,Good Translation,0.7319606,0.79768807,-0.06572747
se faire larguer,42,b'en aussi tentant que ça puisse paraître je traîne avec mon amie qui vient de se faire larguer,well as tempting as that sounds i'm hanging out with my friend who just got dumped,As tempting as it may seem I'm hanging out with my friend who just got dumped.,Good Translation,0.7645062,0.77157533,-0.007069111
se faire larguer,43,alors comment se fait-il que cet expert en amour se fasse larguer par sa copine,then how come this 'love expert' broke up with girlfriend,so how does this love expert get dumped by his girlfriend?,Good Translation,0.822013,0.87976635,-0.057753325
se faire larguer,44,mon ex-mari coleman qui m'a largué pour une femme plus jeune vient de se faire larguer par une femme plus jeune,my ex-husband coleman who dumped me for a younger woman just got dumped by a younger woman,"My ex-husband Coleman, who left me for a younger woman, has just been dumped by a younger woman.",Good Translation,0.9127623,0.89983916,0.012923121
se faire larguer,45,en général je me fais larguer,they usually dump me,In general I get dropped.,Good Translation,0.66583574,0.72163665,-0.055800915
se faire larguer,46,et pourtant la roumanie se fait larguer,and yet romania gets dumped,And yet Romania is being left behind.,Partial Translation,0.7989691,0.7605306,0.0384385
se faire larguer,47,il devrait y avoir un camion entier pour ceux qui viennent de se faire larguer,screw that there should be a whole truck for people who just got dumped,there should be a whole truck for those who have just been dumped.,Good Translation,0.8031306,0.86096394,-0.057833314
se faire larguer,48,je m'en fous je viens de me faire larguer,i'm the one who just found out that my person is no longer my person,I don't care I just got fired.,Mistranslation,0.6311972,0.62328315,0.007914066
se faire larguer,49,c'est toujours un plaisir de voir un plan cul de brody surtout quand je viens de me faire larguer non,it's always a pleasure meeting one of brody's hookups especially after i've just been dumped,It's always a pleasure to see Brody's cock especially when I just got dumped,Literal Translation,0.7770461,0.80980057,-0.03275448
se faire larguer,50,j'ai vu celle que j'aimais se faire larguer d'un avion et happer par un autre avion en pleine chute,i watched the woman i love get tossed from a plane and hit by another plane midair,I saw that I loved being let go from one plane and grabbed by another while falling.,Mistranslation,0.8616236,0.8245547,0.037068903
se faire larguer,51,tu dois comprendre harry il vient de se faire larguer son amour-propre en a pris un coup,what you've got to understand about harry he's just had a big breakup his self-esteem is not exactly peaking,you must understand Harry he's just had his ego knocked out of him he took a beating for love,Good Translation,0.76911455,0.83555335,-0.066438794
se faire larguer,52,ouai ça craint mais tu crois être la première personne qui se fait larguer,okay yeah that sucks but do you think you're the first person to ever get dumped,oh no it's bad but you think you're the first person to get dumped,Unnatural,0.7633352,0.8313333,-0.06799805
se faire larguer,53,nous sommes matthew mcconaughey et kate hudson de la comédie romantique comment se faire larguer en 10 leçons,we're matthew mcconaughey and kate hudson from the classic romantic comedy how to lose a guy in 10 days,we are Matthew McConaughey and Kate Hudson from romantic comedy How to Lose a Guy in 10 Days,Good Translation,0.80019236,0.6723695,0.12782288
