idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
filer à le anglais,0,22 personnes qui filent à l'anglaise tu t'imagines,you don't want 22 people skipping all in one day do you - of course not but,22 people who run off you imagine,Literal Translation,0.628863,0.77090573,-0.14204276
filer à le anglais,1,je vais filer à l'anglaise pour ne pas gâcher la fête,i thought i'd just sneak away quietly i don't want to spoil the party,I'm going to slip out for not spoiling the party,Partial Translation,0.7033466,0.792161,-0.08881438
filer à le anglais,2,pourquoi avez-vous filé à l'anglaise,why'd you give them the slip up at the hospital you don't like the place,why did you run away,Literal Translation,0.53854334,0.63040143,-0.09185809
filer à le anglais,3,il a filé à l'anglaise,he was tired and slipped away,he pulled a fast one,Mistranslation,0.60833037,0.6426485,-0.03431815
filer à le anglais,4,tu as vu qu'il n'est resté que cinq minutes hier soir et qu'il a filé à l'anglaise,did you see that he showed up at the party for five minutes and left without saying good-bye,You noticed that he only stayed for five minutes yesterday evening and then slipped away.,Good Translation,0.70212626,0.85366535,-0.15153909
filer à le anglais,5,ils ont dû essayer de filer à l'anglaise,they must've been trying to sneak past us,They had to try to pull a fast one.,Unnatural,0.7327415,0.7484884,-0.015746951
filer à le anglais,6,j'avais prévu de filer à l'anglaise mais puisque vous êtes de si bonne humeur à quoi bon,i was planning on making an irish exit here but since you're in such a good mood what the hell,"I had planned to slip out, but since you are in such a good mood, what's the point?",Good Translation,0.82308865,0.78870237,0.034386277
filer à le anglais,7,le mieux c'est d'attendre le soir et de filer à l'anglaise,i guess the best thing to do is to wait until dark and then we'll sneak out of here,the best is to wait until evening and make a clean getaway,Good Translation,0.76816815,0.82093656,-0.05276841
filer à le anglais,8,on devrait filer à l'anglaise,why don't we go out the back jack,we should make a break for it,Good Translation,0.43927586,0.5951606,-0.15588474
filer à le anglais,9,préférez-vous filer à l'anglaise,or would you rather pass out here,do you prefer to beat around the bush,Mistranslation,0.6454829,0.56878954,0.076693356
filer à le anglais,10,alors vous n'avez pas filé à l'anglaise,mr wagner i demand you reopen those rooms on the 19th floor,then you haven't gone off the rails,Mistranslation,0.39676583,0.62609935,-0.22933352
filer à le anglais,11,vous pensiez qu'on vous laisserait filer à l'anglaise,you really think we'd let you get away with that,you thought we would let you get away with it,Good Translation,0.6987052,0.73194313,-0.033237934
filer à le anglais,12,on file à l'anglaise,slipping away in broad daylight,We queue in England,Mistranslation,0.46364844,0.6368638,-0.17321539
