text,language,x,y
- And your grandfathers?,English,-4.9715095,12.159122
He sure had it coming.,English,-6.152267,7.9631767
Bloody hell,English,-0.97918594,12.153335
"Oh my God, who's winning so far?",English,-4.9095707,11.814885
- Holy moly.,English,-5.449189,6.769993
Holy cow!,English,-4.781436,12.021317
It's the salmon guy!,English,-4.5372753,11.75524
it's a fax from Forensics,English,-1.1455644,12.235623
"- Attention! - Oh, boy.",English,-4.3952703,6.7432036
"All right, all right, all right.",English,-5.6351495,7.666189
"And now, a young lady who goes to third base faster than Rickey Henderson my sister, Roberta Tubbs.",English,-5.489883,7.890564
"Becca, there is no easy way to say this...",English,-2.1907017,13.077653
"Let's cut to the chase, shall we?",English,-4.807437,11.362804
"All right, so let's cut to The Chase.",English,-6.2258863,7.872251
"You don't mind if we, uh, jump right in?",English,-5.4977574,12.674597
"Indeed,gentlemen,let me c to the chase.",English,-4.438505,5.9943695
"Well, I... I'll get right on that.",English,-4.7108884,7.354855
Straightforward question.,English,-6.419272,5.4242587
"Therefore, I shall get straight to the point.",English,-6.048811,6.7741685
Focus. Keep it simple.,English,-6.32604,6.137701
"Now, you all know me, so I'll just say this as simple as I can.",English,-6.283709,7.4403515
"Should we get right to it, Captain?",English,-5.1193857,12.25691
We're gonna keep this simple.,English,-6.256547,5.592394
"Look, can we just cut to the chase here?",English,-4.854924,11.528191
Let me cut to the chase. I hear you can't get a date for the winter formal.,English,-5.5443697,7.590631
"OK, let's get something straight.",English,-6.3488355,7.252155
"This way, they can advance all the way home on just one move.",English,-6.124245,5.7740793
"Well, might be a little harsh, but I think it makes a point.",English,-6.0598044,7.423472
"Well, let's get right to it then. Cyrus, meet Sanders Black.",English,-5.7890625,8.025845
Don't make any long explanations and just get to the point.,English,-5.828793,6.019631
"Well,if you drill it down,it means the company knew asbestos was causing cancer.",English,-3.792379,6.0846577
"Get to the point, Mr. Morelli.",English,-6.1371083,7.492938
Then I'm gonna have to sort of condense this maybe make it more of a bullet-point thing.,English,-6.3332286,6.830487
Why don 't we cut the crap and talk straight?,English,-5.122124,11.898093
"Let's cut through the facade, Agent Burke.",English,-4.9272933,7.7889533
"Way to get right to the point, Dad. (QUINN LAUGHING)",English,-3.5488992,11.272239
