idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le œil plus gros que le ventre,0,vous avez les yeux plus gros que le ventre mon ami,you've bitten off more than you can chew this time my friend,You have bigger eyes than a hungry belly my friend.,Unnatural,0.6276683,0.86344874,-0.23578042
avoir le œil plus gros que le ventre,1,elle pense qu'on a les yeux plus gros que le ventre,she worries our eyes might be a little bigger than our stomachs,she thinks one has bigger eyes than belly,Literal Translation,0.84100413,0.9395733,-0.098569155
avoir le œil plus gros que le ventre,2,on dirait que porter a eu les yeux plus gros que le ventre,looks like porter bit off more than he could chew,It would seem that carrying has had eyes bigger than one's belly.,Literal Translation,0.7547718,0.8041688,-0.04939699
avoir le œil plus gros que le ventre,3,déjà quand tu étais gamin tu as toujours eu les yeux plus gros que le ventre,you know ever since you were a kid your eyes-- they were always bigger than your stomach,you've always had eyes bigger than your belly even when you were a kid,Good Translation,0.89332294,0.91618395,-0.022861004
avoir le œil plus gros que le ventre,4,vous avez les yeux plus gros que le ventre,you're fighting outside your weight class,You have bigger eyes than stomach.,Literal Translation,0.53366745,0.87689114,-0.3432237
avoir le œil plus gros que le ventre,5,ais-je eu les yeux plus gros que le ventre à propos de mon accord pour cette mission,am i being too short-sighted in my acceptance of this mission,Had I eyes upon my belly and could see how much hunger there was in it for this trip,Mistranslation,0.7382856,0.7009244,0.037361205
avoir le œil plus gros que le ventre,6,je crois que j'ai eu les yeux plus gros que le ventre pour le coup morty,man i think my eyes were bigger than my stomach on this one morty,I think I had my eyes bigger than my stomach for that mortal blow.,Unnatural,0.8792917,0.8244413,0.0548504
avoir le œil plus gros que le ventre,7,le gouvernement a les yeux plus gros que le ventre,i mean government is all about biting off more than you can chew,The government has bigger eyes than belly.,Literal Translation,0.6986589,0.9135854,-0.21492654
avoir le œil plus gros que le ventre,8,je suppose que j'ai eu les yeux plus gros que le ventre,i guess i just tried to bite off a tad too much,I think I had bigger eyes than stomach.,Good Translation,0.62532616,0.90635467,-0.2810285
avoir le œil plus gros que le ventre,9,et qui a les yeux plus gros que le ventre maintenant capitaine,now who's biting off more than they can chew captain,and who has eyes bigger than his belly now captain,Good Translation,0.6817109,0.94162273,-0.25991184
avoir le œil plus gros que le ventre,10,j'avais les yeux plus gros que le ventre,i bit off more than i could chew,I had eyes bigger than my belly.,Good Translation,0.6378981,0.9176122,-0.2797141
avoir le œil plus gros que le ventre,11,tu connais l'expression avoir les yeux plus gros que le ventre,have you ever heard the expression biting off more than you can chew,"You know the expression ""to have eyes bigger than one's belly"" or ""to see a bigger meal than you can eat"".",Good Translation,0.57501423,0.8141457,-0.23913145
avoir le œil plus gros que le ventre,12,ce qui l'a perdu c'est d'avoir les yeux plus gros que le ventre,this asshole can only demolish everything around him,That which has lost it is having eyes bigger than one's belly.,Literal Translation,0.41136062,0.87309486,-0.46173424
avoir le œil plus gros que le ventre,13,pourquoi ai-je l'impression que vous avez eu les yeux plus gros que le ventre,why do i get the feeling you bit off more than you can chew,Why do I have the impression that you had bigger eyes than a belly.,Literal Translation,0.6377922,0.9196078,-0.2818156
avoir le œil plus gros que le ventre,14,il a les yeux plus gros que le ventre,his eyes are bigger than his stomach,he has eyes bigger than his belly,Good Translation,0.90819603,0.9383371,-0.030141056
avoir le œil plus gros que le ventre,15,j'ai les yeux plus gros que le ventre ce matin,my eyes are bigger than my stomach this morning,I have bigger eyes than I have an appetite this morning.,Unnatural,0.90334797,0.88472253,0.018625438
avoir le œil plus gros que le ventre,16,je pense que j'ai eu les yeux plus gros que le ventre pour ce travail,i think i might've bitten off more than i can chew with this job,I think I had bigger eyes than belly for this job.,Unnatural,0.6955687,0.9030868,-0.2075181
avoir le œil plus gros que le ventre,17,je crois que j'ai encore eu les yeux plus gros que le ventre,that's the thing i think i may have bitten off more than i can chew,I think I have eaten more than I can digest again.,Good Translation,0.6363207,0.67207277,-0.035752058
avoir le œil plus gros que le ventre,18,j'ai les yeux plus gros que le ventre,even i don't know if i can finish all this,I have bigger eyes than my belly.,Literal Translation,0.47689033,0.8983697,-0.4214794
avoir le œil plus gros que le ventre,19,mais cette fois tu as les yeux plus gros que le ventre,but it looks like you've bitten off a little bit more than you can chew,but this time your eyes are bigger than your belly,Good Translation,0.6499429,0.9419434,-0.29200053
avoir le œil plus gros que le ventre,20,je crois que nikola a les yeux plus gros que le ventre,i think nikola's about to bite off more than he can chew,I think Nikola has bigger eyes than his belly.,Unnatural,0.7212659,0.8957192,-0.17445326
avoir le œil plus gros que le ventre,21,tu cherches trop à impressionner tu as les yeux plus gros que le ventre,you try so hard to impress people you always bite off more than you can chew,"You're trying too hard to impress, you've got bigger eyes than belly.",Good Translation,0.7061549,0.903622,-0.19746709
avoir le œil plus gros que le ventre,22,l'irish lord a peut-être eu les yeux plus gros que le ventre,the irish lord may have bitten off more than he can chew,The Irish Lord may have had eyes bigger than his belly.,Good Translation,0.7468494,0.92432714,-0.17747772
avoir le œil plus gros que le ventre,23,tu as les yeux plus gros que le ventre,you're trying to bite off more than you can chew,Your eyes are bigger than your belly.,Good Translation,0.62428504,0.87816966,-0.2538846
avoir le œil plus gros que le ventre,24,il a eu les yeux plus gros que le ventre,maybe his eyes were too big for his stomach,He had eyes bigger than his belly.,Good Translation,0.85492885,0.92513454,-0.07020569
avoir le œil plus gros que le ventre,25,j'ai eu les yeux plus gros que le ventre,i bit off more than i could chew,I had bigger eyes than my belly.,Unnatural,0.651102,0.91133684,-0.26023483
avoir le œil plus gros que le ventre,26,ce sont des filles du monde entier vous avez les yeux plus gros que le ventre,you've got girls from around the world too many,They are girls from all over the world you have eyes bigger than your belly.,Good Translation,0.718598,0.91785,-0.19925201
avoir le œil plus gros que le ventre,27,on a eu les yeux plus gros que le ventre,our eyes were bigger than our stomachs,one had eyes bigger than one's belly,Unnatural,0.8602168,0.89347684,-0.033260047
avoir le œil plus gros que le ventre,28,voila ce qui arrive lorsqu'on a les yeux plus gros que le ventre pat,this is what happens when you get too big for your boots pat,Behold what happens when one has eyes bigger than their stomach.,Good Translation,0.68945026,0.83676946,-0.1473192
avoir le œil plus gros que le ventre,29,tu as les yeux plus gros que le ventre,youre biting off more than you can chew,You have bigger eyes than your belly.,Unnatural,0.6311064,0.9072683,-0.2761619
avoir le œil plus gros que le ventre,30,tout-le-monde a les yeux plus gros que le ventre,sounds like everyone might be biting off more than they can chew,Everybody has eyes bigger than their belly.,Good Translation,0.52937996,0.81597245,-0.28659248
avoir le œil plus gros que le ventre,31,t'as les yeux plus gros que le ventre,you must know your limit,You have bigger eyes than stomach.,Unnatural,0.48747826,0.87494004,-0.38746178
avoir le œil plus gros que le ventre,32,il avait les yeux plus gros que le ventre,if he wasn't so fucking greedy he'd have been tougher to spot,he had eyes larger than his belly,Unnatural,0.5872929,0.9488162,-0.36152327
avoir le œil plus gros que le ventre,33,vous avez eu les yeux plus gros que le ventre mon cher,you've bitten off more than you can chew this time my friend,You've got your eyes bigger than your belly my dear.,Good Translation,0.64934254,0.88433486,-0.23499233
avoir le œil plus gros que le ventre,34,on a les yeux plus gros que le ventre,what if we've bitten off more than we can chew,They have their eyes bigger than their belly.,Good Translation,0.5084628,0.84584486,-0.33738208
avoir le œil plus gros que le ventre,35,j'y suis comme je le disais à mes filles j'ai les yeux plus gros que le ventre,like i tell my daughters i'm too big for my britches,"I'm just like I said to my daughters, I have bigger eyes than stomach.",Unnatural,0.7350529,0.8873818,-0.15232891
